date,open,high,low,close
1997-12-31,0.117,0.122,0.116,0.117
1998-01-02,0.122,0.145,0.12,0.145
1998-01-05,0.147,0.148,0.136,0.142
1998-01-06,0.142,0.178,0.132,0.169
1998-01-07,0.168,0.17,0.154,0.156
1998-01-08,0.156,0.166,0.151,0.163
1998-01-09,0.162,0.173,0.156,0.163
1998-01-12,0.156,0.166,0.153,0.163
1998-01-13,0.166,0.175,0.165,0.174
1998-01-14,0.177,0.178,0.172,0.176
1998-01-15,0.171,0.176,0.166,0.171
1998-01-16,0.173,0.173,0.167,0.168
1998-01-20,0.17,0.172,0.166,0.17
1998-01-21,0.168,0.17,0.166,0.169
1998-01-22,0.167,0.176,0.166,0.172
1998-01-23,0.173,0.176,0.172,0.174
1998-01-26,0.173,0.175,0.168,0.173
1998-01-27,0.171,0.176,0.17,0.171
1998-01-28,0.171,0.173,0.166,0.171
1998-01-29,0.169,0.171,0.165,0.165
1998-01-30,0.164,0.169,0.163,0.164
1998-02-02,0.165,0.165,0.155,0.158
1998-02-03,0.158,0.166,0.158,0.164
1998-02-04,0.161,0.165,0.161,0.163
1998-02-05,0.163,0.165,0.161,0.164
1998-02-06,0.164,0.167,0.163,0.165
1998-02-09,0.164,0.174,0.164,0.171
1998-02-10,0.171,0.175,0.17,0.173
1998-02-11,0.174,0.174,0.169,0.17
1998-02-12,0.171,0.173,0.17,0.173
1998-02-13,0.171,0.177,0.17,0.174
1998-02-17,0.174,0.176,0.174,0.175
1998-02-18,0.175,0.185,0.175,0.183
1998-02-19,0.186,0.187,0.178,0.182
1998-02-20,0.183,0.183,0.177,0.178
1998-02-23,0.18,0.193,0.178,0.19
1998-02-24,0.19,0.191,0.185,0.19
1998-02-25,0.19,0.203,0.187,0.199
1998-02-26,0.199,0.21,0.195,0.21
1998-02-27,0.208,0.213,0.202,0.211
1998-03-02,0.21,0.21,0.199,0.203
1998-03-03,0.195,0.207,0.193,0.206
1998-03-04,0.204,0.221,0.204,0.218
1998-03-05,0.207,0.216,0.206,0.215
1998-03-06,0.213,0.219,0.209,0.218
1998-03-09,0.212,0.217,0.201,0.203
1998-03-10,0.205,0.219,0.205,0.215
1998-03-11,0.224,0.234,0.219,0.233
1998-03-12,0.233,0.241,0.228,0.241
1998-03-13,0.243,0.243,0.234,0.242
1998-03-16,0.242,0.243,0.234,0.238
1998-03-17,0.236,0.238,0.231,0.235
1998-03-18,0.232,0.24,0.232,0.24
1998-03-19,0.24,0.24,0.237,0.239
1998-03-20,0.238,0.24,0.232,0.235
1998-03-23,0.232,0.234,0.22,0.233
1998-03-24,0.235,0.25,0.234,0.25
1998-03-25,0.246,0.248,0.235,0.242
1998-03-26,0.239,0.241,0.236,0.237
1998-03-27,0.238,0.244,0.235,0.24
1998-03-30,0.239,0.245,0.239,0.245
1998-03-31,0.245,0.248,0.243,0.245
1998-04-01,0.245,0.248,0.241,0.245
1998-04-02,0.244,0.245,0.24,0.244
1998-04-03,0.242,0.243,0.239,0.241
1998-04-06,0.241,0.241,0.234,0.234
1998-04-07,0.231,0.232,0.222,0.228
1998-04-08,0.226,0.227,0.221,0.223
1998-04-09,0.224,0.231,0.223,0.229
1998-04-13,0.229,0.238,0.223,0.236
1998-04-14,0.235,0.243,0.235,0.24
1998-04-15,0.243,0.245,0.238,0.245
1998-04-16,0.261,0.265,0.252,0.256
1998-04-17,0.255,0.256,0.247,0.249
1998-04-20,0.246,0.264,0.246,0.259
1998-04-21,0.26,0.26,0.255,0.259
1998-04-22,0.257,0.259,0.245,0.245
1998-04-23,0.245,0.259,0.243,0.247
1998-04-24,0.248,0.252,0.245,0.249
1998-04-27,0.239,0.248,0.239,0.248
1998-04-28,0.249,0.25,0.234,0.24
1998-04-29,0.24,0.245,0.239,0.241
1998-04-30,0.244,0.246,0.241,0.244
1998-05-01,0.245,0.252,0.24,0.25
1998-05-04,0.258,0.264,0.258,0.26
1998-05-05,0.261,0.267,0.26,0.265
1998-05-06,0.267,0.272,0.261,0.271
1998-05-07,0.273,0.274,0.267,0.27
1998-05-08,0.269,0.272,0.267,0.272
1998-05-11,0.276,0.282,0.275,0.276
1998-05-12,0.273,0.275,0.267,0.269
1998-05-13,0.269,0.275,0.265,0.272
1998-05-14,0.271,0.272,0.266,0.269
1998-05-15,0.269,0.271,0.261,0.264
1998-05-18,0.262,0.264,0.253,0.255
1998-05-19,0.259,0.263,0.257,0.262
1998-05-20,0.265,0.267,0.257,0.264
1998-05-21,0.264,0.265,0.256,0.258
1998-05-22,0.257,0.257,0.244,0.249
1998-05-26,0.251,0.252,0.238,0.238
1998-05-27,0.229,0.239,0.229,0.239
1998-05-28,0.239,0.249,0.239,0.245
1998-05-29,0.245,0.246,0.236,0.238
1998-06-01,0.236,0.246,0.229,0.234
1998-06-02,0.236,0.244,0.232,0.24
1998-06-03,0.242,0.243,0.234,0.235
1998-06-04,0.238,0.24,0.231,0.239
1998-06-05,0.24,0.243,0.235,0.24
1998-06-08,0.241,0.247,0.239,0.243
1998-06-09,0.244,0.255,0.244,0.252
1998-06-10,0.25,0.259,0.246,0.251
1998-06-11,0.252,0.256,0.248,0.248
1998-06-12,0.246,0.252,0.244,0.251
1998-06-15,0.243,0.252,0.243,0.245
1998-06-16,0.247,0.251,0.244,0.25
1998-06-17,0.25,0.255,0.249,0.251
1998-06-18,0.248,0.251,0.243,0.244
1998-06-19,0.244,0.245,0.239,0.241
1998-06-22,0.241,0.246,0.239,0.244
1998-06-23,0.245,0.251,0.243,0.248
1998-06-24,0.248,0.256,0.244,0.252
1998-06-25,0.255,0.257,0.253,0.255
1998-06-26,0.255,0.256,0.248,0.252
1998-06-29,0.252,0.257,0.251,0.256
1998-06-30,0.256,0.257,0.251,0.256
1998-07-01,0.258,0.268,0.255,0.267
1998-07-02,0.265,0.269,0.259,0.259
1998-07-06,0.264,0.271,0.26,0.271
1998-07-07,0.271,0.276,0.268,0.272
1998-07-08,0.275,0.294,0.274,0.291
1998-07-09,0.294,0.3,0.281,0.283
1998-07-10,0.287,0.291,0.283,0.286
1998-07-13,0.285,0.305,0.284,0.303
1998-07-14,0.303,0.303,0.296,0.298
1998-07-15,0.301,0.31,0.299,0.307
1998-07-16,0.338,0.341,0.319,0.335
1998-07-17,0.333,0.333,0.323,0.329
1998-07-20,0.327,0.327,0.317,0.324
1998-07-21,0.323,0.33,0.318,0.318
1998-07-22,0.312,0.318,0.306,0.312
1998-07-23,0.311,0.318,0.31,0.312
1998-07-24,0.316,0.317,0.302,0.31
1998-07-27,0.306,0.311,0.297,0.307
1998-07-28,0.304,0.309,0.295,0.3
1998-07-29,0.301,0.32,0.301,0.314
1998-07-30,0.32,0.328,0.317,0.326
1998-07-31,0.327,0.328,0.308,0.309
1998-08-03,0.306,0.318,0.297,0.314
1998-08-04,0.317,0.322,0.303,0.305
1998-08-05,0.301,0.322,0.299,0.322
1998-08-06,0.313,0.329,0.311,0.329
1998-08-07,0.332,0.334,0.322,0.326
1998-08-10,0.324,0.34,0.324,0.339
1998-08-11,0.337,0.366,0.334,0.348
1998-08-12,0.355,0.365,0.352,0.358
1998-08-13,0.356,0.364,0.351,0.352
1998-08-14,0.363,0.364,0.353,0.361
1998-08-17,0.366,0.382,0.356,0.374
1998-08-18,0.379,0.387,0.377,0.38
1998-08-19,0.389,0.391,0.366,0.366
1998-08-20,0.366,0.367,0.359,0.363
1998-08-21,0.357,0.389,0.348,0.384
1998-08-24,0.388,0.389,0.358,0.368
1998-08-25,0.379,0.379,0.36,0.364
1998-08-26,0.356,0.367,0.353,0.36
1998-08-27,0.35,0.35,0.318,0.335
1998-08-28,0.332,0.344,0.305,0.305
1998-08-31,0.31,0.311,0.277,0.279
1998-09-01,0.28,0.316,0.274,0.305
1998-09-02,0.317,0.334,0.315,0.318
1998-09-03,0.312,0.314,0.303,0.309
1998-09-04,0.317,0.325,0.301,0.314
1998-09-08,0.339,0.342,0.328,0.342
1998-09-09,0.34,0.341,0.33,0.334
1998-09-10,0.324,0.342,0.319,0.341
1998-09-11,0.344,0.354,0.329,0.336
1998-09-14,0.342,0.346,0.332,0.332
1998-09-15,0.328,0.344,0.326,0.341
1998-09-16,0.345,0.346,0.33,0.333
1998-09-17,0.322,0.332,0.32,0.322
1998-09-18,0.322,0.328,0.318,0.328
