date,open,high,low,close
2014-03-27,568.0,568.0,552.92,558.46
2014-03-28,561.2,566.43,558.67,559.99
2014-03-31,566.89,567.0,556.93,556.97
2014-04-01,558.71,568.45,558.71,567.16
2014-04-02,565.106,604.83,562.19,567.0
2014-04-03,569.85,587.28,564.13,569.74
2014-04-04,574.65,577.77,543.0,543.14
2014-04-07,540.74,548.48,527.15,538.15
2014-04-08,542.6,555.0,541.61,554.9
2014-04-09,559.62,565.37,552.95,564.14
2014-04-10,565.0,565.0,539.9,540.95
2014-04-11,532.55,540.0,526.53,530.6
2014-04-14,538.25,544.1,529.561,532.52
2014-04-15,536.82,538.45,518.46,536.44
2014-04-16,543.0,557.0,540.0,556.54
2014-04-17,548.81,549.5,531.15,536.1
2014-04-21,536.1,536.7,525.6,528.62
2014-04-22,528.64,537.23,527.51,534.81
2014-04-23,533.79,533.87,526.25,526.94
2014-04-24,530.07,531.65,522.12,525.16
2014-04-25,522.51,524.7,515.42,516.18
2014-04-28,517.18,518.6,502.8,517.15
2014-04-29,516.9,529.46,516.32,527.7
2014-04-30,527.6,528.0,522.52,526.66
2014-05-01,527.11,532.93,523.88,531.35
2014-05-02,533.76,534.0,525.61,527.93
2014-05-05,524.82,528.9,521.32,527.81
2014-05-06,525.23,526.81,515.06,515.14
2014-05-07,515.79,516.68,503.3,509.96
2014-05-08,508.46,517.23,506.45,511.0
2014-05-09,510.75,519.9,504.2,518.73
2014-05-12,523.51,530.19,519.01,529.92
2014-05-13,530.89,536.07,529.51,533.09
2014-05-14,533.0,533.0,525.29,526.65
2014-05-15,525.7,525.87,517.42,519.98
2014-05-16,521.39,521.8,515.44,520.63
2014-05-19,519.7,529.78,517.583,528.86
2014-05-20,529.74,536.23,526.3,529.77
2014-05-21,532.9,539.183,531.91,538.94
2014-05-22,541.13,547.6,540.78,545.06
2014-05-23,547.26,553.64,543.7,552.7
2014-05-27,556.0,566.0,554.35,565.95
2014-05-28,564.57,567.84,561.0,561.68
2014-05-29,563.35,564.0,558.71,560.08
2014-05-30,560.8,561.35,555.91,559.89
2014-06-02,560.7,560.9,545.73,553.93
2014-06-03,550.99,552.34,542.55,544.94
2014-06-04,541.5,548.61,538.75,544.66
2014-06-05,546.4,554.95,544.45,553.9
2014-06-06,558.06,558.06,548.93,556.33
2014-06-09,557.15,562.9,556.04,562.12
2014-06-10,560.51,563.6,557.9,560.55
2014-06-11,558.0,559.88,555.02,558.84
2014-06-12,557.3,557.99,548.46,551.35
2014-06-13,552.26,552.3,545.56,551.76
2014-06-16,549.26,549.62,541.52,544.28
2014-06-17,544.2,545.32,539.33,543.01
2014-06-18,544.86,553.56,544.0,553.37
2014-06-19,554.24,555.0,548.51,554.9
2014-06-20,556.85,557.58,550.391,556.36
2014-06-23,555.15,565.0,554.25,564.95
2014-06-24,565.19,572.646,561.01,564.62
2014-06-25,565.26,579.96,565.22,578.65
2014-06-26,581.0,582.45,571.85,576.0
2014-06-27,577.18,579.87,573.8,577.24
2014-06-30,578.66,579.57,574.75,575.28
2014-07-01,578.32,584.4,576.65,582.67
2014-07-02,583.35,585.44,580.39,582.335
2014-07-03,583.35,585.01,580.92,584.73
2014-07-07,583.76,586.43,579.59,582.25
2014-07-08,577.66,579.528,566.135,571.09
2014-07-09,571.58,576.72,569.376,576.08
2014-07-10,565.91,576.59,565.01,571.1
2014-07-11,571.91,580.85,571.42,579.18
2014-07-14,582.6,585.21,578.03,584.87
2014-07-15,585.74,585.804,576.56,584.78
2014-07-16,588.0,588.4,582.2,582.66
2014-07-17,579.53,580.99,568.61,573.73
2014-07-18,593.0,596.8,582.0,595.08
2014-07-21,591.75,594.4,585.233,589.47
2014-07-22,590.72,599.65,590.6,594.74
