pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,crypto,1,advance_block,3,uptrend,178,1131,771,2288,-0.041000000000000036,-0.01366666666666668,0.68,0.479,369,402,2.97,2.97,2.96,7,5
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,crypto,2,advance_block,3,uptrend,178,1105,750,3742,0.11199999999999999,0.03733333333333333,0.68,0.371,278,472,4.99,6.32,4.2,4,6
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,crypto,3,advance_block,3,uptrend,178,1095,741,4566,0.2739999999999999,0.09133333333333331,0.68,0.318,236,505,6.16,8.94,4.86,3,8
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,crypto,4,advance_block,3,uptrend,178,1080,727,5669,0.3420000000000001,0.11400000000000003,0.67,0.268,195,532,7.8,12.53,6.06,2,8
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,crypto,5,advance_block,3,uptrend,178,1068,717,6474,0.40000000000000013,0.1333333333333334,0.67,0.234,168,549,9.03,15.12,7.16,2,8
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,forex,1,advance_block,3,uptrend,1072,19868,12367,52092,-0.19799999999999995,-0.06599999999999999,0.62,0.402,4977,7390,4.21,4.57,3.97,8,22
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,forex,2,advance_block,3,uptrend,1072,19555,12160,78866,-0.15799999999999992,-0.05266666666666664,0.62,0.281,3413,8747,6.49,9.23,5.42,6,29
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,forex,3,advance_block,3,uptrend,1072,19315,11999,102618,-0.11699999999999999,-0.039,0.62,0.221,2648,9351,8.55,14.59,6.84,6,29
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,forex,4,advance_block,3,uptrend,1072,19135,11885,125181,-0.06600000000000006,-0.02200000000000002,0.62,0.186,2216,9669,10.53,21.71,7.97,6,30
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,forex,5,advance_block,3,uptrend,1072,18894,11705,148403,-0.039999999999999925,-0.013333333333333308,0.62,0.16,1872,9833,12.68,30.43,9.3,6,30
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,stock,1,advance_block,3,uptrend,4086,59911,44447,127324,-0.10000000000000003,-0.03333333333333335,0.74,0.45,19992,24455,2.86,3.01,2.75,9,14
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,stock,2,advance_block,3,uptrend,4086,59248,43904,201813,-0.04800000000000004,-0.016000000000000014,0.74,0.316,13857,30047,4.6,6.07,3.92,7,20
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,stock,3,advance_block,3,uptrend,4086,58706,43474,269776,-0.025000000000000022,-0.00833333333333334,0.74,0.245,10630,32844,6.21,10.05,4.96,4,22
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,stock,4,advance_block,3,uptrend,4086,58193,43084,333215,0.0,0.0,0.74,0.2,8634,34450,7.73,14.9,5.94,5,26
CDLADVANCEBLOCK,bearish,reversal,bullish continuation,stock,5,advance_block,3,uptrend,4086,57777,42757,390904,0.029999999999999916,0.009999999999999972,0.74,0.172,7356,35401,9.14,20.2,6.84,4,27
