pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLBELTHOLD,bearish,reversal,bearish mean reversion,crypto,1,bearish_belt_hold,1,uptrend,236,5926,2281,9898,-0.041000000000000036,-0.041000000000000036,0.38,0.479,1092,1189,4.34,4.03,4.62,14,6
CDLBELTHOLD,bearish,reversal,bearish mean reversion,crypto,2,bearish_belt_hold,1,uptrend,236,5457,2078,20205,-0.124,-0.124,0.38,0.293,609,1469,9.72,12.64,8.51,8,13
CDLBELTHOLD,bearish,reversal,bearish mean reversion,crypto,3,bearish_belt_hold,1,uptrend,236,5059,1915,29238,-0.24,-0.24,0.38,0.19,363,1552,15.27,23.67,13.3,7,15
CDLBELTHOLD,bearish,reversal,bearish mean reversion,crypto,4,bearish_belt_hold,1,uptrend,236,4828,1821,37505,-0.34199999999999997,-0.34199999999999997,0.38,0.132,240,1581,20.6,45.38,16.83,5,20
CDLBELTHOLD,bearish,reversal,bearish mean reversion,crypto,5,bearish_belt_hold,1,uptrend,236,4466,1676,44020,-0.42000000000000004,-0.42000000000000004,0.38,0.096,161,1515,26.26,53.75,23.34,5,21
CDLBELTHOLD,bearish,reversal,bearish mean reversion,forex,1,bearish_belt_hold,1,uptrend,1259,115117,34381,172608,0.21799999999999997,0.21799999999999997,0.3,0.608,20906,13475,5.02,4.73,5.47,117,15
CDLBELTHOLD,bearish,reversal,bearish mean reversion,forex,2,bearish_belt_hold,1,uptrend,1259,104919,30330,382629,0.22799999999999998,0.22799999999999998,0.29,0.409,12410,17920,12.62,14.5,11.31,38,17
CDLBELTHOLD,bearish,reversal,bearish mean reversion,forex,3,bearish_belt_hold,1,uptrend,1259,100382,28725,546679,0.20599999999999996,0.20599999999999996,0.29,0.302,8681,20044,19.03,26.37,15.85,26,25
CDLBELTHOLD,bearish,reversal,bearish mean reversion,forex,4,bearish_belt_hold,1,uptrend,1259,97501,27703,672554,0.19599999999999995,0.19599999999999995,0.28,0.239,6623,21080,24.28,39.32,19.55,22,25
CDLBELTHOLD,bearish,reversal,bearish mean reversion,forex,5,bearish_belt_hold,1,uptrend,1259,94966,26736,783282,0.18999999999999995,0.18999999999999995,0.28,0.198,5291,21445,29.3,55.97,22.71,17,32
CDLBELTHOLD,bearish,reversal,bearish mean reversion,stock,1,bearish_belt_hold,1,uptrend,5825,522196,195104,902986,0.12299999999999994,0.12299999999999994,0.37,0.563,109815,85289,4.63,4.3,5.05,71,9
CDLBELTHOLD,bearish,reversal,bearish mean reversion,stock,2,bearish_belt_hold,1,uptrend,5825,480440,178779,1605721,0.11399999999999999,0.11399999999999999,0.37,0.372,66550,112229,8.98,10.14,8.3,47,18
CDLBELTHOLD,bearish,reversal,bearish mean reversion,stock,3,bearish_belt_hold,1,uptrend,5825,457613,169791,2241790,0.08000000000000007,0.08000000000000007,0.37,0.27,45817,123974,13.2,18.1,11.39,32,26
CDLBELTHOLD,bearish,reversal,bearish mean reversion,stock,4,bearish_belt_hold,1,uptrend,5825,441508,163487,2839794,0.041999999999999926,0.041999999999999926,0.37,0.208,33990,129497,17.37,28.07,14.56,24,36
CDLBELTHOLD,bearish,reversal,bearish mean reversion,stock,5,bearish_belt_hold,1,uptrend,5825,426387,157543,3353752,0.0050000000000001155,0.0050000000000001155,0.37,0.167,26363,131180,21.29,39.61,17.61,21,42
