pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLBREAKAWAY,bearish,reversal,bearish reversal,forex,1,bearish_breakaway,5,uptrend,1,2,1,1,1.0,0.2,0.5,1.0,1,0,1.0,1.0,,1,0
CDLBREAKAWAY,bearish,reversal,bearish reversal,forex,2,bearish_breakaway,5,uptrend,1,2,1,1,2.0,0.4,0.5,1.0,1,0,1.0,1.0,,1,0
CDLBREAKAWAY,bearish,reversal,bearish reversal,forex,3,bearish_breakaway,5,uptrend,1,2,1,3,-1.0,-0.2,0.5,0.0,0,1,3.0,,3.0,0,1
CDLBREAKAWAY,bearish,reversal,bearish reversal,forex,4,bearish_breakaway,5,uptrend,1,2,1,3,-1.0,-0.2,0.5,0.0,0,1,3.0,,3.0,0,1
CDLBREAKAWAY,bearish,reversal,bearish reversal,forex,5,bearish_breakaway,5,uptrend,1,2,1,3,-1.0,-0.2,0.5,0.0,0,1,3.0,,3.0,0,1
CDLBREAKAWAY,bearish,reversal,bearish reversal,stock,1,bearish_breakaway,5,uptrend,77,164,125,1293,0.07600000000000001,0.015200000000000002,0.76,0.536,67,58,10.34,7.07,14.12,3,2
CDLBREAKAWAY,bearish,reversal,bearish reversal,stock,2,bearish_breakaway,5,uptrend,77,164,125,2176,-0.10799999999999998,-0.021599999999999998,0.76,0.296,37,88,17.41,15.38,18.26,2,3
CDLBREAKAWAY,bearish,reversal,bearish reversal,stock,3,bearish_breakaway,5,uptrend,77,164,125,2690,-0.040000000000000036,-0.008000000000000007,0.76,0.24,30,95,21.52,25.4,20.29,2,3
CDLBREAKAWAY,bearish,reversal,bearish reversal,stock,4,bearish_breakaway,5,uptrend,77,164,124,3365,-0.07999999999999996,-0.015999999999999993,0.76,0.185,23,101,27.14,40.78,24.03,2,3
CDLBREAKAWAY,bearish,reversal,bearish reversal,stock,5,bearish_breakaway,5,uptrend,77,164,124,3774,-0.22499999999999998,-0.045,0.76,0.129,16,108,30.44,46.94,27.99,1,3
