pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLBREAKAWAY,bearish,reversal,bullish continuation,forex,1,bearish_breakaway,5,uptrend,1,2,2,3,-1.0,-0.2,1.0,0.0,0,2,1.5,,1.5,0,2
CDLBREAKAWAY,bearish,reversal,bullish continuation,forex,2,bearish_breakaway,5,uptrend,1,2,2,3,-1.0,-0.2,1.0,0.0,0,2,1.5,,1.5,0,2
CDLBREAKAWAY,bearish,reversal,bullish continuation,forex,3,bearish_breakaway,5,uptrend,1,2,2,3,-1.0,-0.2,1.0,0.0,0,2,1.5,,1.5,0,2
CDLBREAKAWAY,bearish,reversal,bullish continuation,forex,4,bearish_breakaway,5,uptrend,1,2,2,3,-1.0,-0.2,1.0,0.0,0,2,1.5,,1.5,0,2
CDLBREAKAWAY,bearish,reversal,bullish continuation,forex,5,bearish_breakaway,5,uptrend,1,2,2,3,-1.0,-0.2,1.0,0.0,0,2,1.5,,1.5,0,2
CDLBREAKAWAY,bearish,reversal,bullish continuation,stock,1,bearish_breakaway,5,uptrend,77,164,153,153,-0.9369999999999999,-0.18739999999999998,0.93,0.033,5,148,1.0,1.0,1.0,0,3
CDLBREAKAWAY,bearish,reversal,bullish continuation,stock,2,bearish_breakaway,5,uptrend,77,164,153,154,-0.9039999999999999,-0.1808,0.93,0.033,5,148,1.01,1.2,1.0,0,3
CDLBREAKAWAY,bearish,reversal,bullish continuation,stock,3,bearish_breakaway,5,uptrend,77,164,153,154,-0.871,-0.1742,0.93,0.033,5,148,1.01,1.2,1.0,0,3
CDLBREAKAWAY,bearish,reversal,bullish continuation,stock,4,bearish_breakaway,5,uptrend,77,164,153,156,-0.838,-0.1676,0.93,0.033,5,148,1.02,1.6,1.0,0,3
CDLBREAKAWAY,bearish,reversal,bullish continuation,stock,5,bearish_breakaway,5,uptrend,77,164,153,158,-0.84,-0.16799999999999998,0.93,0.026,4,149,1.03,1.25,1.03,0,3
