pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCLOSINGMARUBOZU,bearish,,bearish,crypto,1,bearish_closing_marubozu,1,none,247,11823,9498,76701,-0.11700000000000005,-0.11700000000000005,0.8,0.443,4210,5288,8.08,7.61,8.45,48,14
CDLCLOSINGMARUBOZU,bearish,,bearish,crypto,2,bearish_closing_marubozu,1,none,247,8283,6784,100559,-0.13,-0.13,0.82,0.29,1965,4819,14.82,17.16,13.87,30,17
CDLCLOSINGMARUBOZU,bearish,,bearish,crypto,3,bearish_closing_marubozu,1,none,247,6132,5013,107974,-0.19399999999999995,-0.19399999999999995,0.82,0.202,1014,3999,21.54,26.81,20.2,19,38
CDLCLOSINGMARUBOZU,bearish,,bearish,crypto,4,bearish_closing_marubozu,1,none,247,4858,4030,112736,-0.254,-0.254,0.83,0.149,602,3428,27.97,36.53,26.47,12,29
CDLCLOSINGMARUBOZU,bearish,,bearish,crypto,5,bearish_closing_marubozu,1,none,247,4181,3426,114219,-0.29999999999999993,-0.29999999999999993,0.82,0.116,397,3029,33.34,53.32,30.72,11,39
CDLCLOSINGMARUBOZU,bearish,,bearish,forex,1,bearish_closing_marubozu,1,none,1279,233725,163334,1118174,0.0,0.0,0.7,0.5,81687,81647,6.85,6.83,6.86,270,53
CDLCLOSINGMARUBOZU,bearish,,bearish,forex,2,bearish_closing_marubozu,1,none,1279,172740,123029,1541111,0.02200000000000002,0.02200000000000002,0.71,0.341,41902,81127,12.53,15.92,10.78,140,63
CDLCLOSINGMARUBOZU,bearish,,bearish,forex,3,bearish_closing_marubozu,1,none,1279,143031,102844,1805769,0.025000000000000022,0.025000000000000022,0.72,0.255,26233,76611,17.56,27.43,14.18,90,99
CDLCLOSINGMARUBOZU,bearish,,bearish,forex,4,bearish_closing_marubozu,1,none,1279,124921,89735,2004289,0.01200000000000001,0.01200000000000001,0.72,0.203,18204,71531,22.34,42.29,17.26,63,99
CDLCLOSINGMARUBOZU,bearish,,bearish,forex,5,bearish_closing_marubozu,1,none,1279,111907,80210,2159561,0.0050000000000001155,0.0050000000000001155,0.72,0.167,13399,66811,26.92,60.5,20.19,50,98
CDLCLOSINGMARUBOZU,bearish,,bearish,stock,1,bearish_closing_marubozu,1,none,6434,924462,778167,3787582,-0.020000000000000018,-0.020000000000000018,0.84,0.49,380947,397220,4.87,4.66,5.07,221,19
CDLCLOSINGMARUBOZU,bearish,,bearish,stock,2,bearish_closing_marubozu,1,none,6434,753895,635571,5519940,-0.018000000000000016,-0.018000000000000016,0.84,0.326,206962,428609,8.69,10.36,7.88,141,24
CDLCLOSINGMARUBOZU,bearish,,bearish,stock,3,bearish_closing_marubozu,1,none,6434,641913,541472,6713615,-0.04300000000000004,-0.04300000000000004,0.84,0.239,129548,411924,12.4,17.88,10.67,101,49
CDLCLOSINGMARUBOZU,bearish,,bearish,stock,4,bearish_closing_marubozu,1,none,6434,560212,472596,7513493,-0.06600000000000006,-0.06600000000000006,0.84,0.186,88066,384530,15.9,26.96,13.36,78,50
CDLCLOSINGMARUBOZU,bearish,,bearish,stock,5,bearish_closing_marubozu,1,none,6434,496738,418716,8010360,-0.09999999999999998,-0.09999999999999998,0.84,0.15,62962,355754,19.13,37.45,15.89,67,54
