pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,1,bearish_closing_marubozu,1,none,247,11958,7592,62254,0.18,0.18,0.63,0.59,4477,3115,8.2,8.0,8.49,11,7
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,2,bearish_closing_marubozu,1,none,247,9455,6041,88812,0.28,0.28,0.64,0.425,2566,3475,14.7,17.92,12.32,8,8
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,3,bearish_closing_marubozu,1,none,247,8414,5374,103291,0.3450000000000001,0.3450000000000001,0.64,0.335,1801,3573,19.22,26.79,15.4,7,12
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,4,bearish_closing_marubozu,1,none,247,7681,4885,111283,0.4159999999999999,0.4159999999999999,0.64,0.284,1389,3496,22.78,35.8,17.61,4,12
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,5,bearish_closing_marubozu,1,none,247,7225,4571,116316,0.48,0.48,0.63,0.246,1125,3446,25.45,44.77,19.14,5,13
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,1,bearish_closing_marubozu,1,none,1279,230728,113192,785305,0.19999999999999996,0.19999999999999996,0.49,0.6,67859,45333,6.94,6.32,7.86,117,17
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,2,bearish_closing_marubozu,1,none,1279,179649,84993,1358946,0.19000000000000006,0.19000000000000006,0.47,0.395,33539,51454,15.99,18.06,14.64,10,38
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,3,bearish_closing_marubozu,1,none,1279,155511,72575,1687686,0.18799999999999994,0.18799999999999994,0.47,0.296,21455,51120,23.25,32.26,19.48,37,56
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,4,bearish_closing_marubozu,1,none,1279,138540,63842,1892403,0.18799999999999994,0.18799999999999994,0.46,0.237,15123,48719,29.64,48.25,23.87,6,57
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,5,bearish_closing_marubozu,1,none,1279,126202,57305,2044667,0.18500000000000005,0.18500000000000005,0.45,0.197,11313,45992,35.68,66.84,28.02,5,70
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,1,bearish_closing_marubozu,1,none,6434,860091,580355,3176205,0.16099999999999998,0.16099999999999998,0.67,0.581,337221,243134,5.47,5.27,5.75,21,11
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,2,bearish_closing_marubozu,1,none,6434,725069,487274,5187191,0.236,0.236,0.67,0.413,201232,286042,10.65,12.92,9.05,11,15
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,3,bearish_closing_marubozu,1,none,6434,629170,421045,6581623,0.29500000000000004,0.29500000000000004,0.67,0.325,136931,284114,15.63,23.11,12.03,7,26
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,4,bearish_closing_marubozu,1,none,6434,557729,371232,7610606,0.3580000000000001,0.3580000000000001,0.67,0.272,100965,270267,20.5,35.54,14.88,6,32
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,5,bearish_closing_marubozu,1,none,6434,503812,333310,8349652,0.4149999999999998,0.4149999999999998,0.66,0.235,78341,254969,25.05,49.37,17.58,6,36
