pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,1,bearish_closing_marubozu,1,none,247,15779,5853,19701,-0.29800000000000004,-0.29800000000000004,0.37,0.352,2058,3795,3.37,4.04,3.0,6,20
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,2,bearish_closing_marubozu,1,none,247,14994,5521,28428,-0.244,-0.244,0.37,0.253,1397,4124,5.15,7.41,4.38,5,21
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,3,bearish_closing_marubozu,1,none,247,14515,5334,34201,-0.18800000000000006,-0.18800000000000006,0.37,0.204,1088,4246,6.41,11.34,5.15,3,32
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,4,bearish_closing_marubozu,1,none,247,14028,5128,39143,-0.11599999999999999,-0.11599999999999999,0.37,0.176,901,4227,7.63,15.51,5.95,3,32
CDLCLOSINGMARUBOZU,bearish,,bullish,crypto,5,bearish_closing_marubozu,1,none,247,13760,5027,42805,-0.09499999999999997,-0.09499999999999997,0.37,0.151,760,4267,8.52,19.52,6.56,3,32
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,1,bearish_closing_marubozu,1,none,1279,244326,87714,608491,-0.28200000000000003,-0.28200000000000003,0.36,0.358,31419,56295,6.94,8.21,6.23,11,52
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,2,bearish_closing_marubozu,1,none,1279,219107,77266,826387,-0.246,-0.246,0.35,0.252,19460,57806,10.7,15.93,8.93,9,107
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,3,bearish_closing_marubozu,1,none,1279,203767,71270,973400,-0.2310000000000001,-0.2310000000000001,0.35,0.193,13745,57525,13.66,24.92,10.97,7,136
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,4,bearish_closing_marubozu,1,none,1279,190506,66204,1100822,-0.21599999999999997,-0.21599999999999997,0.35,0.156,10302,55902,16.63,36.08,13.04,6,135
CDLCLOSINGMARUBOZU,bearish,,bullish,forex,5,bearish_closing_marubozu,1,none,1279,181234,62672,1196200,-0.21999999999999997,-0.21999999999999997,0.35,0.13,8165,54507,19.09,48.94,14.61,6,133
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,1,bearish_closing_marubozu,1,none,6434,955958,378558,1303717,-0.21899999999999997,-0.21899999999999997,0.4,0.391,147971,230587,3.44,4.12,3.01,13,16
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,2,bearish_closing_marubozu,1,none,6434,911916,360184,2007807,-0.15600000000000003,-0.15600000000000003,0.39,0.282,101727,258457,5.57,8.58,4.39,7,29
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,3,bearish_closing_marubozu,1,none,6434,872487,343838,2622600,-0.10499999999999998,-0.10499999999999998,0.39,0.225,77452,266386,7.63,14.41,5.66,7,37
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,4,bearish_closing_marubozu,1,none,6434,836209,328870,3177537,-0.05400000000000005,-0.05400000000000005,0.39,0.189,62175,266695,9.66,21.63,6.87,5,41
CDLCLOSINGMARUBOZU,bearish,,bullish,stock,5,bearish_closing_marubozu,1,none,6434,804095,315868,3667425,-0.019999999999999907,-0.019999999999999907,0.39,0.164,51746,264122,11.61,30.1,7.99,5,43
