pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,crypto,1,bearish_counterattack,2,uptrend,7,21,11,23,-0.08500000000000002,-0.04250000000000001,0.52,0.455,5,6,2.09,3.0,1.33,2,2
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,crypto,2,bearish_counterattack,2,uptrend,7,21,10,22,0.20000000000000007,0.10000000000000003,0.48,0.4,4,6,2.2,3.5,1.33,2,2
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,crypto,3,bearish_counterattack,2,uptrend,7,20,10,61,0.19999999999999996,0.09999999999999998,0.5,0.3,3,7,6.1,5.0,6.57,2,2
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,crypto,4,bearish_counterattack,2,uptrend,7,20,10,65,0.0,0.0,0.5,0.2,2,8,6.5,3.0,7.38,1,2
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,crypto,5,bearish_counterattack,2,uptrend,7,20,10,65,0.19999999999999996,0.09999999999999998,0.5,0.2,2,8,6.5,3.0,7.38,1,2
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,forex,1,bearish_counterattack,2,uptrend,92,404,143,964,0.38199999999999995,0.19099999999999998,0.35,0.692,99,44,6.74,3.57,13.89,6,3
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,forex,2,bearish_counterattack,2,uptrend,92,386,138,3606,0.17200000000000004,0.08600000000000002,0.36,0.391,54,84,26.13,23.56,27.79,5,5
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,forex,3,bearish_counterattack,2,uptrend,92,383,133,6453,0.049000000000000044,0.024500000000000022,0.35,0.263,35,98,48.52,47.29,48.96,4,8
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,forex,4,bearish_counterattack,2,uptrend,92,379,131,6865,0.21599999999999997,0.10799999999999998,0.35,0.244,32,99,52.4,63.81,48.72,4,8
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,forex,5,bearish_counterattack,2,uptrend,92,373,130,8638,0.1499999999999999,0.07499999999999996,0.35,0.192,25,105,66.45,71.6,65.22,4,8
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,stock,1,bearish_counterattack,2,uptrend,1806,5733,1947,7421,0.13699999999999996,0.06849999999999998,0.34,0.567,1103,844,3.81,3.52,4.19,4,3
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,stock,2,bearish_counterattack,2,uptrend,1806,5721,1942,14936,0.10799999999999998,0.05399999999999999,0.34,0.369,717,1225,7.69,9.7,6.51,3,5
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,stock,3,bearish_counterattack,2,uptrend,1806,5705,1935,23005,0.03700000000000003,0.018500000000000016,0.34,0.259,502,1433,11.89,17.48,9.93,3,5
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,stock,4,bearish_counterattack,2,uptrend,1806,5702,1933,30475,-0.008000000000000007,-0.0040000000000000036,0.34,0.198,383,1550,15.77,25.33,13.4,3,5
CDLCOUNTERATTACK,bearish,reversal,bearish mean reversion,stock,5,bearish_counterattack,2,uptrend,1806,5698,1927,37985,-0.05499999999999994,-0.02749999999999997,0.34,0.157,303,1624,19.71,38.87,16.14,3,5
