pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,crypto,1,bearish_counterattack,2,uptrend,7,21,20,25,-0.19999999999999996,-0.09999999999999998,0.95,0.4,8,12,1.25,1.38,1.17,1,3
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,crypto,2,bearish_counterattack,2,uptrend,7,21,20,27,0.04999999999999993,0.024999999999999967,0.95,0.35,7,13,1.35,1.57,1.23,1,5
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,crypto,3,bearish_counterattack,2,uptrend,7,21,20,27,0.3999999999999998,0.1999999999999999,0.95,0.35,7,13,1.35,1.57,1.23,1,5
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,crypto,4,bearish_counterattack,2,uptrend,7,21,20,46,0.5,0.25,0.95,0.3,6,14,2.3,1.17,2.79,1,5
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,crypto,5,bearish_counterattack,2,uptrend,7,21,20,46,0.8,0.4,0.95,0.3,6,14,2.3,1.17,2.79,1,5
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,forex,1,bearish_counterattack,2,uptrend,92,406,358,902,-0.499,-0.2495,0.88,0.251,90,268,2.52,3.42,2.22,2,8
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,forex,2,bearish_counterattack,2,uptrend,92,405,357,1501,-0.39200000000000007,-0.19600000000000004,0.88,0.204,73,284,4.2,3.9,4.28,2,13
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,forex,3,bearish_counterattack,2,uptrend,92,404,356,1569,-0.20900000000000007,-0.10450000000000004,0.88,0.197,70,286,4.41,4.41,4.41,2,13
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,forex,4,bearish_counterattack,2,uptrend,92,404,356,1764,-0.134,-0.067,0.88,0.174,62,294,4.96,4.39,5.07,2,13
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,forex,5,bearish_counterattack,2,uptrend,92,404,356,1876,0.025000000000000133,0.012500000000000067,0.88,0.171,61,295,5.27,6.26,5.06,2,13
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,stock,1,bearish_counterattack,2,uptrend,1806,5752,5013,8830,-0.256,-0.128,0.87,0.374,1875,3138,1.76,2.15,1.53,5,7
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,stock,2,bearish_counterattack,2,uptrend,1806,5749,5010,11718,-0.04800000000000004,-0.02400000000000002,0.87,0.316,1583,3427,2.34,2.75,2.15,4,8
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,stock,3,bearish_counterattack,2,uptrend,1806,5745,5005,13965,0.1170000000000001,0.05850000000000005,0.87,0.279,1396,3609,2.79,3.71,2.43,4,8
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,stock,4,bearish_counterattack,2,uptrend,1806,5737,4998,16393,0.246,0.123,0.87,0.249,1247,3751,3.28,4.97,2.72,4,8
CDLCOUNTERATTACK,bearish,reversal,bullish continuation,stock,5,bearish_counterattack,2,uptrend,1806,5734,4995,18577,0.4149999999999998,0.2074999999999999,0.87,0.235,1172,3823,3.72,6.21,2.96,4,10
