pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDOJISTAR,bearish,reversal,bearish reversal,crypto,1,bearish_doji_star,2,uptrend,126,533,367,1803,-0.319,-0.1595,0.69,0.341,125,242,4.91,5.55,4.58,5,6
CDLDOJISTAR,bearish,reversal,bearish reversal,crypto,2,bearish_doji_star,2,uptrend,126,531,362,2523,-0.40800000000000003,-0.20400000000000001,0.68,0.196,71,291,6.97,8.61,6.57,3,8
CDLDOJISTAR,bearish,reversal,bearish reversal,crypto,3,bearish_doji_star,2,uptrend,126,525,355,3593,-0.48,-0.24,0.68,0.13,46,309,10.12,27.3,7.56,2,8
CDLDOJISTAR,bearish,reversal,bearish reversal,crypto,4,bearish_doji_star,2,uptrend,126,516,347,4730,-0.542,-0.271,0.67,0.092,32,315,13.63,17.94,13.19,2,8
CDLDOJISTAR,bearish,reversal,bearish reversal,crypto,5,bearish_doji_star,2,uptrend,126,515,345,5323,-0.515,-0.2575,0.67,0.081,28,317,15.43,31.86,13.98,2,8
CDLDOJISTAR,bearish,reversal,bearish reversal,forex,1,bearish_doji_star,2,uptrend,692,7152,4592,15910,-0.28300000000000003,-0.14150000000000001,0.64,0.357,1641,2951,3.46,4.39,2.95,12,17
CDLDOJISTAR,bearish,reversal,bearish reversal,forex,2,bearish_doji_star,2,uptrend,692,7118,4565,26913,-0.28400000000000003,-0.14200000000000002,0.64,0.238,1087,3478,5.9,9.07,4.9,8,30
CDLDOJISTAR,bearish,reversal,bearish reversal,forex,3,bearish_doji_star,2,uptrend,692,7082,4542,39866,-0.31100000000000005,-0.15550000000000003,0.64,0.173,786,3756,8.78,18.69,6.7,7,30
CDLDOJISTAR,bearish,reversal,bearish reversal,forex,4,bearish_doji_star,2,uptrend,692,7050,4516,48991,-0.31599999999999995,-0.15799999999999997,0.64,0.136,614,3902,10.85,25.23,8.59,7,30
CDLDOJISTAR,bearish,reversal,bearish reversal,forex,5,bearish_doji_star,2,uptrend,692,7017,4489,58001,-0.31999999999999995,-0.15999999999999998,0.64,0.114,511,3978,12.92,35.77,9.98,6,30
CDLDOJISTAR,bearish,reversal,bearish reversal,stock,1,bearish_doji_star,2,uptrend,4834,124411,86517,233831,-0.16299999999999998,-0.08149999999999999,0.7,0.417,36048,50469,2.7,3.0,2.49,30,15
CDLDOJISTAR,bearish,reversal,bearish reversal,stock,2,bearish_doji_star,2,uptrend,4834,123462,85837,373910,-0.09999999999999998,-0.04999999999999999,0.7,0.3,25714,60123,4.36,5.77,3.75,30,21
CDLDOJISTAR,bearish,reversal,bearish reversal,stock,3,bearish_doji_star,2,uptrend,4834,122543,85154,504181,-0.049000000000000044,-0.024500000000000022,0.69,0.237,20206,64948,5.92,8.97,4.97,29,35
CDLDOJISTAR,bearish,reversal,bearish reversal,stock,4,bearish_doji_star,2,uptrend,4834,121548,84421,633444,-0.01200000000000001,-0.006000000000000005,0.69,0.197,16608,67813,7.5,12.8,6.21,29,39
CDLDOJISTAR,bearish,reversal,bearish reversal,stock,5,bearish_doji_star,2,uptrend,4834,120704,83785,754062,0.015000000000000124,0.007500000000000062,0.69,0.169,14194,69591,9.0,16.68,7.43,29,39
