pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDOJISTAR,bearish,reversal,bullish continuation,crypto,1,bearish_doji_star,2,uptrend,126,541,350,1050,-0.19699999999999995,-0.09849999999999998,0.65,0.403,141,209,3.0,2.32,3.46,4,5
CDLDOJISTAR,bearish,reversal,bullish continuation,crypto,2,bearish_doji_star,2,uptrend,126,537,347,1441,-0.07399999999999995,-0.03699999999999998,0.65,0.308,107,240,4.15,4.34,4.07,4,6
CDLDOJISTAR,bearish,reversal,bullish continuation,crypto,3,bearish_doji_star,2,uptrend,126,534,345,1786,0.07100000000000006,0.03550000000000003,0.65,0.267,92,253,5.18,6.49,4.7,4,8
CDLDOJISTAR,bearish,reversal,bullish continuation,crypto,4,bearish_doji_star,2,uptrend,126,533,344,2093,0.16200000000000003,0.08100000000000002,0.65,0.233,80,264,6.08,9.9,4.93,4,8
CDLDOJISTAR,bearish,reversal,bullish continuation,crypto,5,bearish_doji_star,2,uptrend,126,527,340,2342,0.24,0.12,0.65,0.206,70,270,6.89,11.71,5.64,4,8
CDLDOJISTAR,bearish,reversal,bullish continuation,forex,1,bearish_doji_star,2,uptrend,692,7154,4573,17531,-0.35900000000000004,-0.17950000000000002,0.64,0.321,1466,3107,3.83,5.38,3.1,8,29
CDLDOJISTAR,bearish,reversal,bullish continuation,forex,2,bearish_doji_star,2,uptrend,692,7069,4504,27723,-0.39000000000000007,-0.19500000000000003,0.64,0.205,922,3582,6.16,12.2,4.6,4,36
CDLDOJISTAR,bearish,reversal,bullish continuation,forex,3,bearish_doji_star,2,uptrend,692,7016,4467,36344,-0.388,-0.194,0.64,0.154,688,3779,8.14,21.39,5.72,3,36
CDLDOJISTAR,bearish,reversal,bullish continuation,forex,4,bearish_doji_star,2,uptrend,692,6966,4433,45684,-0.404,-0.202,0.64,0.119,529,3904,10.31,34.93,6.97,3,38
CDLDOJISTAR,bearish,reversal,bullish continuation,forex,5,bearish_doji_star,2,uptrend,692,6914,4399,53401,-0.39,-0.195,0.64,0.102,447,3952,12.14,50.8,7.77,2,38
CDLDOJISTAR,bearish,reversal,bullish continuation,stock,1,bearish_doji_star,2,uptrend,4834,125466,86900,210761,-0.14499999999999996,-0.07249999999999998,0.69,0.425,36950,49950,2.43,2.63,2.27,11,18
CDLDOJISTAR,bearish,reversal,bullish continuation,stock,2,bearish_doji_star,2,uptrend,4834,123772,85624,319103,-0.07199999999999995,-0.035999999999999976,0.69,0.309,26465,59159,3.73,5.07,3.12,7,26
CDLDOJISTAR,bearish,reversal,bullish continuation,stock,3,bearish_doji_star,2,uptrend,4834,122249,84501,420573,-0.006000000000000005,-0.0030000000000000027,0.69,0.248,20948,63553,4.98,8.21,3.91,7,34
CDLDOJISTAR,bearish,reversal,bullish continuation,stock,4,bearish_doji_star,2,uptrend,4834,120873,83487,508011,0.04599999999999993,0.022999999999999965,0.69,0.209,17472,66015,6.08,11.46,4.66,6,35
CDLDOJISTAR,bearish,reversal,bullish continuation,stock,5,bearish_doji_star,2,uptrend,4834,119701,82622,595509,0.09999999999999998,0.04999999999999999,0.69,0.184,15177,67445,7.21,15.37,5.37,6,35
