pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,crypto,1,bearish_harami_cross,2,uptrend,130,646,228,1352,0.28500000000000003,0.14250000000000002,0.35,0.645,147,81,5.93,5.13,7.38,6,3
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,crypto,2,bearish_harami_cross,2,uptrend,130,632,221,2713,0.44799999999999995,0.22399999999999998,0.35,0.484,107,114,12.28,10.03,14.39,6,5
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,crypto,3,bearish_harami_cross,2,uptrend,130,625,217,3346,0.5660000000000002,0.2830000000000001,0.35,0.392,85,132,15.42,14.44,16.05,6,5
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,crypto,4,bearish_harami_cross,2,uptrend,130,622,216,3800,0.646,0.323,0.35,0.329,71,145,17.59,19.23,16.79,5,5
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,crypto,5,bearish_harami_cross,2,uptrend,130,621,215,4189,0.73,0.365,0.35,0.288,62,153,19.48,23.87,17.71,3,5
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,forex,1,bearish_harami_cross,2,uptrend,714,7017,2125,10871,0.262,0.131,0.3,0.632,1343,782,5.12,5.35,4.72,10,4
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,forex,2,bearish_harami_cross,2,uptrend,714,6868,2055,25836,0.2220000000000001,0.11100000000000004,0.3,0.406,835,1220,12.57,14.98,10.93,6,7
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,forex,3,bearish_harami_cross,2,uptrend,714,6767,2011,39366,0.15700000000000003,0.07850000000000001,0.3,0.289,582,1429,19.58,29.48,15.54,4,10
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,forex,4,bearish_harami_cross,2,uptrend,714,6699,1985,50509,0.10399999999999998,0.05199999999999999,0.3,0.221,438,1547,25.45,44.75,19.98,4,10
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,forex,5,bearish_harami_cross,2,uptrend,714,6655,1965,58268,0.08999999999999997,0.044999999999999984,0.3,0.182,357,1608,29.65,59.15,23.1,5,10
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,stock,1,bearish_harami_cross,2,uptrend,4784,104737,39675,139269,0.179,0.0895,0.38,0.589,23355,16320,3.51,3.33,3.77,15,10
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,stock,2,bearish_harami_cross,2,uptrend,4784,103071,38942,262159,0.23199999999999998,0.11599999999999999,0.38,0.411,15996,22946,6.73,7.87,5.94,8,12
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,stock,3,bearish_harami_cross,2,uptrend,4784,101729,38392,368511,0.2859999999999999,0.14299999999999996,0.38,0.322,12364,26028,9.6,13.53,7.73,5,16
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,stock,4,bearish_harami_cross,2,uptrend,4784,100578,37900,465303,0.3460000000000001,0.17300000000000004,0.38,0.269,10202,27698,12.28,20.16,9.37,5,17
CDLHARAMICROSS,bearish,reversal,bullish mean reversion,stock,5,bearish_harami_cross,2,uptrend,4784,99585,37470,556322,0.40000000000000013,0.20000000000000007,0.38,0.234,8770,28700,14.85,27.92,10.85,4,18
