pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHIGHWAVE,bearish,,bearish,crypto,1,bearish_high_wave,1,none,246,10475,6710,33467,-0.20299999999999996,-0.20299999999999996,0.64,0.397,2667,4043,4.99,5.4,4.72,39,20
CDLHIGHWAVE,bearish,,bearish,crypto,2,bearish_high_wave,1,none,246,8817,5610,54254,-0.21799999999999997,-0.21799999999999997,0.64,0.261,1465,4145,9.67,11.5,9.03,27,26
CDLHIGHWAVE,bearish,,bearish,crypto,3,bearish_high_wave,1,none,246,7544,4757,66044,-0.265,-0.265,0.63,0.185,882,3875,13.88,19.39,12.63,15,26
CDLHIGHWAVE,bearish,,bearish,crypto,4,bearish_high_wave,1,none,246,6407,4004,76033,-0.30399999999999994,-0.30399999999999994,0.62,0.139,555,3449,18.99,29.96,17.22,11,26
CDLHIGHWAVE,bearish,,bearish,crypto,5,bearish_high_wave,1,none,246,5645,3506,84578,-0.375,-0.375,0.62,0.105,369,3137,24.12,40.92,22.15,9,33
CDLHIGHWAVE,bearish,,bearish,forex,1,bearish_high_wave,1,none,1059,149362,99942,371813,-0.261,-0.261,0.67,0.369,36830,63112,3.72,4.31,3.38,223,17
CDLHIGHWAVE,bearish,,bearish,forex,2,bearish_high_wave,1,none,1059,136724,91461,562125,-0.22999999999999998,-0.22999999999999998,0.67,0.255,23332,68129,6.15,9.2,5.1,215,33
CDLHIGHWAVE,bearish,,bearish,forex,3,bearish_high_wave,1,none,1059,126629,84605,724828,-0.22799999999999998,-0.22799999999999998,0.67,0.194,16445,68160,8.57,15.84,6.81,180,100
CDLHIGHWAVE,bearish,,bearish,forex,4,bearish_high_wave,1,none,1059,117970,78722,863619,-0.21999999999999997,-0.21999999999999997,0.67,0.155,12169,66553,10.97,24.93,8.42,149,104
CDLHIGHWAVE,bearish,,bearish,forex,5,bearish_high_wave,1,none,1059,111025,73964,978771,-0.235,-0.235,0.67,0.127,9405,64559,13.23,36.36,9.86,96,104
CDLHIGHWAVE,bearish,,bearish,stock,1,bearish_high_wave,1,none,5703,678755,461464,1413758,-0.14199999999999996,-0.14199999999999996,0.68,0.428,197662,263802,3.06,3.3,2.89,124,17
CDLHIGHWAVE,bearish,,bearish,stock,2,bearish_high_wave,1,none,5703,636431,432800,2225097,-0.134,-0.134,0.68,0.288,124441,308359,5.14,6.92,4.42,88,27
CDLHIGHWAVE,bearish,,bearish,stock,3,bearish_high_wave,1,none,5703,599734,407810,2918108,-0.15100000000000002,-0.15100000000000002,0.68,0.213,86871,320939,7.16,11.86,5.88,66,32
CDLHIGHWAVE,bearish,,bearish,stock,4,bearish_high_wave,1,none,5703,566157,384829,3513738,-0.16199999999999992,-0.16199999999999992,0.68,0.167,64215,320614,9.13,17.74,7.41,58,42
CDLHIGHWAVE,bearish,,bearish,stock,5,bearish_high_wave,1,none,5703,536483,364561,4021112,-0.17999999999999994,-0.17999999999999994,0.68,0.136,49555,315006,11.03,24.74,8.87,44,59
