pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHIGHWAVE,bearish,,bullish,crypto,1,bearish_high_wave,1,none,246,10131,5842,32165,0.13799999999999996,0.13799999999999996,0.58,0.568,3318,2524,5.51,5.47,5.56,13,7
CDLHIGHWAVE,bearish,,bullish,crypto,2,bearish_high_wave,1,none,246,8852,5056,51056,0.22399999999999998,0.22399999999999998,0.57,0.407,2058,2998,10.1,11.44,9.18,7,8
CDLHIGHWAVE,bearish,,bullish,crypto,3,bearish_high_wave,1,none,246,8200,4676,60810,0.30799999999999994,0.30799999999999994,0.57,0.326,1525,3151,13.0,17.42,10.87,5,13
CDLHIGHWAVE,bearish,,bullish,crypto,4,bearish_high_wave,1,none,246,7699,4383,67701,0.4119999999999999,0.4119999999999999,0.57,0.283,1239,3144,15.45,22.71,12.59,5,13
CDLHIGHWAVE,bearish,,bullish,crypto,5,bearish_high_wave,1,none,246,7349,4163,71887,0.4650000000000001,0.4650000000000001,0.57,0.245,1021,3142,17.27,28.81,13.52,3,16
CDLHIGHWAVE,bearish,,bullish,forex,1,bearish_high_wave,1,none,1059,144689,86542,344658,0.10200000000000004,0.10200000000000004,0.6,0.552,47770,38772,3.98,4.02,3.93,21,11
CDLHIGHWAVE,bearish,,bullish,forex,2,bearish_high_wave,1,none,1059,123920,73475,659701,0.08199999999999996,0.08199999999999996,0.59,0.361,26515,46960,8.98,11.15,7.75,8,40
CDLHIGHWAVE,bearish,,bullish,forex,3,bearish_high_wave,1,none,1059,112738,66424,856382,0.04600000000000004,0.04600000000000004,0.59,0.262,17434,48990,12.89,19.93,10.39,4,103
CDLHIGHWAVE,bearish,,bullish,forex,4,bearish_high_wave,1,none,1059,104294,61301,995985,0.019999999999999907,0.019999999999999907,0.59,0.205,12539,48762,16.25,29.84,12.75,4,202
CDLHIGHWAVE,bearish,,bullish,forex,5,bearish_high_wave,1,none,1059,97368,57093,1117049,0.02000000000000013,0.02000000000000013,0.59,0.17,9704,47389,19.57,42.04,14.96,4,202
CDLHIGHWAVE,bearish,,bullish,stock,1,bearish_high_wave,1,none,5703,653050,381101,1341044,0.15799999999999997,0.15799999999999997,0.58,0.578,220112,160989,3.52,3.41,3.66,14,11
CDLHIGHWAVE,bearish,,bullish,stock,2,bearish_high_wave,1,none,5703,607518,352983,2281210,0.22999999999999998,0.22999999999999998,0.58,0.41,144625,208358,6.46,7.65,5.64,9,13
CDLHIGHWAVE,bearish,,bullish,stock,3,bearish_high_wave,1,none,5703,568576,329398,3048707,0.28300000000000003,0.28300000000000003,0.58,0.321,105781,223617,9.26,13.15,7.41,7,24
CDLHIGHWAVE,bearish,,bullish,stock,4,bearish_high_wave,1,none,5703,535026,309279,3695565,0.3380000000000001,0.3380000000000001,0.58,0.267,82465,226814,11.95,19.98,9.03,5,30
CDLHIGHWAVE,bearish,,bullish,stock,5,bearish_high_wave,1,none,5703,505604,291547,4260365,0.375,0.375,0.58,0.229,66843,224704,14.61,28.11,10.6,5,30
