pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHIGHWAVE,bearish,,bullish,crypto,1,bearish_high_wave,1,none,246,12377,12047,23868,-0.12500000000000006,-0.12500000000000006,0.97,0.435,5243,6804,1.98,2.22,1.8,7,7
CDLHIGHWAVE,bearish,,bullish,crypto,2,bearish_high_wave,1,none,246,11722,11398,32684,-0.0040000000000000036,-0.0040000000000000036,0.97,0.333,3793,7605,2.87,3.68,2.46,7,10
CDLHIGHWAVE,bearish,,bullish,crypto,3,bearish_high_wave,1,none,246,11228,10902,39121,0.08600000000000008,0.08600000000000008,0.97,0.272,2967,7935,3.59,5.34,2.94,7,13
CDLHIGHWAVE,bearish,,bullish,crypto,4,bearish_high_wave,1,none,246,10818,10499,44930,0.15800000000000003,0.15800000000000003,0.97,0.232,2437,8062,4.28,7.44,3.32,5,19
CDLHIGHWAVE,bearish,,bullish,crypto,5,bearish_high_wave,1,none,246,10523,10204,48933,0.24,0.24,0.97,0.206,2100,8104,4.8,9.22,3.65,4,21
CDLHIGHWAVE,bearish,,bullish,forex,1,bearish_high_wave,1,none,1059,165396,162201,361695,-0.281,-0.281,0.98,0.359,58161,104040,2.23,2.31,2.18,86,94
CDLHIGHWAVE,bearish,,bullish,forex,2,bearish_high_wave,1,none,1059,155701,152550,482217,-0.19799999999999995,-0.19799999999999995,0.98,0.266,40574,111976,3.16,3.89,2.9,86,108
CDLHIGHWAVE,bearish,,bullish,forex,3,bearish_high_wave,1,none,1059,148095,145003,583514,-0.16900000000000004,-0.16900000000000004,0.98,0.207,30003,115000,4.02,5.99,3.51,86,114
CDLHIGHWAVE,bearish,,bullish,forex,4,bearish_high_wave,1,none,1059,141879,138824,674644,-0.15799999999999992,-0.15799999999999992,0.98,0.168,23286,115538,4.86,8.64,4.1,86,127
CDLHIGHWAVE,bearish,,bullish,forex,5,bearish_high_wave,1,none,1059,136015,133013,757564,-0.15500000000000003,-0.15500000000000003,0.98,0.141,18695,114318,5.7,12.08,4.65,86,365
CDLHIGHWAVE,bearish,,bullish,stock,1,bearish_high_wave,1,none,5703,744870,689941,1088767,-0.14499999999999996,-0.14499999999999996,0.93,0.425,293249,396692,1.58,1.67,1.51,13,15
CDLHIGHWAVE,bearish,,bullish,stock,2,bearish_high_wave,1,none,5703,720924,667440,1504034,-0.0040000000000000036,-0.0040000000000000036,0.93,0.333,221961,445479,2.25,2.78,1.99,7,21
CDLHIGHWAVE,bearish,,bullish,stock,3,bearish_high_wave,1,none,5703,699458,647260,1887271,0.08300000000000007,0.08300000000000007,0.93,0.271,175704,471556,2.92,4.17,2.45,7,31
CDLHIGHWAVE,bearish,,bullish,stock,4,bearish_high_wave,1,none,5703,679468,628436,2238370,0.15400000000000003,0.15400000000000003,0.92,0.231,144868,483568,3.56,5.92,2.86,5,39
CDLHIGHWAVE,bearish,,bullish,stock,5,bearish_high_wave,1,none,5703,660971,611023,2565621,0.20500000000000007,0.20500000000000007,0.92,0.201,122609,488414,4.2,7.93,3.26,5,39
