pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLINE,bearish,,bearish,crypto,1,bearish_long_line,1,none,250,18713,6685,24846,0.0030000000000000027,0.0030000000000000027,0.36,0.503,3362,3323,3.72,3.92,3.51,47,10
CDLLONGLINE,bearish,,bearish,crypto,2,bearish_long_line,1,none,250,16112,5667,48703,-0.014000000000000012,-0.014000000000000012,0.35,0.328,1861,3806,8.59,11.98,6.94,22,16
CDLLONGLINE,bearish,,bearish,crypto,3,bearish_long_line,1,none,250,13661,4766,66182,-0.07699999999999996,-0.07699999999999996,0.35,0.231,1102,3664,13.89,23.43,11.02,14,25
CDLLONGLINE,bearish,,bearish,crypto,4,bearish_long_line,1,none,250,11494,3994,81453,-0.19199999999999995,-0.19199999999999995,0.35,0.162,648,3346,20.39,41.62,16.28,13,28
CDLLONGLINE,bearish,,bearish,crypto,5,bearish_long_line,1,none,250,9644,3285,84559,-0.29000000000000004,-0.29000000000000004,0.34,0.118,387,2898,25.74,50.55,22.43,8,39
CDLLONGLINE,bearish,,bearish,forex,1,bearish_long_line,1,none,1273,253205,85108,556900,0.22199999999999998,0.22199999999999998,0.34,0.612,52087,33021,6.54,6.49,6.62,239,19
CDLLONGLINE,bearish,,bearish,forex,2,bearish_long_line,1,none,1273,210269,65706,901494,0.19200000000000006,0.19200000000000006,0.31,0.396,26006,39700,13.72,16.01,12.22,77,23
CDLLONGLINE,bearish,,bearish,forex,3,bearish_long_line,1,none,1273,191065,58162,1109529,0.16300000000000003,0.16300000000000003,0.3,0.291,16926,41236,19.08,27.33,15.69,51,31
CDLLONGLINE,bearish,,bearish,forex,4,bearish_long_line,1,none,1273,177012,53182,1260105,0.138,0.138,0.3,0.227,12088,41094,23.69,39.89,18.93,38,37
CDLLONGLINE,bearish,,bearish,forex,5,bearish_long_line,1,none,1273,166146,49585,1389478,0.125,0.125,0.3,0.187,9256,40329,28.02,55.87,21.63,30,67
CDLLONGLINE,bearish,,bearish,stock,1,bearish_long_line,1,none,6448,1178589,425443,1771751,0.11700000000000005,0.11700000000000005,0.36,0.557,237021,188422,4.16,3.89,4.5,126,11
CDLLONGLINE,bearish,,bearish,stock,2,bearish_long_line,1,none,6448,1059419,379375,3017827,0.10999999999999999,0.10999999999999999,0.36,0.37,140444,238931,7.95,9.02,7.33,75,20
CDLLONGLINE,bearish,,bearish,stock,3,bearish_long_line,1,none,6448,967203,344347,3992170,0.08300000000000007,0.08300000000000007,0.36,0.271,93365,250982,11.59,15.8,10.03,55,29
CDLLONGLINE,bearish,,bearish,stock,4,bearish_long_line,1,none,6448,889870,315545,4796086,0.04999999999999993,0.04999999999999993,0.35,0.21,66303,249242,15.2,24.19,12.81,39,39
CDLLONGLINE,bearish,,bearish,stock,5,bearish_long_line,1,none,6448,825184,291574,5380996,0.015000000000000124,0.015000000000000124,0.35,0.169,49333,242241,18.45,34.01,15.29,33,43
