pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLINE,bearish,,bearish,crypto,1,bearish_long_line,1,none,250,16185,12266,83121,-0.10500000000000004,-0.10500000000000004,0.76,0.445,5453,6813,6.78,6.45,7.04,76,20
CDLLONGLINE,bearish,,bearish,crypto,2,bearish_long_line,1,none,250,11523,8745,110750,-0.134,-0.134,0.76,0.288,2516,6229,12.66,15.4,11.56,39,22
CDLLONGLINE,bearish,,bearish,crypto,3,bearish_long_line,1,none,250,8419,6295,117124,-0.19100000000000006,-0.19100000000000006,0.75,0.203,1277,5018,18.61,28.16,16.17,30,24
CDLLONGLINE,bearish,,bearish,crypto,4,bearish_long_line,1,none,250,6349,4743,118909,-0.28400000000000003,-0.28400000000000003,0.75,0.144,685,4058,25.07,42.09,22.2,20,60
CDLLONGLINE,bearish,,bearish,crypto,5,bearish_long_line,1,none,250,5100,3773,118872,-0.395,-0.395,0.74,0.101,382,3391,31.51,54.1,28.96,12,60
CDLLONGLINE,bearish,,bearish,forex,1,bearish_long_line,1,none,1273,246922,177610,1064958,-0.063,-0.063,0.72,0.467,82944,94666,6.0,6.22,5.8,207,57
CDLLONGLINE,bearish,,bearish,forex,2,bearish_long_line,1,none,1273,193668,139619,1521981,-0.06599999999999995,-0.06599999999999995,0.72,0.312,43583,96036,10.9,14.71,9.17,117,69
CDLLONGLINE,bearish,,bearish,forex,3,bearish_long_line,1,none,1273,162626,117078,1814666,-0.07699999999999996,-0.07699999999999996,0.72,0.231,27076,90002,15.5,26.03,12.33,76,99
CDLLONGLINE,bearish,,bearish,forex,4,bearish_long_line,1,none,1273,142687,102233,2030414,-0.08799999999999997,-0.08799999999999997,0.72,0.183,18672,83561,19.86,40.76,15.19,63,99
CDLLONGLINE,bearish,,bearish,forex,5,bearish_long_line,1,none,1273,127600,90780,2190348,-0.10499999999999998,-0.10499999999999998,0.71,0.149,13560,77220,24.13,59.02,18.0,45,123
CDLLONGLINE,bearish,,bearish,stock,1,bearish_long_line,1,none,6448,1186926,969743,4466536,-0.02400000000000002,-0.02400000000000002,0.82,0.486,471489,498254,4.61,4.5,4.7,226,13
CDLLONGLINE,bearish,,bearish,stock,2,bearish_long_line,1,none,6448,943275,769187,6365229,-0.03600000000000003,-0.03600000000000003,0.82,0.322,247828,521359,8.28,10.23,7.35,159,25
CDLLONGLINE,bearish,,bearish,stock,3,bearish_long_line,1,none,6448,787634,641437,7619656,-0.052000000000000046,-0.052000000000000046,0.81,0.236,151585,489852,11.88,17.78,10.05,120,37
CDLLONGLINE,bearish,,bearish,stock,4,bearish_long_line,1,none,6448,677555,551153,8377099,-0.08799999999999997,-0.08799999999999997,0.81,0.183,100996,450157,15.2,26.83,12.59,96,36
CDLLONGLINE,bearish,,bearish,stock,5,bearish_long_line,1,none,6448,594101,482409,8859300,-0.10999999999999999,-0.10999999999999999,0.81,0.148,71376,411033,18.36,37.17,15.1,75,59
