pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLINE,bearish,,bullish,crypto,1,bearish_long_line,1,none,250,15631,10101,68635,0.16099999999999998,0.16099999999999998,0.65,0.581,5871,4230,6.79,6.78,6.82,18,7
CDLLONGLINE,bearish,,bullish,crypto,2,bearish_long_line,1,none,250,12339,7894,100803,0.25,0.25,0.64,0.415,3273,4621,12.77,15.74,10.67,6,16
CDLLONGLINE,bearish,,bullish,crypto,3,bearish_long_line,1,none,250,10627,6775,116823,0.31399999999999995,0.31399999999999995,0.64,0.328,2219,4556,17.24,25.09,13.42,5,16
CDLLONGLINE,bearish,,bullish,crypto,4,bearish_long_line,1,none,250,9633,6114,125664,0.3660000000000001,0.3660000000000001,0.63,0.274,1677,4437,20.55,33.07,15.82,5,16
CDLLONGLINE,bearish,,bullish,crypto,5,bearish_long_line,1,none,250,8934,5653,131713,0.45499999999999985,0.45499999999999985,0.63,0.243,1376,4277,23.3,40.94,17.63,4,16
CDLLONGLINE,bearish,,bullish,forex,1,bearish_long_line,1,none,1273,239195,141194,834779,0.178,0.178,0.59,0.588,83055,58139,5.91,5.52,6.48,120,19
CDLLONGLINE,bearish,,bullish,forex,2,bearish_long_line,1,none,1273,183479,106785,1495003,0.14200000000000002,0.14200000000000002,0.58,0.381,40732,66053,14.0,16.43,12.5,10,49
CDLLONGLINE,bearish,,bullish,forex,3,bearish_long_line,1,none,1273,155627,89337,1842898,0.1200000000000001,0.1200000000000001,0.57,0.28,25044,64293,20.63,29.82,17.05,10,58
CDLLONGLINE,bearish,,bullish,forex,4,bearish_long_line,1,none,1273,136630,77413,2067991,0.10399999999999998,0.10399999999999998,0.57,0.221,17140,60273,26.71,45.96,21.24,5,86
CDLLONGLINE,bearish,,bullish,forex,5,bearish_long_line,1,none,1273,122535,68627,2236426,0.08999999999999997,0.08999999999999997,0.56,0.182,12485,56142,32.59,63.94,25.62,5,86
CDLLONGLINE,bearish,,bullish,stock,1,bearish_long_line,1,none,6448,1092833,740559,3765561,0.15799999999999997,0.15799999999999997,0.68,0.578,427888,312671,5.08,4.89,5.35,14,10
CDLLONGLINE,bearish,,bullish,stock,2,bearish_long_line,1,none,6448,902946,608459,5970457,0.22799999999999998,0.22799999999999998,0.67,0.409,248914,359545,9.81,11.88,8.38,8,15
CDLLONGLINE,bearish,,bullish,stock,3,bearish_long_line,1,none,6448,770769,516498,7437351,0.2859999999999999,0.2859999999999999,0.67,0.322,166317,350181,14.4,21.17,11.18,7,21
CDLLONGLINE,bearish,,bullish,stock,4,bearish_long_line,1,none,6448,671755,447648,8492984,0.3420000000000001,0.3420000000000001,0.67,0.268,119976,327672,18.97,32.77,13.92,6,30
CDLLONGLINE,bearish,,bullish,stock,5,bearish_long_line,1,none,6448,597575,396057,9253012,0.3900000000000001,0.3900000000000001,0.66,0.232,91743,304314,23.36,45.93,16.56,5,30
