pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMARUBOZU,bearish,,bearish,crypto,1,bearish_marubozu,1,none,240,10006,3434,12385,-0.0040000000000000036,-0.0040000000000000036,0.34,0.496,1703,1731,3.61,3.89,3.33,29,10
CDLMARUBOZU,bearish,,bearish,crypto,2,bearish_marubozu,1,none,240,8731,2986,26985,-0.014000000000000012,-0.014000000000000012,0.34,0.328,978,2008,9.04,12.55,7.33,15,14
CDLMARUBOZU,bearish,,bearish,crypto,3,bearish_marubozu,1,none,240,7682,2616,37412,-0.07399999999999995,-0.07399999999999995,0.34,0.232,608,2008,14.3,21.61,12.09,10,24
CDLMARUBOZU,bearish,,bearish,crypto,4,bearish_marubozu,1,none,240,6832,2331,49976,-0.1499999999999999,-0.1499999999999999,0.34,0.17,397,1934,21.44,40.81,17.46,7,19
CDLMARUBOZU,bearish,,bearish,crypto,5,bearish_marubozu,1,none,240,6017,2027,54242,-0.235,-0.235,0.34,0.127,258,1769,26.76,49.26,23.48,7,35
CDLMARUBOZU,bearish,,bearish,forex,1,bearish_marubozu,1,none,1246,184535,51616,402473,0.22399999999999998,0.22399999999999998,0.28,0.614,31690,19926,7.8,7.91,7.62,222,14
CDLMARUBOZU,bearish,,bearish,forex,2,bearish_marubozu,1,none,1246,155996,38942,634926,0.19200000000000006,0.19200000000000006,0.25,0.396,15422,23520,16.3,18.98,14.55,58,14
CDLMARUBOZU,bearish,,bearish,forex,3,bearish_marubozu,1,none,1246,144887,34957,772344,0.19100000000000006,0.19100000000000006,0.24,0.297,10375,24582,22.09,31.34,18.19,39,23
CDLMARUBOZU,bearish,,bearish,forex,4,bearish_marubozu,1,none,1246,136840,32569,866656,0.18799999999999994,0.18799999999999994,0.24,0.237,7710,24859,26.61,43.47,21.38,30,60
CDLMARUBOZU,bearish,,bearish,forex,5,bearish_marubozu,1,none,1246,130448,30758,952481,0.18500000000000005,0.18500000000000005,0.24,0.197,6050,24708,30.97,59.22,24.05,26,134
CDLMARUBOZU,bearish,,bearish,stock,1,bearish_marubozu,1,none,6299,491224,171064,771595,0.09900000000000003,0.09900000000000003,0.35,0.549,93854,77210,4.51,4.23,4.86,85,11
CDLMARUBOZU,bearish,,bearish,stock,2,bearish_marubozu,1,none,6299,461578,159629,1368534,0.10799999999999998,0.10799999999999998,0.35,0.369,58955,100674,8.57,9.65,7.94,50,17
CDLMARUBOZU,bearish,,bearish,stock,3,bearish_marubozu,1,none,6299,437652,150470,1862388,0.08000000000000007,0.08000000000000007,0.34,0.27,40656,109814,12.38,16.46,10.87,38,23
CDLMARUBOZU,bearish,,bearish,stock,4,bearish_marubozu,1,none,6299,417564,143060,2303106,0.04999999999999993,0.04999999999999993,0.34,0.21,29985,113075,16.1,24.78,13.8,28,33
CDLMARUBOZU,bearish,,bearish,stock,5,bearish_marubozu,1,none,6299,399548,136456,2649057,0.015000000000000124,0.015000000000000124,0.34,0.169,23014,113442,19.41,34.84,16.28,24,45
