pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMARUBOZU,bearish,,bearish,crypto,1,bearish_marubozu,1,none,240,8633,6481,46152,-0.13799999999999996,-0.13799999999999996,0.75,0.432,2802,3679,7.12,6.52,7.58,34,18
CDLMARUBOZU,bearish,,bearish,crypto,2,bearish_marubozu,1,none,240,6698,5150,66150,-0.13,-0.13,0.77,0.29,1492,3658,12.84,14.08,12.34,21,20
CDLMARUBOZU,bearish,,bearish,crypto,3,bearish_marubozu,1,none,240,5462,4240,76264,-0.16000000000000003,-0.16000000000000003,0.78,0.21,891,3349,17.99,25.34,16.03,14,22
CDLMARUBOZU,bearish,,bearish,crypto,4,bearish_marubozu,1,none,240,4571,3591,80860,-0.19199999999999995,-0.19199999999999995,0.79,0.162,582,3009,22.52,34.78,20.15,10,35
CDLMARUBOZU,bearish,,bearish,crypto,5,bearish_marubozu,1,none,240,4077,3174,85481,-0.26,-0.26,0.78,0.124,394,2780,26.93,44.18,24.49,8,32
CDLMARUBOZU,bearish,,bearish,forex,1,bearish_marubozu,1,none,1246,174417,111535,754584,0.02200000000000002,0.02200000000000002,0.64,0.512,57124,54411,6.77,6.68,6.85,270,50
CDLMARUBOZU,bearish,,bearish,forex,2,bearish_marubozu,1,none,1246,130199,84763,1029962,0.051999999999999935,0.051999999999999935,0.65,0.351,29731,55032,12.15,15.12,10.55,140,73
CDLMARUBOZU,bearish,,bearish,forex,3,bearish_marubozu,1,none,1246,109102,71906,1198129,0.049000000000000044,0.049000000000000044,0.66,0.263,18898,53008,16.66,25.21,13.61,90,79
CDLMARUBOZU,bearish,,bearish,forex,4,bearish_marubozu,1,none,1246,97517,64527,1329176,0.04599999999999993,0.04599999999999993,0.66,0.209,13516,51011,20.6,37.48,16.12,63,79
CDLMARUBOZU,bearish,,bearish,forex,5,bearish_marubozu,1,none,1246,89655,59349,1436575,0.029999999999999916,0.029999999999999916,0.66,0.172,10227,49122,24.21,51.91,18.44,53,120
CDLMARUBOZU,bearish,,bearish,stock,1,bearish_marubozu,1,none,6299,495792,406821,1859915,-0.0040000000000000036,-0.0040000000000000036,0.82,0.496,201609,205212,4.57,4.39,4.75,183,13
CDLMARUBOZU,bearish,,bearish,stock,2,bearish_marubozu,1,none,6299,439810,362575,2903656,-0.0020000000000000018,-0.0020000000000000018,0.82,0.334,121221,241354,8.01,9.42,7.3,121,20
CDLMARUBOZU,bearish,,bearish,stock,3,bearish_marubozu,1,none,6299,398768,329719,3754382,-0.006000000000000005,-0.006000000000000005,0.83,0.248,81793,247926,11.39,15.99,9.87,88,34
CDLMARUBOZU,bearish,,bearish,stock,4,bearish_marubozu,1,none,6299,366167,303365,4436977,-0.03400000000000003,-0.03400000000000003,0.83,0.194,58823,244542,14.63,24.18,12.33,65,40
CDLMARUBOZU,bearish,,bearish,stock,5,bearish_marubozu,1,none,6299,338204,280405,4952982,-0.04999999999999993,-0.04999999999999993,0.83,0.158,44188,236217,17.66,33.76,14.65,58,48
