pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMARUBOZU,bearish,,bearish,crypto,1,bearish_marubozu,1,none,240,8705,6156,44368,-0.12000000000000005,-0.12000000000000005,0.71,0.44,2707,3449,7.21,6.68,7.62,34,18
CDLMARUBOZU,bearish,,bearish,crypto,2,bearish_marubozu,1,none,240,6721,4848,65095,-0.128,-0.128,0.72,0.291,1413,3435,13.43,14.83,12.85,19,19
CDLMARUBOZU,bearish,,bearish,crypto,3,bearish_marubozu,1,none,240,5547,4010,75719,-0.16000000000000003,-0.16000000000000003,0.72,0.21,844,3166,18.88,27.29,16.64,13,38
CDLMARUBOZU,bearish,,bearish,crypto,4,bearish_marubozu,1,none,240,4531,3321,78672,-0.18399999999999994,-0.18399999999999994,0.73,0.164,543,2778,23.69,35.67,21.35,10,36
CDLMARUBOZU,bearish,,bearish,crypto,5,bearish_marubozu,1,none,240,3984,2907,84576,-0.27,-0.27,0.73,0.122,355,2552,29.09,47.96,26.47,8,33
CDLMARUBOZU,bearish,,bearish,forex,1,bearish_marubozu,1,none,1246,175181,108404,740812,0.040000000000000036,0.040000000000000036,0.62,0.52,56381,52023,6.83,6.71,6.96,270,49
CDLMARUBOZU,bearish,,bearish,forex,2,bearish_marubozu,1,none,1246,131168,82134,1019664,0.07199999999999995,0.07199999999999995,0.63,0.356,29275,52859,12.41,15.3,10.82,140,70
CDLMARUBOZU,bearish,,bearish,forex,3,bearish_marubozu,1,none,1246,110108,69496,1189487,0.07100000000000006,0.07100000000000006,0.63,0.267,18567,50929,17.12,25.67,14.0,90,76
CDLMARUBOZU,bearish,,bearish,forex,4,bearish_marubozu,1,none,1246,98345,62230,1323463,0.061999999999999944,0.061999999999999944,0.63,0.213,13253,48977,21.27,38.19,16.69,65,79
CDLMARUBOZU,bearish,,bearish,forex,5,bearish_marubozu,1,none,1246,90535,57222,1428466,0.05500000000000005,0.05500000000000005,0.63,0.175,10006,47216,24.96,53.11,19.0,55,120
CDLMARUBOZU,bearish,,bearish,stock,1,bearish_marubozu,1,none,6299,493595,395949,1878455,-0.017000000000000015,-0.017000000000000015,0.8,0.493,195108,200841,4.74,4.57,4.91,181,13
CDLMARUBOZU,bearish,,bearish,stock,2,bearish_marubozu,1,none,6299,437694,352561,2935400,-0.008000000000000007,-0.008000000000000007,0.81,0.331,116767,235794,8.33,9.86,7.57,121,33
CDLMARUBOZU,bearish,,bearish,stock,3,bearish_marubozu,1,none,6299,396398,320174,3804792,-0.025000000000000022,-0.025000000000000022,0.81,0.245,78463,241711,11.88,16.89,10.26,88,33
CDLMARUBOZU,bearish,,bearish,stock,4,bearish_marubozu,1,none,6299,363402,294030,4490096,-0.04600000000000004,-0.04600000000000004,0.81,0.191,56246,237784,15.27,25.58,12.83,65,39
CDLMARUBOZU,bearish,,bearish,stock,5,bearish_marubozu,1,none,6299,335238,271355,5010789,-0.06499999999999995,-0.06499999999999995,0.81,0.155,42046,229309,18.47,35.8,15.29,58,59
