pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMARUBOZU,bearish,,bullish,crypto,1,bearish_marubozu,1,none,240,8571,4897,34397,0.15999999999999998,0.15999999999999998,0.57,0.58,2842,2055,7.02,6.97,7.1,16,7
CDLMARUBOZU,bearish,,bullish,crypto,2,bearish_marubozu,1,none,240,7286,4185,53317,0.254,0.254,0.57,0.417,1744,2441,12.74,15.56,10.72,7,8
CDLMARUBOZU,bearish,,bullish,crypto,3,bearish_marubozu,1,none,240,6644,3841,62834,0.32300000000000006,0.32300000000000006,0.58,0.331,1273,2568,16.36,23.5,12.82,6,9
CDLMARUBOZU,bearish,,bullish,crypto,4,bearish_marubozu,1,none,240,6262,3614,69605,0.3800000000000001,0.3800000000000001,0.58,0.275,994,2620,19.26,30.46,15.01,4,9
CDLMARUBOZU,bearish,,bullish,crypto,5,bearish_marubozu,1,none,240,5919,3415,74012,0.42999999999999994,0.42999999999999994,0.58,0.238,813,2602,21.67,38.87,16.3,4,16
CDLMARUBOZU,bearish,,bullish,forex,1,bearish_marubozu,1,none,1246,171956,72129,484227,0.20299999999999996,0.20299999999999996,0.42,0.603,43462,28667,6.71,6.14,7.58,118,14
CDLMARUBOZU,bearish,,bullish,forex,2,bearish_marubozu,1,none,1246,139814,56845,887061,0.20000000000000007,0.20000000000000007,0.41,0.4,22749,34096,15.6,17.37,14.43,10,27
CDLMARUBOZU,bearish,,bullish,forex,3,bearish_marubozu,1,none,1246,124149,50214,1111798,0.20599999999999996,0.20599999999999996,0.4,0.302,15152,35062,22.14,29.66,18.89,7,42
CDLMARUBOZU,bearish,,bullish,forex,4,bearish_marubozu,1,none,1246,113095,45509,1269776,0.19999999999999996,0.19999999999999996,0.4,0.24,10941,34568,27.9,43.73,22.89,6,59
CDLMARUBOZU,bearish,,bullish,forex,5,bearish_marubozu,1,none,1246,104928,42067,1394941,0.19500000000000006,0.19500000000000006,0.4,0.199,8368,33699,33.16,59.48,26.63,5,76
CDLMARUBOZU,bearish,,bullish,stock,1,bearish_marubozu,1,none,6299,469983,305017,1614238,0.12499999999999994,0.12499999999999994,0.65,0.565,172361,132656,5.29,5.17,5.45,14,8
CDLMARUBOZU,bearish,,bullish,stock,2,bearish_marubozu,1,none,6299,427486,277618,2764229,0.20400000000000007,0.20400000000000007,0.65,0.402,111652,165966,9.96,12.27,8.4,11,16
CDLMARUBOZU,bearish,,bullish,stock,3,bearish_marubozu,1,none,6299,395170,256523,3663486,0.271,0.271,0.65,0.317,81415,175108,14.28,21.34,11.0,7,22
CDLMARUBOZU,bearish,,bullish,stock,4,bearish_marubozu,1,none,6299,369354,239394,4415746,0.3340000000000001,0.3340000000000001,0.65,0.266,63768,175626,18.45,32.16,13.47,5,23
CDLMARUBOZU,bearish,,bullish,stock,5,bearish_marubozu,1,none,6299,348276,225071,5045368,0.3800000000000001,0.3800000000000001,0.65,0.23,51822,173249,22.42,44.46,15.82,7,26
