pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMARUBOZU,bearish,,bullish,crypto,1,bearish_marubozu,1,none,240,11564,10364,12344,-0.13999999999999996,-0.13999999999999996,0.9,0.43,4461,5903,1.19,1.26,1.14,15,22
CDLMARUBOZU,bearish,,bullish,crypto,2,bearish_marubozu,1,none,240,11563,10363,12453,0.28800000000000003,0.28800000000000003,0.9,0.429,4442,5921,1.2,1.27,1.15,15,22
CDLMARUBOZU,bearish,,bullish,crypto,3,bearish_marubozu,1,none,240,11562,10362,12553,0.711,0.711,0.9,0.427,4420,5942,1.21,1.27,1.16,15,22
CDLMARUBOZU,bearish,,bullish,crypto,4,bearish_marubozu,1,none,240,11560,10361,12633,1.13,1.13,0.9,0.425,4403,5958,1.22,1.29,1.17,15,22
CDLMARUBOZU,bearish,,bullish,crypto,5,bearish_marubozu,1,none,240,11558,10359,12743,1.5349999999999997,1.5349999999999997,0.9,0.423,4379,5980,1.23,1.3,1.18,14,22
CDLMARUBOZU,bearish,,bullish,forex,1,bearish_marubozu,1,none,1246,234135,192266,210925,0.19999999999999996,0.19999999999999996,0.82,0.6,115345,76921,1.1,1.06,1.16,56,42
CDLMARUBOZU,bearish,,bullish,forex,2,bearish_marubozu,1,none,1246,234083,192215,211951,0.7959999999999999,0.7959999999999999,0.82,0.598,115002,77213,1.1,1.06,1.17,56,42
CDLMARUBOZU,bearish,,bullish,forex,3,bearish_marubozu,1,none,1246,234058,192191,212897,1.391,1.391,0.82,0.597,114726,77465,1.11,1.06,1.17,56,42
CDLMARUBOZU,bearish,,bullish,forex,4,bearish_marubozu,1,none,1246,234035,192168,213636,1.984,1.984,0.82,0.596,114479,77689,1.11,1.07,1.18,56,42
CDLMARUBOZU,bearish,,bullish,forex,5,bearish_marubozu,1,none,1246,233923,192055,214393,2.5599999999999996,2.5599999999999996,0.82,0.594,114153,77902,1.12,1.07,1.19,56,42
CDLMARUBOZU,bearish,,bullish,stock,1,bearish_marubozu,1,none,6299,553594,503619,616416,-0.39599999999999996,-0.39599999999999996,0.91,0.304,153211,350408,1.22,1.36,1.16,9,32
CDLMARUBOZU,bearish,,bullish,stock,2,bearish_marubozu,1,none,6299,553525,503554,618778,-0.09599999999999997,-0.09599999999999997,0.91,0.302,152304,351250,1.23,1.37,1.17,9,32
CDLMARUBOZU,bearish,,bullish,stock,3,bearish_marubozu,1,none,6299,553466,503499,621937,0.19999999999999996,0.19999999999999996,0.91,0.3,151115,352384,1.24,1.38,1.17,9,32
CDLMARUBOZU,bearish,,bullish,stock,4,bearish_marubozu,1,none,6299,553405,503442,625739,0.488,0.488,0.91,0.297,149707,353735,1.24,1.4,1.18,9,32
CDLMARUBOZU,bearish,,bullish,stock,5,bearish_marubozu,1,none,6299,553338,503377,630444,0.76,0.76,0.91,0.294,147992,355385,1.25,1.42,1.18,9,33
