pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,crypto,1,bearish_separating_lines,2,downtrend,191,2250,1459,15254,-0.15599999999999997,-0.07799999999999999,0.65,0.424,618,841,10.46,9.55,11.12,13,14
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,crypto,2,bearish_separating_lines,2,downtrend,191,1845,1230,24678,-0.132,-0.066,0.67,0.289,355,875,20.06,19.16,20.43,7,14
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,crypto,3,bearish_separating_lines,2,downtrend,191,1627,1102,31239,-0.22799999999999998,-0.11399999999999999,0.68,0.194,214,888,28.35,27.39,28.58,5,15
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,crypto,4,bearish_separating_lines,2,downtrend,191,1510,1039,36352,-0.29200000000000004,-0.14600000000000002,0.69,0.142,148,891,34.99,32.7,35.37,4,15
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,crypto,5,bearish_separating_lines,2,downtrend,191,1423,975,39027,-0.355,-0.1775,0.69,0.107,104,871,40.03,49.84,38.86,4,15
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,forex,1,bearish_separating_lines,2,downtrend,1239,74032,49852,262441,-0.20099999999999996,-0.10049999999999998,0.67,0.399,19881,29971,5.26,6.27,4.6,95,78
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,forex,2,bearish_separating_lines,2,downtrend,1239,67542,45512,381474,-0.15200000000000002,-0.07600000000000001,0.67,0.284,12928,32584,8.38,12.04,6.93,61,107
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,forex,3,bearish_separating_lines,2,downtrend,1239,63320,42732,488519,-0.123,-0.0615,0.67,0.219,9349,33383,11.43,20.71,8.83,43,107
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,forex,4,bearish_separating_lines,2,downtrend,1239,60185,40578,565827,-0.11199999999999999,-0.055999999999999994,0.67,0.177,7177,33401,13.94,29.75,10.55,32,107
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,forex,5,bearish_separating_lines,2,downtrend,1239,57692,38805,636359,-0.11499999999999999,-0.057499999999999996,0.67,0.147,5714,33091,16.4,40.41,12.25,29,127
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,stock,1,bearish_separating_lines,2,downtrend,4213,39242,30299,201584,0.02300000000000002,0.01150000000000001,0.77,0.513,15541,14758,6.65,6.31,7.01,44,9
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,stock,2,bearish_separating_lines,2,downtrend,4213,37943,29374,354640,0.04599999999999993,0.022999999999999965,0.77,0.348,10226,19148,12.07,13.82,11.14,24,13
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,stock,3,bearish_separating_lines,2,downtrend,4213,36799,28585,491174,0.040000000000000036,0.020000000000000018,0.78,0.26,7421,21164,17.18,22.64,15.27,17,21
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,stock,4,bearish_separating_lines,2,downtrend,4213,35989,27949,609860,0.03399999999999992,0.01699999999999996,0.78,0.206,5754,22195,21.82,33.1,18.89,12,22
CDLSEPARATINGLINES,bearish,continuation,bearish continuation,stock,5,bearish_separating_lines,2,downtrend,4213,35190,27356,738095,0.0050000000000001155,0.0025000000000000577,0.78,0.167,4560,22796,26.98,47.7,22.84,11,26
