pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,crypto,1,bearish_separating_lines,2,downtrend,191,2614,933,1677,-0.9149999999999999,-0.45749999999999996,0.36,0.045,42,891,1.8,6.38,1.58,2,17
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,crypto,2,bearish_separating_lines,2,downtrend,191,2614,931,1759,-0.9059999999999999,-0.45299999999999996,0.36,0.032,30,901,1.89,8.8,1.66,2,17
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,crypto,3,bearish_separating_lines,2,downtrend,191,2612,931,1990,-0.883,-0.4415,0.36,0.029,27,904,2.14,8.93,1.93,1,17
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,crypto,4,bearish_separating_lines,2,downtrend,191,2612,931,2044,-0.858,-0.429,0.36,0.028,26,905,2.2,10.46,1.96,1,17
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,crypto,5,bearish_separating_lines,2,downtrend,191,2606,929,2111,-0.88,-0.44,0.36,0.02,19,910,2.27,10.16,2.11,1,17
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,forex,1,bearish_separating_lines,2,downtrend,1239,82097,47306,56059,-0.964,-0.482,0.58,0.016,752,46554,1.19,3.17,1.15,2,294
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,forex,2,bearish_separating_lines,2,downtrend,1239,81908,47252,60401,-0.964,-0.482,0.58,0.013,629,46623,1.28,5.54,1.22,2,294
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,forex,3,bearish_separating_lines,2,downtrend,1239,81836,47228,62385,-0.954,-0.477,0.58,0.012,576,46652,1.32,5.36,1.27,2,294
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,forex,4,bearish_separating_lines,2,downtrend,1239,81768,47211,63244,-0.946,-0.473,0.58,0.011,542,46669,1.34,5.43,1.29,2,294
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,forex,5,bearish_separating_lines,2,downtrend,1239,81693,47189,65326,-0.935,-0.4675,0.58,0.011,515,46674,1.38,7.78,1.31,2,294
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,stock,1,bearish_separating_lines,2,downtrend,4213,40174,16977,26866,-0.639,-0.3195,0.42,0.181,3076,13901,1.58,2.41,1.4,4,16
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,stock,2,bearish_separating_lines,2,downtrend,4213,40113,16946,32760,-0.542,-0.271,0.42,0.154,2616,14330,1.93,3.68,1.61,4,16
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,stock,3,bearish_separating_lines,2,downtrend,4213,40075,16929,38364,-0.44599999999999995,-0.22299999999999998,0.42,0.138,2334,14595,2.27,4.94,1.84,4,16
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,stock,4,bearish_separating_lines,2,downtrend,4213,40036,16913,44528,-0.38,-0.19,0.42,0.125,2118,14795,2.63,6.48,2.08,4,20
CDLSEPARATINGLINES,bearish,continuation,bullish reversal,stock,5,bearish_separating_lines,2,downtrend,4213,39994,16895,49142,-0.29000000000000004,-0.14500000000000002,0.42,0.118,1993,14902,2.91,7.52,2.29,4,20
