pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHORTLINE,bearish,,bearish,crypto,1,bearish_short_line,1,none,253,19779,10886,20909,-0.12100000000000005,-0.12100000000000005,0.55,0.439,4777,6109,1.92,2.22,1.69,67,23
CDLSHORTLINE,bearish,,bearish,crypto,2,bearish_short_line,1,none,253,18149,9926,33450,-0.061999999999999944,-0.061999999999999944,0.55,0.314,3116,6810,3.37,4.8,2.72,49,23
CDLSHORTLINE,bearish,,bearish,crypto,3,bearish_short_line,1,none,253,16957,9176,45249,-0.07399999999999995,-0.07399999999999995,0.54,0.232,2128,7048,4.93,8.31,3.91,38,23
CDLSHORTLINE,bearish,,bearish,crypto,4,bearish_short_line,1,none,253,15692,8439,55050,-0.09999999999999998,-0.09999999999999998,0.54,0.18,1518,6921,6.52,12.35,5.24,29,34
CDLSHORTLINE,bearish,,bearish,crypto,5,bearish_short_line,1,none,253,14338,7679,64914,-0.12,-0.12,0.54,0.146,1122,6557,8.45,18.16,6.79,27,34
CDLSHORTLINE,bearish,,bearish,forex,1,bearish_short_line,1,none,1269,251087,159992,219112,-0.37699999999999995,-0.37699999999999995,0.64,0.313,50025,109967,1.37,1.71,1.21,220,43
CDLSHORTLINE,bearish,,bearish,forex,2,bearish_short_line,1,none,1269,244972,156046,293253,-0.242,-0.242,0.64,0.254,39648,116398,1.88,2.84,1.55,188,52
CDLSHORTLINE,bearish,,bearish,forex,3,bearish_short_line,1,none,1269,239490,152264,369469,-0.18500000000000005,-0.18500000000000005,0.64,0.205,31263,121001,2.43,4.27,1.95,183,107
CDLSHORTLINE,bearish,,bearish,forex,4,bearish_short_line,1,none,1269,234414,148757,443059,-0.1499999999999999,-0.1499999999999999,0.63,0.17,25299,123458,2.98,6.0,2.36,181,107
CDLSHORTLINE,bearish,,bearish,forex,5,bearish_short_line,1,none,1269,229321,145265,511510,-0.14,-0.14,0.63,0.144,20859,124406,3.52,8.23,2.73,180,107
CDLSHORTLINE,bearish,,bearish,stock,1,bearish_short_line,1,none,6326,887854,493664,1097648,0.04500000000000004,0.04500000000000004,0.56,0.525,259299,234365,2.22,2.24,2.21,139,12
CDLSHORTLINE,bearish,,bearish,stock,2,bearish_short_line,1,none,6326,839366,465816,1711709,0.11399999999999999,0.11399999999999999,0.55,0.372,173153,292663,3.67,4.3,3.3,96,28
CDLSHORTLINE,bearish,,bearish,stock,3,bearish_short_line,1,none,6326,804743,445439,2274853,0.1259999999999999,0.1259999999999999,0.55,0.282,125595,319844,5.11,6.99,4.37,71,29
CDLSHORTLINE,bearish,,bearish,stock,4,bearish_short_line,1,none,6326,775715,428549,2769323,0.11599999999999999,0.11599999999999999,0.55,0.224,96167,332382,6.46,10.23,5.37,55,35
CDLSHORTLINE,bearish,,bearish,stock,5,bearish_short_line,1,none,6326,748120,412638,3218912,0.1050000000000001,0.1050000000000001,0.55,0.185,76183,336455,7.8,14.19,6.35,46,45
