pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHORTLINE,bearish,,bearish,crypto,1,bearish_short_line,1,none,253,20801,16183,34290,-0.11900000000000005,-0.11900000000000005,0.78,0.441,7134,9049,2.12,2.26,2.01,88,13
CDLSHORTLINE,bearish,,bearish,crypto,2,bearish_short_line,1,none,253,18639,14476,50175,-0.03400000000000003,-0.03400000000000003,0.78,0.323,4678,9798,3.47,4.28,3.08,55,21
CDLSHORTLINE,bearish,,bearish,crypto,3,bearish_short_line,1,none,253,16577,12803,60723,0.03400000000000003,0.03400000000000003,0.77,0.258,3301,9502,4.74,6.41,4.17,42,26
CDLSHORTLINE,bearish,,bearish,crypto,4,bearish_short_line,1,none,253,14586,11211,73289,0.05799999999999994,0.05799999999999994,0.77,0.212,2376,8835,6.54,10.94,5.35,32,35
CDLSHORTLINE,bearish,,bearish,crypto,5,bearish_short_line,1,none,253,12653,9670,73693,0.06500000000000006,0.06500000000000006,0.76,0.177,1709,7961,7.62,12.34,6.61,24,68
CDLSHORTLINE,bearish,,bearish,forex,1,bearish_short_line,1,none,1269,266293,222021,321534,-0.29900000000000004,-0.29900000000000004,0.83,0.351,77995,144026,1.45,1.63,1.35,241,51
CDLSHORTLINE,bearish,,bearish,forex,2,bearish_short_line,1,none,1269,257190,214968,405416,-0.136,-0.136,0.84,0.287,61778,153190,1.89,2.38,1.69,218,58
CDLSHORTLINE,bearish,,bearish,forex,3,bearish_short_line,1,none,1269,250570,209571,489511,-0.03400000000000003,-0.03400000000000003,0.84,0.242,50757,158814,2.34,3.31,2.02,213,58
CDLSHORTLINE,bearish,,bearish,forex,4,bearish_short_line,1,none,1269,244127,204244,572645,0.041999999999999926,0.041999999999999926,0.84,0.208,42542,161702,2.8,4.51,2.35,200,81
CDLSHORTLINE,bearish,,bearish,forex,5,bearish_short_line,1,none,1269,237772,198925,655927,0.09500000000000008,0.09500000000000008,0.84,0.183,36373,162552,3.3,6.04,2.68,189,83
CDLSHORTLINE,bearish,,bearish,stock,1,bearish_short_line,1,none,6326,945658,768132,1521377,-0.10100000000000003,-0.10100000000000003,0.81,0.449,344973,423159,1.98,2.07,1.91,195,15
CDLSHORTLINE,bearish,,bearish,stock,2,bearish_short_line,1,none,6326,888563,721447,2151787,-0.03400000000000003,-0.03400000000000003,0.81,0.323,232995,488452,2.98,3.74,2.62,159,25
CDLSHORTLINE,bearish,,bearish,stock,3,bearish_short_line,1,none,6326,848206,688581,2728890,0.0,0.0,0.81,0.25,172106,516475,3.96,5.92,3.31,133,31
CDLSHORTLINE,bearish,,bearish,stock,4,bearish_short_line,1,none,6326,812596,659227,3258850,0.008000000000000007,0.008000000000000007,0.81,0.202,133448,525779,4.94,8.55,4.03,118,58
CDLSHORTLINE,bearish,,bearish,stock,5,bearish_short_line,1,none,6326,779572,632020,3719225,0.015000000000000124,0.015000000000000124,0.81,0.169,106998,525022,5.88,11.66,4.71,105,80
