pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHORTLINE,bearish,,bullish,crypto,1,bearish_short_line,1,none,253,20723,13289,21996,-0.29900000000000004,-0.29900000000000004,0.64,0.351,4662,8627,1.66,1.79,1.58,6,20
CDLSHORTLINE,bearish,,bullish,crypto,2,bearish_short_line,1,none,253,20143,12901,28835,-0.16599999999999993,-0.16599999999999993,0.64,0.277,3568,9333,2.24,2.8,2.02,5,23
CDLSHORTLINE,bearish,,bullish,crypto,3,bearish_short_line,1,none,253,19707,12602,34310,-0.07999999999999996,-0.07999999999999996,0.64,0.23,2894,9708,2.72,3.92,2.37,3,24
CDLSHORTLINE,bearish,,bullish,crypto,4,bearish_short_line,1,none,253,19338,12334,39054,0.0040000000000000036,0.0040000000000000036,0.64,0.201,2474,9860,3.17,5.2,2.66,3,24
CDLSHORTLINE,bearish,,bullish,crypto,5,bearish_short_line,1,none,253,19000,12084,43270,0.08999999999999997,0.08999999999999997,0.64,0.182,2197,9887,3.58,6.54,2.92,3,32
CDLSHORTLINE,bearish,,bullish,forex,1,bearish_short_line,1,none,1269,257960,190715,241887,-0.484,-0.484,0.74,0.256,48797,141918,1.27,1.41,1.22,9,116
CDLSHORTLINE,bearish,,bullish,forex,2,bearish_short_line,1,none,1269,255203,188887,290594,-0.37000000000000005,-0.37000000000000005,0.74,0.21,39707,149180,1.54,1.91,1.44,9,150
CDLSHORTLINE,bearish,,bullish,forex,3,bearish_short_line,1,none,1269,252875,187217,330550,-0.2799999999999999,-0.2799999999999999,0.74,0.18,33723,153494,1.77,2.45,1.62,9,210
CDLSHORTLINE,bearish,,bullish,forex,4,bearish_short_line,1,none,1269,250509,185484,368290,-0.20399999999999996,-0.20399999999999996,0.74,0.159,29421,156063,1.99,3.1,1.78,9,223
CDLSHORTLINE,bearish,,bullish,forex,5,bearish_short_line,1,none,1269,248105,183767,410219,-0.15000000000000002,-0.15000000000000002,0.74,0.142,26105,157662,2.23,4.02,1.94,5,222
CDLSHORTLINE,bearish,,bullish,stock,1,bearish_short_line,1,none,6326,930782,614767,1048315,-0.28300000000000003,-0.28300000000000003,0.66,0.357,219272,395495,1.71,1.94,1.57,8,23
CDLSHORTLINE,bearish,,bullish,stock,2,bearish_short_line,1,none,6326,907484,599055,1423605,-0.19599999999999995,-0.19599999999999995,0.66,0.267,159654,439401,2.38,3.32,2.03,7,25
CDLSHORTLINE,bearish,,bullish,stock,3,bearish_short_line,1,none,6326,888021,585851,1770666,-0.135,-0.135,0.66,0.215,125885,459966,3.02,5.07,2.46,5,46
CDLSHORTLINE,bearish,,bullish,stock,4,bearish_short_line,1,none,6326,870706,574043,2093849,-0.09599999999999997,-0.09599999999999997,0.66,0.181,104024,470019,3.65,7.17,2.87,5,46
CDLSHORTLINE,bearish,,bullish,stock,5,bearish_short_line,1,none,6326,854477,563007,2398258,-0.04999999999999993,-0.04999999999999993,0.66,0.158,88880,474127,4.26,9.61,3.26,5,53
