pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSPINNINGTOP,bearish,,bearish,crypto,1,bearish_spinning_top,1,none,250,15541,8252,32188,0.062000000000000055,0.062000000000000055,0.53,0.532,4392,3860,3.9,3.91,3.89,66,6
CDLSPINNINGTOP,bearish,,bearish,crypto,2,bearish_spinning_top,1,none,250,12779,6728,56656,0.02200000000000002,0.02200000000000002,0.53,0.341,2293,4435,8.42,10.54,7.32,40,10
CDLSPINNINGTOP,bearish,,bearish,crypto,3,bearish_spinning_top,1,none,250,10175,5229,75074,-0.07399999999999995,-0.07399999999999995,0.51,0.232,1211,4018,14.36,17.99,13.26,27,20
CDLSPINNINGTOP,bearish,,bearish,crypto,4,bearish_spinning_top,1,none,250,9130,4641,81387,-0.134,-0.134,0.51,0.174,806,3835,17.54,25.08,15.95,20,22
CDLSPINNINGTOP,bearish,,bearish,crypto,5,bearish_spinning_top,1,none,250,7962,4011,89026,-0.21499999999999997,-0.21499999999999997,0.5,0.131,526,3485,22.2,35.77,20.15,13,31
CDLSPINNINGTOP,bearish,,bearish,forex,1,bearish_spinning_top,1,none,1087,217382,115553,490233,0.18,0.18,0.53,0.59,68207,47346,4.24,4.28,4.19,230,9
CDLSPINNINGTOP,bearish,,bearish,forex,2,bearish_spinning_top,1,none,1087,178187,94110,849993,0.20400000000000007,0.20400000000000007,0.53,0.402,37837,56273,9.03,10.67,7.93,98,16
CDLSPINNINGTOP,bearish,,bearish,forex,3,bearish_spinning_top,1,none,1087,156405,82034,1079086,0.19700000000000006,0.19700000000000006,0.52,0.299,24568,57466,13.15,18.41,10.91,82,26
CDLSPINNINGTOP,bearish,,bearish,forex,4,bearish_spinning_top,1,none,1087,141075,73697,1242777,0.18399999999999994,0.18399999999999994,0.52,0.236,17373,56324,16.86,28.12,13.39,78,27
CDLSPINNINGTOP,bearish,,bearish,forex,5,bearish_spinning_top,1,none,1087,128598,66903,1375518,0.15999999999999992,0.15999999999999992,0.52,0.194,12993,53910,20.56,39.46,16.01,57,31
CDLSPINNINGTOP,bearish,,bearish,stock,1,bearish_spinning_top,1,none,5895,1045503,566043,1914449,0.12100000000000005,0.12100000000000005,0.54,0.561,317273,248770,3.38,3.2,3.61,183,12
CDLSPINNINGTOP,bearish,,bearish,stock,2,bearish_spinning_top,1,none,5895,934004,504163,3174998,0.136,0.136,0.54,0.378,190402,313761,6.3,7.09,5.82,111,17
CDLSPINNINGTOP,bearish,,bearish,stock,3,bearish_spinning_top,1,none,5895,849814,457590,4173138,0.1200000000000001,0.1200000000000001,0.54,0.28,127910,329680,9.12,12.27,7.9,75,25
CDLSPINNINGTOP,bearish,,bearish,stock,4,bearish_spinning_top,1,none,5895,781246,419914,4955285,0.09199999999999997,0.09199999999999997,0.54,0.218,91489,328425,11.8,18.61,9.91,56,34
CDLSPINNINGTOP,bearish,,bearish,stock,5,bearish_spinning_top,1,none,5895,721458,387375,5595725,0.05999999999999994,0.05999999999999994,0.54,0.176,68288,319087,14.45,26.09,11.95,47,44
