pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSPINNINGTOP,bearish,,bearish,crypto,1,bearish_spinning_top,1,none,250,17994,17443,48878,-0.11800000000000005,-0.11800000000000005,0.97,0.442,7716,9727,2.8,2.77,2.83,112,12
CDLSPINNINGTOP,bearish,,bearish,crypto,2,bearish_spinning_top,1,none,250,14805,14335,73985,-0.06399999999999995,-0.06399999999999995,0.97,0.313,4482,9853,5.16,5.16,5.16,66,36
CDLSPINNINGTOP,bearish,,bearish,crypto,3,bearish_spinning_top,1,none,250,12420,11988,90157,-0.049000000000000044,-0.049000000000000044,0.97,0.237,2843,9145,7.52,8.99,7.06,54,38
CDLSPINNINGTOP,bearish,,bearish,crypto,4,bearish_spinning_top,1,none,250,10394,9975,98139,-0.05800000000000005,-0.05800000000000005,0.96,0.188,1871,8104,9.84,12.67,9.18,44,38
CDLSPINNINGTOP,bearish,,bearish,crypto,5,bearish_spinning_top,1,none,250,8899,8499,99326,-0.09499999999999997,-0.09499999999999997,0.96,0.151,1281,7218,11.69,16.4,10.85,31,38
CDLSPINNINGTOP,bearish,,bearish,forex,1,bearish_spinning_top,1,none,1087,264321,259409,507355,-0.12100000000000005,-0.12100000000000005,0.98,0.439,113924,145485,1.96,2.03,1.9,442,28
CDLSPINNINGTOP,bearish,,bearish,forex,2,bearish_spinning_top,1,none,1087,236038,231435,710809,-0.010000000000000009,-0.010000000000000009,0.98,0.33,76259,155176,3.07,3.73,2.75,288,34
CDLSPINNINGTOP,bearish,,bearish,forex,3,bearish_spinning_top,1,none,1087,214556,210193,891471,0.040000000000000036,0.040000000000000036,0.98,0.26,54724,155469,4.24,6.07,3.6,267,36
CDLSPINNINGTOP,bearish,,bearish,forex,4,bearish_spinning_top,1,none,1087,197301,193066,1042314,0.061999999999999944,0.061999999999999944,0.98,0.213,41210,151856,5.4,8.99,4.42,251,36
CDLSPINNINGTOP,bearish,,bearish,forex,5,bearish_spinning_top,1,none,1087,182791,178726,1171968,0.08500000000000008,0.08500000000000008,0.98,0.181,32360,146366,6.56,12.73,5.19,209,57
CDLSPINNINGTOP,bearish,,bearish,stock,1,bearish_spinning_top,1,none,5895,1247706,1139557,2085972,-0.10000000000000003,-0.10000000000000003,0.91,0.45,512993,626564,1.83,1.89,1.78,272,15
CDLSPINNINGTOP,bearish,,bearish,stock,2,bearish_spinning_top,1,none,5895,1150968,1050122,2971023,-0.006000000000000005,-0.006000000000000005,0.91,0.332,349115,701007,2.83,3.43,2.53,192,19
CDLSPINNINGTOP,bearish,,bearish,stock,3,bearish_spinning_top,1,none,5895,1073381,978423,3728810,0.040000000000000036,0.040000000000000036,0.91,0.26,254107,724316,3.81,5.38,3.26,154,37
CDLSPINNINGTOP,bearish,,bearish,stock,4,bearish_spinning_top,1,none,5895,1007956,918201,4381237,0.05799999999999994,0.05799999999999994,0.91,0.212,194389,723812,4.77,7.71,3.98,126,45
CDLSPINNINGTOP,bearish,,bearish,stock,5,bearish_spinning_top,1,none,5895,951677,866318,4931592,0.06999999999999995,0.06999999999999995,0.91,0.178,154187,712131,5.69,10.41,4.67,113,47
