pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSPINNINGTOP,bearish,,bearish,crypto,1,bearish_spinning_top,1,none,250,15135,9832,49489,-0.18,-0.18,0.65,0.41,4028,5804,5.03,5.34,4.82,64,17
CDLSPINNINGTOP,bearish,,bearish,crypto,2,bearish_spinning_top,1,none,250,11821,7616,74427,-0.19599999999999995,-0.19599999999999995,0.64,0.267,2032,5584,9.77,11.86,9.01,36,21
CDLSPINNINGTOP,bearish,,bearish,crypto,3,bearish_spinning_top,1,none,250,9714,6193,86864,-0.252,-0.252,0.64,0.186,1151,5042,14.03,20.2,12.62,26,21
CDLSPINNINGTOP,bearish,,bearish,crypto,4,bearish_spinning_top,1,none,250,7635,4804,94650,-0.31599999999999995,-0.31599999999999995,0.63,0.136,651,4153,19.7,29.31,18.2,21,39
CDLSPINNINGTOP,bearish,,bearish,crypto,5,bearish_spinning_top,1,none,250,6416,4004,100937,-0.36,-0.36,0.62,0.106,423,3581,25.21,39.11,23.57,12,38
CDLSPINNINGTOP,bearish,,bearish,forex,1,bearish_spinning_top,1,none,1087,223995,152740,560951,-0.241,-0.241,0.68,0.379,57885,94855,3.67,4.22,3.34,233,25
CDLSPINNINGTOP,bearish,,bearish,forex,2,bearish_spinning_top,1,none,1087,197097,134334,829304,-0.21399999999999997,-0.21399999999999997,0.68,0.263,35265,99069,6.17,9.19,5.1,225,43
CDLSPINNINGTOP,bearish,,bearish,forex,3,bearish_spinning_top,1,none,1087,176187,119917,1035654,-0.20300000000000007,-0.20300000000000007,0.68,0.199,23807,96110,8.64,15.92,6.83,187,120
CDLSPINNINGTOP,bearish,,bearish,forex,4,bearish_spinning_top,1,none,1087,159727,108543,1205375,-0.20799999999999996,-0.20799999999999996,0.68,0.158,17174,91369,11.11,25.01,8.49,155,126
CDLSPINNINGTOP,bearish,,bearish,forex,5,bearish_spinning_top,1,none,1087,146488,99366,1344198,-0.21999999999999997,-0.21999999999999997,0.68,0.13,12872,86494,13.53,36.89,10.05,101,126
CDLSPINNINGTOP,bearish,,bearish,stock,1,bearish_spinning_top,1,none,5895,1095975,756757,2339428,-0.13599999999999995,-0.13599999999999995,0.69,0.434,328446,428311,3.09,3.29,2.94,193,19
CDLSPINNINGTOP,bearish,,bearish,stock,2,bearish_spinning_top,1,none,5895,987313,682257,3545856,-0.128,-0.128,0.69,0.291,198863,483394,5.2,6.97,4.47,133,30
CDLSPINNINGTOP,bearish,,bearish,stock,3,bearish_spinning_top,1,none,5895,899308,621606,4501972,-0.132,-0.132,0.69,0.216,134123,487483,7.24,11.93,5.95,99,40
CDLSPINNINGTOP,bearish,,bearish,stock,4,bearish_spinning_top,1,none,5895,823817,569283,5258428,-0.15399999999999991,-0.15399999999999991,0.69,0.169,96267,473016,9.24,17.79,7.5,81,51
CDLSPINNINGTOP,bearish,,bearish,stock,5,bearish_spinning_top,1,none,5895,760198,525262,5881271,-0.16999999999999993,-0.16999999999999993,0.69,0.138,72253,453009,11.2,24.96,9.0,67,60
