pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSPINNINGTOP,bearish,,bullish,crypto,1,bearish_spinning_top,1,none,250,19644,19112,34999,-0.13799999999999996,-0.13799999999999996,0.97,0.432,8253,10859,1.83,2.0,1.7,9,11
CDLSPINNINGTOP,bearish,,bullish,crypto,2,bearish_spinning_top,1,none,250,18160,17645,46981,0.014000000000000012,0.014000000000000012,0.97,0.337,5952,11693,2.66,3.3,2.34,7,11
CDLSPINNINGTOP,bearish,,bullish,crypto,3,bearish_spinning_top,1,none,250,17058,16552,55951,0.1050000000000001,0.1050000000000001,0.97,0.275,4549,12003,3.38,4.81,2.84,2,13
CDLSPINNINGTOP,bearish,,bullish,crypto,4,bearish_spinning_top,1,none,250,16166,15678,63372,0.16600000000000004,0.16600000000000004,0.97,0.234,3664,12014,4.04,6.69,3.23,2,25
CDLSPINNINGTOP,bearish,,bullish,crypto,5,bearish_spinning_top,1,none,250,15485,14999,68416,0.24,0.24,0.97,0.206,3087,11912,4.56,8.4,3.57,2,25
CDLSPINNINGTOP,bearish,,bullish,forex,1,bearish_spinning_top,1,none,1087,264100,258782,529753,-0.29600000000000004,-0.29600000000000004,0.98,0.354,91607,167175,2.05,2.16,1.98,113,108
CDLSPINNINGTOP,bearish,,bullish,forex,2,bearish_spinning_top,1,none,1087,244206,239070,694201,-0.19399999999999995,-0.19399999999999995,0.98,0.268,64045,175025,2.9,3.57,2.66,113,108
CDLSPINNINGTOP,bearish,,bullish,forex,3,bearish_spinning_top,1,none,1087,228558,223593,829382,-0.15700000000000003,-0.15700000000000003,0.98,0.211,47236,176357,3.71,5.43,3.25,113,128
CDLSPINNINGTOP,bearish,,bullish,forex,4,bearish_spinning_top,1,none,1087,215531,210705,942861,-0.138,-0.138,0.98,0.173,36428,174277,4.47,7.83,3.77,113,151
CDLSPINNINGTOP,bearish,,bullish,forex,5,bearish_spinning_top,1,none,1087,203357,198684,1048339,-0.135,-0.135,0.98,0.145,28829,169855,5.28,10.92,4.32,113,330
CDLSPINNINGTOP,bearish,,bullish,stock,1,bearish_spinning_top,1,none,5895,1282484,1188097,1805422,-0.16299999999999998,-0.16299999999999998,0.93,0.417,495796,692301,1.52,1.61,1.45,9,17
CDLSPINNINGTOP,bearish,,bullish,stock,2,bearish_spinning_top,1,none,5895,1221074,1130553,2408590,-0.008000000000000007,-0.008000000000000007,0.93,0.331,373716,756837,2.13,2.61,1.89,8,22
CDLSPINNINGTOP,bearish,,bullish,stock,3,bearish_spinning_top,1,none,5895,1166992,1079980,2961646,0.08600000000000008,0.08600000000000008,0.93,0.272,293448,786532,2.74,3.9,2.31,7,22
CDLSPINNINGTOP,bearish,,bullish,stock,4,bearish_spinning_top,1,none,5895,1118102,1034111,3460099,0.15800000000000003,0.15800000000000003,0.92,0.232,239647,794464,3.35,5.5,2.7,5,27
CDLSPINNINGTOP,bearish,,bullish,stock,5,bearish_spinning_top,1,none,5895,1073605,992440,3907980,0.20999999999999996,0.20999999999999996,0.92,0.202,200742,791698,3.94,7.32,3.08,5,29
