pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3LINESTRIKE,bearish,continuation,bearish continuation,crypto,1,bearish_three_line_strike,4,downtrend,26,77,20,80,0.10000000000000003,0.02500000000000001,0.26,0.55,11,9,4.0,5.55,2.11,4,1
CDL3LINESTRIKE,bearish,continuation,bearish continuation,crypto,2,bearish_three_line_strike,4,downtrend,26,76,19,116,0.4179999999999999,0.10449999999999998,0.25,0.474,9,10,6.11,8.33,4.1,3,1
CDL3LINESTRIKE,bearish,continuation,bearish continuation,crypto,3,bearish_three_line_strike,4,downtrend,26,75,19,258,0.2679999999999999,0.06699999999999998,0.25,0.316,6,13,13.58,17.67,11.69,2,1
CDL3LINESTRIKE,bearish,continuation,bearish continuation,crypto,4,bearish_three_line_strike,4,downtrend,26,73,18,250,-0.16199999999999992,-0.04049999999999998,0.25,0.167,3,15,13.89,22.67,12.13,1,4
CDL3LINESTRIKE,bearish,continuation,bearish continuation,crypto,5,bearish_three_line_strike,4,downtrend,26,73,18,270,-0.33499999999999996,-0.08374999999999999,0.25,0.111,2,16,15.0,32.5,12.81,1,4
CDL3LINESTRIKE,bearish,continuation,bearish continuation,forex,1,bearish_three_line_strike,4,downtrend,287,856,204,807,-0.44099999999999995,-0.11024999999999999,0.24,0.279,57,147,3.96,5.39,3.4,2,4
CDL3LINESTRIKE,bearish,continuation,bearish continuation,forex,2,bearish_three_line_strike,4,downtrend,287,855,203,1361,-0.37600000000000006,-0.09400000000000001,0.24,0.207,42,161,6.7,12.17,5.28,2,4
CDL3LINESTRIKE,bearish,continuation,bearish continuation,forex,3,bearish_three_line_strike,4,downtrend,287,853,201,1920,-0.42800000000000005,-0.10700000000000001,0.24,0.144,29,172,9.55,16.62,8.36,2,4
CDL3LINESTRIKE,bearish,continuation,bearish continuation,forex,4,bearish_three_line_strike,4,downtrend,287,852,201,2254,-0.454,-0.1135,0.24,0.109,22,179,11.21,28.23,9.12,2,4
CDL3LINESTRIKE,bearish,continuation,bearish continuation,forex,5,bearish_three_line_strike,4,downtrend,287,852,201,2669,-0.42500000000000004,-0.10625000000000001,0.24,0.095,19,182,13.28,43.84,10.09,2,4
CDL3LINESTRIKE,bearish,continuation,bearish continuation,stock,1,bearish_three_line_strike,4,downtrend,702,1707,424,3027,-0.15999999999999998,-0.039999999999999994,0.25,0.42,178,246,7.14,7.76,6.69,2,3
CDL3LINESTRIKE,bearish,continuation,bearish continuation,stock,2,bearish_three_line_strike,4,downtrend,702,1704,424,7001,-0.15799999999999992,-0.03949999999999998,0.25,0.281,119,305,16.51,28.83,11.7,2,3
CDL3LINESTRIKE,bearish,continuation,bearish continuation,stock,3,bearish_three_line_strike,4,downtrend,702,1701,424,12067,-0.2310000000000001,-0.057750000000000024,0.25,0.193,82,342,28.46,23.84,29.57,2,3
CDL3LINESTRIKE,bearish,continuation,bearish continuation,stock,4,bearish_three_line_strike,4,downtrend,702,1699,424,16148,-0.238,-0.0595,0.25,0.153,65,359,38.08,75.98,31.22,2,3
CDL3LINESTRIKE,bearish,continuation,bearish continuation,stock,5,bearish_three_line_strike,4,downtrend,702,1695,421,16235,-0.21499999999999997,-0.05374999999999999,0.25,0.131,55,366,38.56,79.11,32.47,2,3
