pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTRISTAR,bearish,reversal,bearish reversal,crypto,1,bearish_tri_star,3,uptrend,4,11,11,67,0.45699999999999996,0.15233333333333332,1.0,0.727,8,3,6.09,8.0,1.0,3,2
CDLTRISTAR,bearish,reversal,bearish reversal,crypto,2,bearish_tri_star,3,uptrend,4,11,11,123,0.08799999999999997,0.029333333333333322,1.0,0.364,4,7,11.18,6.25,14.0,2,4
CDLTRISTAR,bearish,reversal,bearish reversal,crypto,3,bearish_tri_star,3,uptrend,4,11,11,136,-0.2739999999999999,-0.09133333333333331,1.0,0.182,2,9,12.36,2.5,14.56,1,5
CDLTRISTAR,bearish,reversal,bearish reversal,crypto,4,bearish_tri_star,3,uptrend,4,11,11,144,-0.09199999999999997,-0.030666666666666658,1.0,0.182,2,9,13.09,6.5,14.56,1,5
CDLTRISTAR,bearish,reversal,bearish reversal,crypto,5,bearish_tri_star,3,uptrend,4,11,11,149,0.08999999999999997,0.02999999999999999,1.0,0.182,2,9,13.55,9.0,14.56,1,5
CDLTRISTAR,bearish,reversal,bearish reversal,forex,1,bearish_tri_star,3,uptrend,63,259,249,439,-0.020000000000000018,-0.006666666666666672,0.96,0.49,122,127,1.76,1.7,1.83,15,4
CDLTRISTAR,bearish,reversal,bearish reversal,forex,2,bearish_tri_star,3,uptrend,63,259,249,643,0.264,0.08800000000000001,0.96,0.422,105,144,2.58,2.2,2.86,15,4
CDLTRISTAR,bearish,reversal,bearish reversal,forex,3,bearish_tri_star,3,uptrend,63,259,249,823,0.477,0.159,0.96,0.369,92,157,3.31,3.83,3.0,15,5
CDLTRISTAR,bearish,reversal,bearish reversal,forex,4,bearish_tri_star,3,uptrend,63,259,249,1044,0.562,0.18733333333333335,0.96,0.313,78,171,4.19,3.47,4.52,13,21
CDLTRISTAR,bearish,reversal,bearish reversal,forex,5,bearish_tri_star,3,uptrend,63,259,249,1121,0.7549999999999999,0.25166666666666665,0.96,0.293,73,176,4.5,3.59,4.88,13,21
CDLTRISTAR,bearish,reversal,bearish reversal,stock,1,bearish_tri_star,3,uptrend,2141,10340,7909,29626,-0.03600000000000003,-0.01200000000000001,0.76,0.484,3830,4079,3.75,3.55,3.93,36,8
CDLTRISTAR,bearish,reversal,bearish reversal,stock,2,bearish_tri_star,3,uptrend,2141,10166,7766,43997,0.13,0.043333333333333335,0.76,0.375,2914,4852,5.67,5.84,5.56,22,9
CDLTRISTAR,bearish,reversal,bearish reversal,stock,3,bearish_tri_star,3,uptrend,2141,10086,7709,58084,0.2370000000000001,0.07900000000000003,0.76,0.309,2380,5329,7.53,8.85,6.95,14,10
CDLTRISTAR,bearish,reversal,bearish reversal,stock,4,bearish_tri_star,3,uptrend,2141,10006,7644,70124,0.3340000000000001,0.11133333333333335,0.76,0.266,2035,5609,9.17,11.54,8.31,12,10
CDLTRISTAR,bearish,reversal,bearish reversal,stock,5,bearish_tri_star,3,uptrend,2141,9920,7580,83573,0.3800000000000001,0.1266666666666667,0.76,0.23,1746,5834,11.03,14.5,9.99,10,10
