pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTRISTAR,bearish,reversal,bullish continuation,crypto,1,bearish_tri_star,3,uptrend,4,10,4,13,-0.5,-0.16666666666666666,0.4,0.25,1,3,3.25,9.0,1.33,0,2
CDLTRISTAR,bearish,reversal,bullish continuation,crypto,2,bearish_tri_star,3,uptrend,4,10,4,13,-0.25,-0.08333333333333333,0.4,0.25,1,3,3.25,9.0,1.33,0,2
CDLTRISTAR,bearish,reversal,bullish continuation,crypto,3,bearish_tri_star,3,uptrend,4,10,4,30,-1.0,-0.3333333333333333,0.4,0.0,0,4,7.5,,7.5,0,2
CDLTRISTAR,bearish,reversal,bullish continuation,crypto,4,bearish_tri_star,3,uptrend,4,10,4,30,-1.0,-0.3333333333333333,0.4,0.0,0,4,7.5,,7.5,0,2
CDLTRISTAR,bearish,reversal,bullish continuation,crypto,5,bearish_tri_star,3,uptrend,4,10,4,30,-1.0,-0.3333333333333333,0.4,0.0,0,4,7.5,,7.5,0,2
CDLTRISTAR,bearish,reversal,bullish continuation,forex,1,bearish_tri_star,3,uptrend,63,257,167,884,-0.6180000000000001,-0.20600000000000004,0.65,0.192,32,135,5.29,3.44,5.73,2,11
CDLTRISTAR,bearish,reversal,bullish continuation,forex,2,bearish_tri_star,3,uptrend,63,256,167,1144,-0.584,-0.19466666666666665,0.65,0.138,23,144,6.85,10.87,6.21,1,14
CDLTRISTAR,bearish,reversal,bullish continuation,forex,3,bearish_tri_star,3,uptrend,63,256,167,1274,-0.668,-0.22266666666666668,0.65,0.084,14,153,7.63,14.93,6.96,1,14
CDLTRISTAR,bearish,reversal,bullish continuation,forex,4,bearish_tri_star,3,uptrend,63,256,167,1430,-0.666,-0.222,0.65,0.066,11,156,8.56,28.36,7.17,1,14
CDLTRISTAR,bearish,reversal,bullish continuation,forex,5,bearish_tri_star,3,uptrend,63,255,166,1734,-0.6799999999999999,-0.22666666666666666,0.65,0.054,9,157,10.45,68.11,7.14,1,14
CDLTRISTAR,bearish,reversal,bullish continuation,stock,1,bearish_tri_star,3,uptrend,2141,10609,7005,13319,-0.478,-0.15933333333333333,0.66,0.262,1832,5173,1.9,2.56,1.67,6,15
CDLTRISTAR,bearish,reversal,bullish continuation,stock,2,bearish_tri_star,3,uptrend,2141,10534,6963,16981,-0.37800000000000006,-0.12600000000000003,0.66,0.206,1436,5527,2.44,3.62,2.13,4,22
CDLTRISTAR,bearish,reversal,bullish continuation,stock,3,bearish_tri_star,3,uptrend,2141,10485,6934,20133,-0.29500000000000004,-0.09833333333333334,0.66,0.175,1212,5722,2.9,5.13,2.43,3,22
CDLTRISTAR,bearish,reversal,bullish continuation,stock,4,bearish_tri_star,3,uptrend,2141,10434,6907,23560,-0.23399999999999999,-0.078,0.66,0.154,1067,5840,3.41,7.02,2.75,3,22
CDLTRISTAR,bearish,reversal,bullish continuation,stock,5,bearish_tri_star,3,uptrend,2141,10401,6888,26274,-0.15999999999999992,-0.05333333333333331,0.66,0.14,964,5924,3.81,8.91,2.99,3,22
