pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLBELTHOLD,bullish,reversal,bearish mean reversion,crypto,1,bullish_belt_hold,1,downtrend,249,7487,3970,21224,0.061000000000000054,0.061000000000000054,0.53,0.531,2109,1861,5.35,5.55,5.12,27,7
CDLBELTHOLD,bullish,reversal,bearish mean reversion,crypto,2,bullish_belt_hold,1,downtrend,249,6392,3296,41398,-0.018000000000000016,-0.018000000000000016,0.52,0.326,1073,2223,12.56,16.0,10.9,14,12
CDLBELTHOLD,bullish,reversal,bearish mean reversion,crypto,3,bullish_belt_hold,1,downtrend,249,5461,2830,56059,-0.07699999999999996,-0.07699999999999996,0.52,0.231,653,2177,19.81,33.09,15.82,10,19
CDLBELTHOLD,bullish,reversal,bearish mean reversion,crypto,4,bullish_belt_hold,1,downtrend,249,4605,2352,66497,-0.15799999999999992,-0.15799999999999992,0.51,0.168,394,1958,28.27,52.03,23.49,7,19
CDLBELTHOLD,bullish,reversal,bearish mean reversion,crypto,5,bullish_belt_hold,1,downtrend,249,3968,2014,70244,-0.29499999999999993,-0.29499999999999993,0.51,0.117,236,1778,34.88,60.94,31.42,7,19
CDLBELTHOLD,bullish,reversal,bearish mean reversion,forex,1,bullish_belt_hold,1,downtrend,1280,113561,55605,435428,0.21899999999999997,0.21899999999999997,0.49,0.609,33880,21725,7.83,7.46,8.4,79,9
CDLBELTHOLD,bullish,reversal,bearish mean reversion,forex,2,bullish_belt_hold,1,downtrend,1280,95598,45609,761167,0.22999999999999998,0.22999999999999998,0.48,0.41,18684,26925,16.69,19.17,14.97,48,33
CDLBELTHOLD,bullish,reversal,bearish mean reversion,forex,3,bullish_belt_hold,1,downtrend,1280,85563,40329,962711,0.24,0.24,0.47,0.31,12507,27822,23.87,32.72,19.89,38,41
CDLBELTHOLD,bullish,reversal,bearish mean reversion,forex,4,bullish_belt_hold,1,downtrend,1280,78747,36772,1112810,0.242,0.242,0.47,0.248,9135,27637,30.26,49.35,23.95,31,50
CDLBELTHOLD,bullish,reversal,bearish mean reversion,forex,5,bullish_belt_hold,1,downtrend,1280,73334,33973,1242110,0.22499999999999987,0.22499999999999987,0.46,0.205,6958,27015,36.56,67.57,28.58,26,53
CDLBELTHOLD,bullish,reversal,bearish mean reversion,stock,1,bullish_belt_hold,1,downtrend,6466,441714,264237,1545516,0.09500000000000003,0.09500000000000003,0.6,0.545,144079,120158,5.85,5.47,6.31,89,16
CDLBELTHOLD,bullish,reversal,bearish mean reversion,stock,2,bullish_belt_hold,1,downtrend,6466,379555,226160,2614335,0.06999999999999995,0.06999999999999995,0.6,0.355,80391,145769,11.56,13.31,10.59,51,19
CDLBELTHOLD,bullish,reversal,bearish mean reversion,stock,3,bullish_belt_hold,1,downtrend,6466,335069,199585,3376160,0.040000000000000036,0.040000000000000036,0.6,0.26,51806,147779,16.92,23.56,14.58,37,36
CDLBELTHOLD,bullish,reversal,bearish mean reversion,stock,4,bullish_belt_hold,1,downtrend,6466,302078,179672,3964222,0.0040000000000000036,0.0040000000000000036,0.59,0.201,36080,143592,22.06,35.34,18.73,30,46
CDLBELTHOLD,bullish,reversal,bearish mean reversion,stock,5,bullish_belt_hold,1,downtrend,6466,274849,163212,4421363,-0.03499999999999992,-0.03499999999999992,0.59,0.161,26286,136926,27.09,49.59,22.77,21,54
