pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLBELTHOLD,bullish,reversal,bullish mean reversion,crypto,1,bullish_belt_hold,1,downtrend,249,7302,2591,18969,0.14399999999999996,0.14399999999999996,0.35,0.574,1488,1103,7.32,7.67,6.85,9,5
CDLBELTHOLD,bullish,reversal,bullish mean reversion,crypto,2,bullish_belt_hold,1,downtrend,249,6557,2314,31491,0.236,0.236,0.35,0.413,955,1359,13.61,16.93,11.28,7,9
CDLBELTHOLD,bullish,reversal,bullish mean reversion,crypto,3,bullish_belt_hold,1,downtrend,249,6243,2181,39905,0.32599999999999996,0.32599999999999996,0.35,0.332,724,1457,18.3,25.67,14.63,5,9
CDLBELTHOLD,bullish,reversal,bullish mean reversion,crypto,4,bullish_belt_hold,1,downtrend,249,6068,2092,44923,0.3660000000000001,0.3660000000000001,0.34,0.274,573,1519,21.47,33.24,17.04,4,9
CDLBELTHOLD,bullish,reversal,bullish mean reversion,crypto,5,bullish_belt_hold,1,downtrend,249,5936,2039,50031,0.43499999999999983,0.43499999999999983,0.34,0.239,487,1552,24.54,41.91,19.09,3,10
CDLBELTHOLD,bullish,reversal,bullish mean reversion,forex,1,bullish_belt_hold,1,downtrend,1280,120963,32984,168269,0.12399999999999994,0.12399999999999994,0.27,0.564,18609,14375,5.1,4.56,5.81,28,11
CDLBELTHOLD,bullish,reversal,bullish mean reversion,forex,2,bullish_belt_hold,1,downtrend,1280,110977,29675,370020,0.132,0.132,0.27,0.376,11156,18519,12.47,14.81,11.06,9,14
CDLBELTHOLD,bullish,reversal,bullish mean reversion,forex,3,bullish_belt_hold,1,downtrend,1280,106675,28252,520442,0.1140000000000001,0.1140000000000001,0.26,0.278,7844,20408,18.42,26.0,15.51,5,27
CDLBELTHOLD,bullish,reversal,bullish mean reversion,forex,4,bullish_belt_hold,1,downtrend,1280,103856,27364,636981,0.09999999999999998,0.09999999999999998,0.26,0.22,6029,21335,23.28,39.7,18.64,5,67
CDLBELTHOLD,bullish,reversal,bullish mean reversion,forex,5,bullish_belt_hold,1,downtrend,1280,101454,26599,731418,0.1050000000000001,0.1050000000000001,0.26,0.185,4926,21673,27.5,55.79,21.07,5,67
CDLBELTHOLD,bullish,reversal,bullish mean reversion,stock,1,bullish_belt_hold,1,downtrend,6466,452540,165216,877576,0.176,0.176,0.37,0.586,96877,68339,5.31,5.09,5.62,21,9
CDLBELTHOLD,bullish,reversal,bullish mean reversion,stock,2,bullish_belt_hold,1,downtrend,6466,414952,150184,1537924,0.256,0.256,0.36,0.418,62804,87380,10.24,12.17,8.85,11,13
CDLBELTHOLD,bullish,reversal,bullish mean reversion,stock,3,bullish_belt_hold,1,downtrend,6466,395119,142357,2120602,0.31700000000000006,0.31700000000000006,0.36,0.329,46808,95549,14.9,21.39,11.71,10,22
CDLBELTHOLD,bullish,reversal,bullish mean reversion,stock,4,bullish_belt_hold,1,downtrend,6466,382400,137317,2651590,0.3620000000000001,0.3620000000000001,0.36,0.273,37537,99780,19.31,32.53,14.34,6,36
CDLBELTHOLD,bullish,reversal,bullish mean reversion,stock,5,bullish_belt_hold,1,downtrend,6466,372105,133186,3120788,0.4149999999999998,0.4149999999999998,0.36,0.235,31362,101824,23.43,45.02,16.78,6,36
