pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,1,bullish_closing_marubozu,1,none,239,13490,4544,30182,0.21599999999999997,0.21599999999999997,0.34,0.606,2752,1792,6.64,6.74,6.49,15,5
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,2,bullish_closing_marubozu,1,none,239,11730,3865,45660,0.34199999999999997,0.34199999999999997,0.33,0.446,1723,2142,11.81,13.18,10.72,6,9
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,3,bullish_closing_marubozu,1,none,239,10807,3521,56772,0.44000000000000006,0.44000000000000006,0.33,0.36,1267,2254,16.12,21.58,13.06,5,10
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,4,bullish_closing_marubozu,1,none,239,10273,3336,61209,0.538,0.538,0.32,0.307,1024,2312,18.35,25.89,15.01,4,15
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,5,bullish_closing_marubozu,1,none,239,9841,3176,66241,0.6100000000000001,0.6100000000000001,0.32,0.268,850,2326,20.86,32.06,16.76,4,15
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,1,bullish_closing_marubozu,1,none,1284,258706,66740,403393,0.14299999999999996,0.14299999999999996,0.26,0.573,38229,28511,6.04,5.9,6.24,30,11
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,2,bullish_closing_marubozu,1,none,1284,222670,53949,729752,0.10799999999999998,0.10799999999999998,0.24,0.369,19895,34054,13.53,15.97,12.1,7,33
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,3,bullish_closing_marubozu,1,none,1284,207162,49228,920826,0.08600000000000008,0.08600000000000008,0.24,0.272,13395,35833,18.71,26.47,15.8,6,37
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,4,bullish_closing_marubozu,1,none,1284,196534,46145,1051426,0.08799999999999997,0.08799999999999997,0.23,0.217,10001,36144,22.79,38.71,18.38,5,45
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,5,bullish_closing_marubozu,1,none,1284,187325,43659,1166497,0.08500000000000008,0.08500000000000008,0.23,0.181,7908,35751,26.72,52.07,21.11,5,87
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,1,bullish_closing_marubozu,1,none,6448,972839,314959,1509392,0.16199999999999998,0.16199999999999998,0.32,0.582,183390,131569,4.79,4.61,5.05,19,10
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,2,bullish_closing_marubozu,1,none,6448,881955,282893,2558006,0.23399999999999999,0.23399999999999999,0.32,0.412,116550,166343,9.04,10.84,7.78,8,15
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,3,bullish_closing_marubozu,1,none,6448,816806,260261,3377444,0.28900000000000003,0.28900000000000003,0.32,0.323,84126,176135,12.98,18.98,10.11,10,31
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,4,bullish_closing_marubozu,1,none,6448,765081,242725,4053359,0.3460000000000001,0.3460000000000001,0.32,0.269,65322,177403,16.7,28.7,12.28,7,33
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,5,bullish_closing_marubozu,1,none,6448,722700,228212,4628963,0.3900000000000001,0.3900000000000001,0.32,0.232,52887,175325,20.28,40.18,14.28,7,33
