pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,1,bullish_closing_marubozu,1,none,239,14130,10821,51604,0.0010000000000000009,0.0010000000000000009,0.77,0.501,5419,5402,4.77,4.51,5.03,16,6
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,2,bullish_closing_marubozu,1,none,239,12041,9235,70656,0.11199999999999999,0.11199999999999999,0.77,0.371,3428,5807,7.65,8.71,7.03,6,17
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,3,bullish_closing_marubozu,1,none,239,10759,8227,83607,0.19100000000000006,0.19100000000000006,0.76,0.297,2445,5782,10.16,13.83,8.61,6,15
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,4,bullish_closing_marubozu,1,none,239,9907,7550,92623,0.246,0.246,0.76,0.249,1877,5673,12.27,19.0,10.04,7,18
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,5,bullish_closing_marubozu,1,none,239,9421,7168,99404,0.31000000000000005,0.31000000000000005,0.76,0.218,1565,5603,13.87,23.7,11.12,6,18
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,1,bullish_closing_marubozu,1,none,1284,218894,159267,1265250,-0.02300000000000002,-0.02300000000000002,0.73,0.487,77516,81751,7.94,7.42,8.44,23,51
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,2,bullish_closing_marubozu,1,none,1284,162472,121414,1675877,-0.018000000000000016,-0.018000000000000016,0.75,0.326,39597,81817,13.8,17.07,12.22,8,52
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,3,bullish_closing_marubozu,1,none,1284,135025,101789,1914104,-0.028000000000000025,-0.028000000000000025,0.75,0.244,24877,76912,18.8,28.56,15.65,7,104
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,4,bullish_closing_marubozu,1,none,1284,117788,89133,2090429,-0.020000000000000018,-0.020000000000000018,0.76,0.195,17379,71754,23.45,43.35,18.63,9,110
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,5,bullish_closing_marubozu,1,none,1284,106205,80642,2225624,-0.039999999999999925,-0.039999999999999925,0.76,0.16,12936,67706,27.6,59.32,21.54,7,125
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,1,bullish_closing_marubozu,1,none,6448,980952,820998,3956726,0.03500000000000003,0.03500000000000003,0.84,0.515,422496,398502,4.82,4.74,4.9,11,12
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,2,bullish_closing_marubozu,1,none,6448,807700,674287,5692719,0.11199999999999999,0.11199999999999999,0.83,0.371,249834,424453,8.44,10.57,7.19,11,17
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,3,bullish_closing_marubozu,1,none,6448,696882,580526,6928291,0.17199999999999993,0.17199999999999993,0.83,0.294,170574,409952,11.93,18.21,9.32,8,20
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,4,bullish_closing_marubozu,1,none,6448,616561,512253,7869880,0.238,0.238,0.83,0.247,126336,385917,15.36,27.58,11.36,4,43
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,5,bullish_closing_marubozu,1,none,6448,556003,460100,8595535,0.28,0.28,0.83,0.214,98662,361438,18.68,38.21,13.35,7,43
