pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,1,bullish_closing_marubozu,1,none,239,14132,10208,49745,0.02300000000000002,0.02300000000000002,0.72,0.513,5236,4972,4.87,4.54,5.22,16,14
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,2,bullish_closing_marubozu,1,none,239,12095,8732,68452,0.14600000000000002,0.14600000000000002,0.72,0.383,3341,5391,7.84,8.77,7.26,6,14
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,3,bullish_closing_marubozu,1,none,239,10834,7788,80956,0.21500000000000008,0.21500000000000008,0.72,0.305,2378,5410,10.39,13.88,8.86,5,18
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,4,bullish_closing_marubozu,1,none,239,9967,7128,90831,0.266,0.266,0.72,0.254,1811,5317,12.74,19.27,10.52,6,18
CDLCLOSINGMARUBOZU,bullish,,bullish,crypto,5,bullish_closing_marubozu,1,none,239,9483,6780,97393,0.3400000000000001,0.3400000000000001,0.71,0.224,1521,5259,14.36,24.21,11.52,6,21
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,1,bullish_closing_marubozu,1,none,1284,221683,154886,1250956,-0.018000000000000016,-0.018000000000000016,0.7,0.492,76181,78705,8.08,7.54,8.6,23,47
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,2,bullish_closing_marubozu,1,none,1284,165215,117992,1667129,-0.010000000000000009,-0.010000000000000009,0.71,0.33,38911,79081,14.13,17.39,12.53,8,58
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,3,bullish_closing_marubozu,1,none,1284,137392,98685,1912960,-0.006000000000000005,-0.006000000000000005,0.72,0.248,24437,74248,19.38,29.26,16.13,7,101
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,4,bullish_closing_marubozu,1,none,1284,120360,86668,2090999,-0.01200000000000001,-0.01200000000000001,0.72,0.197,17083,69585,24.13,44.34,19.16,8,122
CDLCLOSINGMARUBOZU,bullish,,bullish,forex,5,bullish_closing_marubozu,1,none,1284,108518,78316,2228254,-0.029999999999999916,-0.029999999999999916,0.72,0.162,12702,65614,28.45,60.68,22.21,5,122
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,1,bullish_closing_marubozu,1,none,6448,972495,796973,3971087,0.02400000000000002,0.02400000000000002,0.82,0.514,409671,387302,4.98,4.91,5.06,11,12
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,2,bullish_closing_marubozu,1,none,6448,800056,653807,5726569,0.10799999999999998,0.10799999999999998,0.82,0.369,241509,412298,8.76,11.01,7.44,8,16
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,3,bullish_closing_marubozu,1,none,6448,689762,562286,6971157,0.16900000000000004,0.16900000000000004,0.82,0.293,164693,397593,12.4,19.03,9.65,7,22
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,4,bullish_closing_marubozu,1,none,6448,609695,495619,7917036,0.23399999999999999,0.23399999999999999,0.81,0.246,121698,373921,15.97,28.83,11.79,4,43
CDLCLOSINGMARUBOZU,bullish,,bullish,stock,5,bullish_closing_marubozu,1,none,6448,549512,444801,8645805,0.2749999999999999,0.2749999999999999,0.81,0.213,94930,349871,19.44,40.03,13.85,5,43
