pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDOJISTAR,bullish,reversal,bearish continuation,crypto,1,bullish_doji_star,2,downtrend,147,747,710,1882,-0.15599999999999997,-0.07799999999999999,0.95,0.424,301,409,2.65,1.96,3.16,13,7
CDLDOJISTAR,bullish,reversal,bearish continuation,crypto,2,bullish_doji_star,2,downtrend,147,742,703,2590,-0.03200000000000003,-0.016000000000000014,0.95,0.324,228,475,3.68,3.59,3.73,11,8
CDLDOJISTAR,bullish,reversal,bearish continuation,crypto,3,bullish_doji_star,2,downtrend,147,732,691,3073,-0.040000000000000036,-0.020000000000000018,0.94,0.24,166,525,4.45,3.99,4.59,9,12
CDLDOJISTAR,bullish,reversal,bearish continuation,crypto,4,bullish_doji_star,2,downtrend,147,728,687,3586,0.015999999999999903,0.007999999999999952,0.94,0.204,140,547,5.22,6.52,4.89,8,15
CDLDOJISTAR,bullish,reversal,bearish continuation,crypto,5,bullish_doji_star,2,downtrend,147,721,678,3943,0.039999999999999925,0.019999999999999962,0.94,0.174,118,560,5.82,7.08,5.55,7,15
CDLDOJISTAR,bullish,reversal,bearish continuation,forex,1,bullish_doji_star,2,downtrend,694,5979,5855,11564,-0.18,-0.09,0.98,0.41,2403,3452,1.98,1.92,2.01,15,11
CDLDOJISTAR,bullish,reversal,bearish continuation,forex,2,bullish_doji_star,2,downtrend,694,5941,5817,16959,-0.09599999999999997,-0.04799999999999999,0.98,0.302,1759,4058,2.92,3.47,2.67,14,16
CDLDOJISTAR,bullish,reversal,bearish continuation,forex,3,bullish_doji_star,2,downtrend,694,5903,5779,22966,-0.05500000000000005,-0.027500000000000024,0.98,0.235,1356,4423,3.97,6.01,3.35,12,20
CDLDOJISTAR,bullish,reversal,bearish continuation,forex,4,bullish_doji_star,2,downtrend,694,5874,5750,28546,-0.050000000000000044,-0.025000000000000022,0.98,0.19,1090,4660,4.96,8.42,4.16,10,20
CDLDOJISTAR,bullish,reversal,bearish continuation,forex,5,bullish_doji_star,2,downtrend,694,5852,5727,33008,-0.029999999999999916,-0.014999999999999958,0.98,0.162,926,4801,5.76,10.74,4.8,9,20
CDLDOJISTAR,bullish,reversal,bearish continuation,stock,1,bullish_doji_star,2,downtrend,5259,106607,92293,153853,-0.19599999999999995,-0.09799999999999998,0.87,0.404,37300,54993,1.67,1.77,1.6,31,23
CDLDOJISTAR,bullish,reversal,bearish continuation,stock,2,bullish_doji_star,2,downtrend,5259,105987,91716,214981,-0.050000000000000044,-0.025000000000000022,0.87,0.315,28929,62787,2.34,2.82,2.12,30,24
CDLDOJISTAR,bullish,reversal,bearish continuation,stock,3,bullish_doji_star,2,downtrend,5259,105218,90999,277836,0.031000000000000028,0.015500000000000014,0.86,0.257,23418,67581,3.05,4.15,2.67,30,33
CDLDOJISTAR,bullish,reversal,bearish continuation,stock,4,bullish_doji_star,2,downtrend,5259,104458,90290,338999,0.09199999999999997,0.045999999999999985,0.86,0.218,19684,70606,3.75,5.57,3.25,27,45
CDLDOJISTAR,bullish,reversal,bearish continuation,stock,5,bullish_doji_star,2,downtrend,5259,103774,89650,396129,0.1399999999999999,0.06999999999999995,0.86,0.19,17028,72622,4.42,7.2,3.77,27,45
