pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHIGHWAVE,bullish,,bearish,crypto,1,bullish_high_wave,1,none,249,12182,11865,33439,-0.14299999999999996,-0.14299999999999996,0.97,0.427,5065,6800,2.82,2.66,2.94,84,12
CDLHIGHWAVE,bullish,,bearish,crypto,2,bullish_high_wave,1,none,249,10842,10534,48099,-0.030000000000000027,-0.030000000000000027,0.97,0.325,3423,7111,4.57,4.41,4.64,56,13
CDLHIGHWAVE,bullish,,bearish,crypto,3,bullish_high_wave,1,none,249,9676,9377,60646,0.028000000000000025,0.028000000000000025,0.97,0.256,2396,6981,6.47,6.66,6.4,37,27
CDLHIGHWAVE,bullish,,bearish,crypto,4,bullish_high_wave,1,none,249,9030,8734,65749,0.04999999999999993,0.04999999999999993,0.97,0.21,1838,6896,7.53,9.54,6.99,33,34
CDLHIGHWAVE,bullish,,bearish,crypto,5,bullish_high_wave,1,none,249,8078,7786,73732,0.029999999999999916,0.029999999999999916,0.96,0.172,1341,6445,9.47,12.97,8.74,26,34
CDLHIGHWAVE,bullish,,bearish,forex,1,bullish_high_wave,1,none,1113,207421,202771,377215,-0.183,-0.183,0.98,0.407,82608,120163,1.86,1.96,1.79,433,24
CDLHIGHWAVE,bullish,,bearish,forex,2,bullish_high_wave,1,none,1113,193781,189366,515101,-0.038000000000000034,-0.038000000000000034,0.98,0.321,60807,128559,2.72,3.26,2.47,321,38
CDLHIGHWAVE,bullish,,bearish,forex,3,bullish_high_wave,1,none,1113,183139,178914,631449,0.04600000000000004,0.04600000000000004,0.98,0.262,46795,132119,3.53,4.83,3.07,271,67
CDLHIGHWAVE,bullish,,bearish,forex,4,bullish_high_wave,1,none,1113,173721,169636,737573,0.09599999999999997,0.09599999999999997,0.98,0.219,37218,132418,4.35,6.84,3.65,181,81
CDLHIGHWAVE,bullish,,bearish,forex,5,bullish_high_wave,1,none,1113,165203,161260,827577,0.135,0.135,0.98,0.189,30517,130743,5.13,9.13,4.2,172,108
CDLHIGHWAVE,bullish,,bearish,stock,1,bullish_high_wave,1,none,6159,1016462,927237,1522465,-0.15699999999999997,-0.15699999999999997,0.91,0.423,392666,534571,1.64,1.73,1.58,253,21
CDLHIGHWAVE,bullish,,bearish,stock,2,bullish_high_wave,1,none,6159,969270,883511,2107310,-0.016000000000000014,-0.016000000000000014,0.91,0.327,289306,594205,2.39,2.88,2.15,198,25
CDLHIGHWAVE,bullish,,bearish,stock,3,bullish_high_wave,1,none,6159,928742,846005,2634034,0.052000000000000046,0.052000000000000046,0.91,0.264,222924,623081,3.11,4.27,2.7,163,29
CDLHIGHWAVE,bullish,,bearish,stock,4,bullish_high_wave,1,none,6159,890823,810891,3108898,0.09599999999999997,0.09599999999999997,0.91,0.219,177878,633013,3.83,5.91,3.25,137,39
CDLHIGHWAVE,bullish,,bearish,stock,5,bullish_high_wave,1,none,6159,857007,779620,3511240,0.125,0.125,0.91,0.187,145832,633788,4.5,7.76,3.76,119,51
