pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHIGHWAVE,bullish,,bearish,crypto,1,bullish_high_wave,1,none,249,10783,6660,35651,-0.21799999999999997,-0.21799999999999997,0.62,0.392,2613,4047,5.35,5.09,5.52,46,13
CDLHIGHWAVE,bullish,,bearish,crypto,2,bullish_high_wave,1,none,249,9415,5797,54283,-0.22199999999999998,-0.22199999999999998,0.62,0.259,1501,4296,9.36,12.82,8.16,27,16
CDLHIGHWAVE,bullish,,bearish,crypto,3,bullish_high_wave,1,none,249,7975,4853,65643,-0.2370000000000001,-0.2370000000000001,0.61,0.191,929,3924,13.53,20.25,11.94,19,32
CDLHIGHWAVE,bullish,,bearish,crypto,4,bullish_high_wave,1,none,249,6929,4169,78256,-0.29200000000000004,-0.29200000000000004,0.6,0.142,593,3576,18.77,34.43,16.17,17,32
CDLHIGHWAVE,bullish,,bearish,crypto,5,bullish_high_wave,1,none,249,5961,3561,87692,-0.35,-0.35,0.6,0.108,386,3175,24.63,47.26,21.87,14,32
CDLHIGHWAVE,bullish,,bearish,forex,1,bullish_high_wave,1,none,1113,179335,112577,410014,-0.30300000000000005,-0.30300000000000005,0.63,0.347,39036,73541,3.64,4.38,3.25,230,56
CDLHIGHWAVE,bullish,,bearish,forex,2,bullish_high_wave,1,none,1113,163777,102942,608470,-0.278,-0.278,0.63,0.241,24835,78107,5.91,9.19,4.87,194,110
CDLHIGHWAVE,bullish,,bearish,forex,3,bullish_high_wave,1,none,1113,151702,95290,772103,-0.2679999999999999,-0.2679999999999999,0.63,0.184,17531,77759,8.1,15.55,6.42,108,125
CDLHIGHWAVE,bullish,,bearish,forex,4,bullish_high_wave,1,none,1113,141883,89044,898966,-0.258,-0.258,0.63,0.148,13200,75844,10.1,23.1,7.83,96,125
CDLHIGHWAVE,bullish,,bearish,forex,5,bullish_high_wave,1,none,1113,133903,83998,1013286,-0.26,-0.26,0.63,0.124,10389,73609,12.06,32.23,9.22,92,125
CDLHIGHWAVE,bullish,,bearish,stock,1,bullish_high_wave,1,none,6159,905734,583819,1736505,-0.16499999999999998,-0.16499999999999998,0.64,0.415,242310,341509,2.97,3.28,2.76,183,19
CDLHIGHWAVE,bullish,,bearish,stock,2,bullish_high_wave,1,none,6159,841519,542662,2656816,-0.15600000000000003,-0.15600000000000003,0.64,0.282,152974,389688,4.9,6.78,4.16,133,23
CDLHIGHWAVE,bullish,,bearish,stock,3,bullish_high_wave,1,none,6159,787182,507737,3419469,-0.16000000000000003,-0.16000000000000003,0.65,0.21,106661,401076,6.73,11.29,5.52,102,50
CDLHIGHWAVE,bullish,,bearish,stock,4,bullish_high_wave,1,none,6159,737008,475303,4047546,-0.17999999999999994,-0.17999999999999994,0.64,0.165,78538,396765,8.52,16.75,6.89,83,56
CDLHIGHWAVE,bullish,,bearish,stock,5,bullish_high_wave,1,none,6159,694574,447757,4572183,-0.18499999999999994,-0.18499999999999994,0.64,0.135,60542,387215,10.21,23.08,8.2,77,56
