pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHIGHWAVE,bullish,,bullish,crypto,1,bullish_high_wave,1,none,249,11874,7402,24776,-0.16199999999999998,-0.16199999999999998,0.62,0.418,3093,4309,3.35,3.48,3.25,5,10
CDLHIGHWAVE,bullish,,bullish,crypto,2,bullish_high_wave,1,none,249,11119,6908,35720,-0.10399999999999998,-0.10399999999999998,0.62,0.298,2061,4847,5.17,6.79,4.48,5,18
CDLHIGHWAVE,bullish,,bullish,crypto,3,bullish_high_wave,1,none,249,10546,6532,43622,-0.04300000000000004,-0.04300000000000004,0.62,0.239,1561,4971,6.68,10.07,5.61,3,38
CDLHIGHWAVE,bullish,,bullish,crypto,4,bullish_high_wave,1,none,249,10128,6276,49555,-0.0040000000000000036,-0.0040000000000000036,0.62,0.199,1251,5025,7.9,13.39,6.53,2,37
CDLHIGHWAVE,bullish,,bullish,crypto,5,bullish_high_wave,1,none,249,9784,6034,53969,0.05500000000000005,0.05500000000000005,0.62,0.175,1054,4980,8.94,16.91,7.26,1,37
CDLHIGHWAVE,bullish,,bullish,forex,1,bullish_high_wave,1,none,1113,176747,115504,472870,-0.35600000000000004,-0.35600000000000004,0.65,0.324,37471,78033,4.09,4.91,3.7,6,237
CDLHIGHWAVE,bullish,,bullish,forex,2,bullish_high_wave,1,none,1113,161104,105234,685087,-0.36400000000000005,-0.36400000000000005,0.65,0.213,22463,82771,6.51,10.54,5.42,5,260
CDLHIGHWAVE,bullish,,bullish,forex,3,bullish_high_wave,1,none,1113,149338,97390,844684,-0.357,-0.357,0.65,0.161,15661,81729,8.67,17.91,6.9,3,311
CDLHIGHWAVE,bullish,,bullish,forex,4,bullish_high_wave,1,none,1113,139993,91041,972128,-0.358,-0.358,0.65,0.128,11660,79381,10.68,27.86,8.15,3,311
CDLHIGHWAVE,bullish,,bullish,forex,5,bullish_high_wave,1,none,1113,131978,85590,1077786,-0.355,-0.355,0.65,0.107,9145,76445,12.59,39.21,9.41,3,311
CDLHIGHWAVE,bullish,,bullish,stock,1,bullish_high_wave,1,none,6159,911298,627934,1821243,-0.10300000000000004,-0.10300000000000004,0.69,0.447,280737,347197,2.9,3.11,2.73,9,14
CDLHIGHWAVE,bullish,,bullish,stock,2,bullish_high_wave,1,none,6159,846655,583119,2753895,-0.040000000000000036,-0.040000000000000036,0.69,0.32,186539,396580,4.72,6.35,3.96,9,22
CDLHIGHWAVE,bullish,,bullish,stock,3,bullish_high_wave,1,none,6159,792979,545488,3528444,0.006000000000000005,0.006000000000000005,0.69,0.252,137723,407765,6.47,10.6,5.07,6,27
CDLHIGHWAVE,bullish,,bullish,stock,4,bullish_high_wave,1,none,6159,747500,513528,4175485,0.05399999999999994,0.05399999999999994,0.69,0.211,108127,405401,8.13,15.69,6.12,5,34
CDLHIGHWAVE,bullish,,bullish,stock,5,bullish_high_wave,1,none,6159,708008,485881,4730607,0.08999999999999997,0.08999999999999997,0.69,0.182,88393,397488,9.74,21.51,7.12,4,33
