pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLINE,bullish,,bearish,crypto,1,bullish_long_line,1,none,245,16399,10466,46310,0.02400000000000002,0.02400000000000002,0.64,0.514,5379,5087,4.42,4.5,4.35,57,8
CDLLONGLINE,bullish,,bearish,crypto,2,bullish_long_line,1,none,245,12835,8203,85121,-0.061999999999999944,-0.061999999999999944,0.64,0.314,2576,5627,10.38,13.5,8.95,32,16
CDLLONGLINE,bullish,,bearish,crypto,3,bullish_long_line,1,none,245,10013,6348,104705,-0.11099999999999999,-0.11099999999999999,0.63,0.223,1416,4932,16.49,25.54,13.9,23,25
CDLLONGLINE,bullish,,bearish,crypto,4,bullish_long_line,1,none,245,8034,5136,115597,-0.21599999999999997,-0.21599999999999997,0.64,0.156,800,4336,22.51,39.54,19.36,15,34
CDLLONGLINE,bullish,,bearish,crypto,5,bullish_long_line,1,none,245,6531,4116,113781,-0.32999999999999996,-0.32999999999999996,0.63,0.112,460,3656,27.64,56.43,24.02,9,34
CDLLONGLINE,bullish,,bearish,forex,1,bullish_long_line,1,none,1273,222683,133766,936468,0.239,0.239,0.6,0.619,82811,50955,7.0,6.65,7.58,194,11
CDLLONGLINE,bullish,,bearish,forex,2,bullish_long_line,1,none,1273,168551,100771,1468572,0.25,0.25,0.6,0.415,41789,58982,14.57,16.21,13.41,90,27
CDLLONGLINE,bullish,,bearish,forex,3,bullish_long_line,1,none,1273,142223,83764,1810919,0.2310000000000001,0.2310000000000001,0.59,0.307,25680,58084,21.62,29.55,18.11,59,38
CDLLONGLINE,bullish,,bearish,forex,4,bullish_long_line,1,none,1273,124122,72453,2038456,0.20799999999999996,0.20799999999999996,0.58,0.242,17552,54901,28.13,45.61,22.55,44,38
CDLLONGLINE,bullish,,bearish,forex,5,bullish_long_line,1,none,1273,110548,63647,2200228,0.19500000000000006,0.19500000000000006,0.58,0.199,12660,50987,34.57,64.28,27.19,34,38
CDLLONGLINE,bullish,,bearish,stock,1,bullish_long_line,1,none,6449,1096833,730300,3670484,0.10400000000000004,0.10400000000000004,0.67,0.554,404704,325596,5.03,4.69,5.44,197,13
CDLLONGLINE,bullish,,bearish,stock,2,bullish_long_line,1,none,6449,906183,602373,5935715,0.08599999999999997,0.08599999999999997,0.66,0.363,218471,383902,9.85,11.31,9.02,112,21
CDLLONGLINE,bullish,,bearish,stock,3,bullish_long_line,1,none,6449,765044,508267,7423157,0.052000000000000046,0.052000000000000046,0.66,0.264,134198,374069,14.6,20.31,12.56,76,24
CDLLONGLINE,bullish,,bearish,stock,4,bullish_long_line,1,none,6449,659015,436941,8401487,0.01200000000000001,0.01200000000000001,0.66,0.203,88892,348049,19.23,31.55,16.08,58,50
CDLLONGLINE,bullish,,bearish,stock,5,bullish_long_line,1,none,6449,576805,382022,9002627,-0.029999999999999916,-0.029999999999999916,0.66,0.162,61947,320075,23.57,44.05,19.6,41,56
