pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLINE,bullish,,bearish,crypto,1,bullish_long_line,1,none,245,21188,20120,21812,-0.28200000000000003,-0.28200000000000003,0.95,0.358,7196,12924,1.08,1.11,1.07,68,24
CDLLONGLINE,bullish,,bearish,crypto,2,bullish_long_line,1,none,245,21111,20042,23221,0.02400000000000002,0.02400000000000002,0.95,0.342,6855,13187,1.16,1.18,1.15,68,24
CDLLONGLINE,bullish,,bearish,crypto,3,bullish_long_line,1,none,245,21034,19965,24662,0.31100000000000005,0.31100000000000005,0.95,0.327,6527,13438,1.24,1.29,1.21,67,24
CDLLONGLINE,bullish,,bearish,crypto,4,bullish_long_line,1,none,245,20945,19876,26281,0.558,0.558,0.95,0.312,6200,13676,1.32,1.43,1.27,65,43
CDLLONGLINE,bullish,,bearish,crypto,5,bullish_long_line,1,none,245,20817,19747,27939,0.7949999999999999,0.7949999999999999,0.95,0.299,5902,13845,1.41,1.59,1.34,64,51
CDLLONGLINE,bullish,,bearish,forex,1,bullish_long_line,1,none,1273,319156,296208,335563,-0.18,-0.18,0.93,0.41,121409,174799,1.13,1.17,1.11,491,30
CDLLONGLINE,bullish,,bearish,forex,2,bullish_long_line,1,none,1273,318800,295851,346600,0.19400000000000006,0.19400000000000006,0.93,0.397,117577,178274,1.17,1.21,1.15,487,30
CDLLONGLINE,bullish,,bearish,forex,3,bullish_long_line,1,none,1273,318378,295429,359782,0.535,0.535,0.93,0.385,113789,181640,1.22,1.26,1.19,483,30
CDLLONGLINE,bullish,,bearish,forex,4,bullish_long_line,1,none,1273,317830,294880,376568,0.862,0.862,0.93,0.373,110024,184856,1.28,1.33,1.25,481,35
CDLLONGLINE,bullish,,bearish,forex,5,bullish_long_line,1,none,1273,317098,294151,392540,1.17,1.17,0.93,0.362,106524,187627,1.33,1.4,1.3,490,37
CDLLONGLINE,bullish,,bearish,stock,1,bullish_long_line,1,none,6449,1473790,1350678,1529190,-0.40199999999999997,-0.40199999999999997,0.92,0.298,403087,947591,1.13,1.23,1.09,316,34
CDLLONGLINE,bullish,,bearish,stock,2,bullish_long_line,1,none,6449,1471329,1348368,1580897,-0.15000000000000002,-0.15000000000000002,0.92,0.285,384239,964129,1.17,1.31,1.12,311,35
CDLLONGLINE,bullish,,bearish,stock,3,bullish_long_line,1,none,6449,1468102,1345300,1652091,0.07700000000000007,0.07700000000000007,0.92,0.269,362290,983010,1.23,1.43,1.16,306,35
CDLLONGLINE,bullish,,bearish,stock,4,bullish_long_line,1,none,6449,1464036,1341454,1730241,0.266,0.266,0.92,0.254,341195,1000259,1.29,1.56,1.2,304,46
CDLLONGLINE,bullish,,bearish,stock,5,bullish_long_line,1,none,6449,1459096,1336824,1811548,0.44500000000000006,0.44500000000000006,0.92,0.241,322561,1014263,1.36,1.7,1.24,303,46
