pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLINE,bullish,,bullish,crypto,1,bullish_long_line,1,none,245,16394,6154,35220,0.184,0.184,0.38,0.594,3658,2496,5.72,6.02,5.28,10,6
CDLLONGLINE,bullish,,bullish,crypto,2,bullish_long_line,1,none,245,14321,5312,53859,0.31799999999999995,0.31799999999999995,0.37,0.439,2334,2978,10.14,11.89,8.76,6,9
CDLLONGLINE,bullish,,bullish,crypto,3,bullish_long_line,1,none,245,13165,4848,66505,0.4089999999999999,0.4089999999999999,0.37,0.353,1713,3135,13.72,18.81,10.93,6,16
CDLLONGLINE,bullish,,bullish,crypto,4,bullish_long_line,1,none,245,12442,4526,73362,0.5,0.5,0.36,0.3,1360,3166,16.21,24.65,12.58,6,22
CDLLONGLINE,bullish,,bullish,crypto,5,bullish_long_line,1,none,245,11925,4295,79179,0.5850000000000002,0.5850000000000002,0.36,0.265,1138,3157,18.44,30.48,14.09,5,17
CDLLONGLINE,bullish,,bullish,forex,1,bullish_long_line,1,none,1273,257817,84375,423321,0.13799999999999996,0.13799999999999996,0.33,0.568,47945,36430,5.02,5.02,5.01,22,16
CDLLONGLINE,bullish,,bullish,forex,2,bullish_long_line,1,none,1273,219333,68826,776306,0.08599999999999997,0.08599999999999997,0.31,0.363,24958,43868,11.28,13.8,9.84,7,34
CDLLONGLINE,bullish,,bullish,forex,3,bullish_long_line,1,none,1273,201563,62144,992723,0.049000000000000044,0.049000000000000044,0.31,0.263,16364,45780,15.97,23.3,13.36,7,43
CDLLONGLINE,bullish,,bullish,forex,4,bullish_long_line,1,none,1273,189672,57767,1138528,0.03799999999999992,0.03799999999999992,0.3,0.207,11956,45811,19.71,34.89,15.75,4,77
CDLLONGLINE,bullish,,bullish,forex,5,bullish_long_line,1,none,1273,179025,54227,1269500,0.029999999999999916,0.029999999999999916,0.3,0.172,9306,44921,23.41,48.3,18.26,4,77
CDLLONGLINE,bullish,,bullish,stock,1,bullish_long_line,1,none,6449,1170899,416413,1800982,0.16299999999999998,0.16299999999999998,0.36,0.583,242927,173486,4.32,4.15,4.57,17,11
CDLLONGLINE,bullish,,bullish,stock,2,bullish_long_line,1,none,6449,1053379,371366,3026861,0.23399999999999999,0.23399999999999999,0.35,0.412,153127,218239,8.15,9.67,7.09,9,21
CDLLONGLINE,bullish,,bullish,stock,3,bullish_long_line,1,none,6449,965748,338523,3987037,0.28900000000000003,0.28900000000000003,0.35,0.323,109457,229066,11.78,16.94,9.31,8,27
CDLLONGLINE,bullish,,bullish,stock,4,bullish_long_line,1,none,6449,895844,312676,4770298,0.3460000000000001,0.3460000000000001,0.35,0.269,84024,228652,15.26,25.84,11.37,5,31
CDLLONGLINE,bullish,,bullish,stock,5,bullish_long_line,1,none,6449,839161,291889,5411191,0.3900000000000001,0.3900000000000001,0.35,0.232,67586,224303,18.54,35.97,13.29,5,31
