pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLINE,bullish,,bullish,crypto,1,bullish_long_line,1,none,245,18088,15154,56479,-0.017000000000000015,-0.017000000000000015,0.84,0.493,7471,7683,3.73,3.61,3.84,9,7
CDLLONGLINE,bullish,,bullish,crypto,2,bullish_long_line,1,none,245,15439,12842,76714,0.08599999999999997,0.08599999999999997,0.83,0.363,4666,8176,5.97,6.86,5.47,4,17
CDLLONGLINE,bullish,,bullish,crypto,3,bullish_long_line,1,none,245,13783,11389,90566,0.16900000000000004,0.16900000000000004,0.83,0.293,3339,8050,7.95,10.96,6.71,5,15
CDLLONGLINE,bullish,,bullish,crypto,4,bullish_long_line,1,none,245,12707,10434,100602,0.238,0.238,0.82,0.247,2573,7861,9.64,15.26,7.8,3,14
CDLLONGLINE,bullish,,bullish,crypto,5,bullish_long_line,1,none,245,12048,9838,107424,0.31000000000000005,0.31000000000000005,0.82,0.218,2145,7693,10.92,19.41,8.55,3,14
CDLLONGLINE,bullish,,bullish,forex,1,bullish_long_line,1,none,1273,232065,192080,1186509,-0.11800000000000005,-0.11800000000000005,0.83,0.442,84964,107116,6.18,6.15,6.2,14,40
CDLLONGLINE,bullish,,bullish,forex,2,bullish_long_line,1,none,1273,180944,151407,1623719,-0.126,-0.126,0.84,0.292,44277,107130,10.72,14.09,9.33,8,59
CDLLONGLINE,bullish,,bullish,forex,3,bullish_long_line,1,none,1273,153340,128637,1876591,-0.132,-0.132,0.84,0.216,27757,100880,14.59,24.01,12.0,6,89
CDLLONGLINE,bullish,,bullish,forex,4,bullish_long_line,1,none,1273,135519,113479,2054553,-0.1459999999999999,-0.1459999999999999,0.84,0.171,19361,94118,18.11,36.23,14.38,7,196
CDLLONGLINE,bullish,,bullish,forex,5,bullish_long_line,1,none,1273,123140,102946,2189251,-0.15999999999999992,-0.15999999999999992,0.84,0.14,14454,88492,21.27,50.26,16.53,5,245
CDLLONGLINE,bullish,,bullish,stock,1,bullish_long_line,1,none,6449,1247852,1088403,4335681,0.02300000000000002,0.02300000000000002,0.87,0.513,558385,530018,3.98,3.93,4.04,11,14
CDLLONGLINE,bullish,,bullish,stock,2,bullish_long_line,1,none,6449,1013772,880346,6106140,0.10799999999999998,0.10799999999999998,0.87,0.369,324952,555394,6.94,8.6,5.96,7,20
CDLLONGLINE,bullish,,bullish,stock,3,bullish_long_line,1,none,6449,870231,752914,7331086,0.16599999999999993,0.16599999999999993,0.87,0.292,219896,533018,9.74,14.62,7.72,6,22
CDLLONGLINE,bullish,,bullish,stock,4,bullish_long_line,1,none,6449,766657,661322,8254730,0.21599999999999997,0.21599999999999997,0.86,0.244,161677,499645,12.48,22.05,9.39,5,26
CDLLONGLINE,bullish,,bullish,stock,5,bullish_long_line,1,none,6449,687893,591403,8971708,0.27,0.27,0.86,0.212,125522,465881,15.17,30.69,10.99,5,33
