pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMARUBOZU,bullish,,bearish,crypto,1,bullish_marubozu,1,none,225,8527,4702,21629,0.017000000000000015,0.017000000000000015,0.55,0.507,2385,2317,4.6,4.79,4.41,28,9
CDLMARUBOZU,bullish,,bearish,crypto,2,bullish_marubozu,1,none,225,7204,4037,43499,-0.09399999999999997,-0.09399999999999997,0.56,0.303,1222,2815,10.78,13.95,9.4,22,20
CDLMARUBOZU,bullish,,bearish,crypto,3,bullish_marubozu,1,none,225,6266,3572,59206,-0.14800000000000002,-0.14800000000000002,0.57,0.214,763,2809,16.58,25.83,14.06,12,21
CDLMARUBOZU,bullish,,bearish,crypto,4,bullish_marubozu,1,none,225,5440,3165,69337,-0.21999999999999997,-0.21999999999999997,0.58,0.155,492,2673,21.91,35.57,19.39,8,25
CDLMARUBOZU,bullish,,bearish,crypto,5,bullish_marubozu,1,none,225,4742,2786,73631,-0.28500000000000003,-0.28500000000000003,0.59,0.119,331,2455,26.43,48.89,23.4,6,26
CDLMARUBOZU,bullish,,bearish,forex,1,bullish_marubozu,1,none,1259,156375,64907,582967,0.22099999999999997,0.22099999999999997,0.42,0.611,39670,25237,8.98,8.81,9.25,121,9
CDLMARUBOZU,bullish,,bearish,forex,2,bullish_marubozu,1,none,1259,125737,51261,851130,0.266,0.266,0.41,0.423,21695,29566,16.6,17.79,15.73,66,13
CDLMARUBOZU,bullish,,bearish,forex,3,bullish_marubozu,1,none,1259,111338,45433,1053806,0.2859999999999999,0.2859999999999999,0.41,0.322,14614,30819,23.19,29.74,20.09,50,44
CDLMARUBOZU,bullish,,bearish,forex,4,bullish_marubozu,1,none,1259,101045,41335,1214306,0.29600000000000004,0.29600000000000004,0.41,0.259,10706,30629,29.38,43.84,24.32,39,44
CDLMARUBOZU,bullish,,bearish,forex,5,bullish_marubozu,1,none,1259,94013,38370,1331879,0.29499999999999993,0.29499999999999993,0.41,0.215,8244,30126,34.71,58.87,28.1,32,50
CDLMARUBOZU,bullish,,bearish,stock,1,bullish_marubozu,1,none,6251,472990,297104,1596225,0.08400000000000002,0.08400000000000002,0.63,0.544,161769,135335,5.37,5.01,5.8,107,14
CDLMARUBOZU,bullish,,bearish,stock,2,bullish_marubozu,1,none,6251,423328,267941,2760990,0.07999999999999996,0.07999999999999996,0.63,0.36,96531,171410,10.3,11.84,9.44,66,19
CDLMARUBOZU,bullish,,bearish,stock,3,bullish_marubozu,1,none,6251,383843,244610,3681721,0.052000000000000046,0.052000000000000046,0.64,0.264,64517,180093,15.05,20.76,13.01,46,26
CDLMARUBOZU,bullish,,bearish,stock,4,bullish_marubozu,1,none,6251,351744,224750,4417254,0.015999999999999903,0.015999999999999903,0.64,0.204,45896,178854,19.65,31.49,16.62,36,50
CDLMARUBOZU,bullish,,bearish,stock,5,bullish_marubozu,1,none,6251,325235,208047,4992125,-0.02499999999999991,-0.02499999999999991,0.64,0.163,33971,174076,24.0,43.99,20.09,31,71
