pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMARUBOZU,bullish,,bullish,crypto,1,bullish_marubozu,1,none,225,8858,6243,27251,-0.0050000000000000044,-0.0050000000000000044,0.7,0.495,3089,3154,4.37,4.15,4.57,11,8
CDLMARUBOZU,bullish,,bullish,crypto,2,bullish_marubozu,1,none,225,8006,5654,38927,0.11599999999999999,0.11599999999999999,0.71,0.373,2107,3547,6.88,7.93,6.26,8,12
CDLMARUBOZU,bullish,,bullish,crypto,3,bullish_marubozu,1,none,225,7455,5261,47446,0.19399999999999995,0.19399999999999995,0.71,0.298,1569,3692,9.02,12.57,7.51,6,12
CDLMARUBOZU,bullish,,bullish,crypto,4,bullish_marubozu,1,none,225,7073,4985,53819,0.242,0.242,0.7,0.248,1234,3751,10.8,17.05,8.74,5,17
CDLMARUBOZU,bullish,,bullish,crypto,5,bullish_marubozu,1,none,225,6853,4834,58555,0.30499999999999994,0.30499999999999994,0.71,0.217,1051,3783,12.11,21.73,9.44,4,17
CDLMARUBOZU,bullish,,bullish,forex,1,bullish_marubozu,1,none,1259,156071,102148,868122,0.04500000000000004,0.04500000000000004,0.65,0.525,53594,48554,8.5,7.43,9.68,23,33
CDLMARUBOZU,bullish,,bullish,forex,2,bullish_marubozu,1,none,1259,115315,77813,1143688,0.07399999999999995,0.07399999999999995,0.67,0.357,27760,50053,14.7,16.81,13.53,6,51
CDLMARUBOZU,bullish,,bullish,forex,3,bullish_marubozu,1,none,1259,96220,65851,1288064,0.07700000000000007,0.07700000000000007,0.68,0.269,17746,48105,19.56,26.79,16.89,6,121
CDLMARUBOZU,bullish,,bullish,forex,4,bullish_marubozu,1,none,1259,84957,58745,1394412,0.061999999999999944,0.061999999999999944,0.69,0.213,12539,46206,23.74,39.52,19.45,5,121
CDLMARUBOZU,bullish,,bullish,forex,5,bullish_marubozu,1,none,1259,77407,54076,1482274,0.039999999999999925,0.039999999999999925,0.7,0.174,9384,44692,27.41,53.52,21.93,5,119
CDLMARUBOZU,bullish,,bullish,stock,1,bullish_marubozu,1,none,6251,504248,405891,1807501,0.018000000000000016,0.018000000000000016,0.8,0.508,206071,199820,4.45,4.41,4.5,11,17
CDLMARUBOZU,bullish,,bullish,stock,2,bullish_marubozu,1,none,6251,454511,367045,2769750,0.10599999999999998,0.10599999999999998,0.81,0.368,135168,231877,7.55,9.36,6.49,8,18
CDLMARUBOZU,bullish,,bullish,stock,3,bullish_marubozu,1,none,6251,419329,338991,3556609,0.16900000000000004,0.16900000000000004,0.81,0.293,99178,239813,10.49,15.85,8.28,8,24
CDLMARUBOZU,bullish,,bullish,stock,4,bullish_marubozu,1,none,6251,391829,317095,4217864,0.23399999999999999,0.23399999999999999,0.81,0.246,77850,239245,13.3,23.58,9.96,8,31
CDLMARUBOZU,bullish,,bullish,stock,5,bullish_marubozu,1,none,6251,369948,299258,4783124,0.28,0.28,0.81,0.214,63949,235309,15.98,32.34,11.54,5,42
