pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,crypto,1,bullish_separating_lines,2,uptrend,143,561,303,1061,0.061000000000000054,0.030500000000000027,0.54,0.531,161,142,3.5,3.1,3.96,4,3
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,crypto,2,bullish_separating_lines,2,uptrend,143,545,297,3092,-0.010000000000000009,-0.0050000000000000044,0.54,0.33,98,199,10.41,13.58,8.85,2,8
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,crypto,3,bullish_separating_lines,2,uptrend,143,534,292,5356,-0.132,-0.066,0.55,0.216,63,229,18.34,24.11,16.76,2,8
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,crypto,4,bullish_separating_lines,2,uptrend,143,528,287,6621,-0.21199999999999997,-0.10599999999999998,0.54,0.157,45,242,23.07,29.78,21.82,2,8
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,crypto,5,bullish_separating_lines,2,uptrend,143,523,282,8069,-0.16999999999999993,-0.08499999999999996,0.54,0.138,39,243,28.61,59.0,23.74,2,8
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,forex,1,bullish_separating_lines,2,uptrend,913,7316,4295,32738,0.276,0.138,0.59,0.636,2731,1564,7.62,6.48,9.62,47,5
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,forex,2,bullish_separating_lines,2,uptrend,913,7008,4102,63136,0.33999999999999997,0.16999999999999998,0.59,0.445,1824,2278,15.39,17.06,14.06,21,10
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,forex,3,bullish_separating_lines,2,uptrend,913,6884,4018,79469,0.32599999999999996,0.16299999999999998,0.58,0.332,1334,2684,19.78,22.88,18.24,7,10
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,forex,4,bullish_separating_lines,2,uptrend,913,6848,3989,93924,0.29600000000000004,0.14800000000000002,0.58,0.259,1034,2955,23.55,33.41,20.09,6,11
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,forex,5,bullish_separating_lines,2,uptrend,913,6801,3960,111172,0.28,0.14,0.58,0.214,848,3112,28.07,46.49,23.06,6,16
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,stock,1,bullish_separating_lines,2,uptrend,3616,24184,15047,61611,0.12399999999999994,0.06199999999999997,0.62,0.564,8488,6559,4.09,3.81,4.46,11,7
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,stock,2,bullish_separating_lines,2,uptrend,3616,24044,14947,120351,0.11199999999999999,0.055999999999999994,0.62,0.371,5548,9399,8.05,9.31,7.31,8,10
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,stock,3,bullish_separating_lines,2,uptrend,3616,23939,14859,180588,0.07400000000000007,0.03700000000000003,0.62,0.268,3978,10881,12.15,16.97,10.39,8,12
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,stock,4,bullish_separating_lines,2,uptrend,3616,23851,14790,236756,0.03399999999999992,0.01699999999999996,0.62,0.206,3054,11736,16.01,27.14,13.11,6,13
CDLSEPARATINGLINES,bullish,continuation,bearish mean reversion,stock,5,bullish_separating_lines,2,uptrend,3616,23779,14718,285338,1.1102230246251565e-16,5.551115123125783e-17,0.62,0.166,2444,12274,19.39,37.72,15.74,6,13
