pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHORTLINE,bullish,,bearish,crypto,1,bullish_short_line,1,none,257,23975,13690,24752,-0.19699999999999995,-0.19699999999999995,0.57,0.403,5512,8178,1.81,2.18,1.56,78,42
CDLSHORTLINE,bullish,,bearish,crypto,2,bullish_short_line,1,none,257,22243,12437,38483,-0.16999999999999993,-0.16999999999999993,0.56,0.275,3421,9016,3.09,4.82,2.44,48,42
CDLSHORTLINE,bullish,,bearish,crypto,3,bullish_short_line,1,none,257,20969,11566,51694,-0.18500000000000005,-0.18500000000000005,0.55,0.205,2370,9196,4.47,7.87,3.59,31,63
CDLSHORTLINE,bullish,,bearish,crypto,4,bullish_short_line,1,none,257,19344,10499,64950,-0.21199999999999997,-0.21199999999999997,0.54,0.157,1650,8849,6.19,13.52,4.82,26,63
CDLSHORTLINE,bullish,,bearish,crypto,5,bullish_short_line,1,none,257,17518,9338,74623,-0.255,-0.255,0.53,0.125,1163,8175,7.99,20.09,6.27,22,63
CDLSHORTLINE,bullish,,bearish,forex,1,bullish_short_line,1,none,1276,531466,384603,447148,-0.776,-0.776,0.72,0.114,43835,340768,1.16,1.85,1.07,245,291
CDLSHORTLINE,bullish,,bearish,forex,2,bullish_short_line,1,none,1276,520655,376102,521745,-0.726,-0.726,0.72,0.092,34665,341437,1.39,3.2,1.2,211,366
CDLSHORTLINE,bullish,,bearish,forex,3,bullish_short_line,1,none,1276,510971,368500,598421,-0.6920000000000001,-0.6920000000000001,0.72,0.076,27886,340614,1.62,4.84,1.36,207,366
CDLSHORTLINE,bullish,,bearish,forex,4,bullish_short_line,1,none,1276,500515,360290,667157,-0.688,-0.688,0.72,0.063,22734,337556,1.85,6.79,1.52,205,468
CDLSHORTLINE,bullish,,bearish,forex,5,bullish_short_line,1,none,1276,490369,352164,739834,-0.6799999999999999,-0.6799999999999999,0.72,0.054,18952,333212,2.1,9.4,1.69,203,468
CDLSHORTLINE,bullish,,bearish,stock,1,bullish_short_line,1,none,6574,1074136,662875,1482811,-0.017000000000000015,-0.017000000000000015,0.62,0.493,326824,336051,2.24,2.3,2.17,161,20
CDLSHORTLINE,bullish,,bearish,stock,2,bullish_short_line,1,none,6574,1009681,622077,2265729,0.05599999999999994,0.05599999999999994,0.62,0.353,219423,402654,3.64,4.4,3.23,117,27
CDLSHORTLINE,bullish,,bearish,stock,3,bullish_short_line,1,none,6574,958387,590232,2960856,0.08300000000000007,0.08300000000000007,0.62,0.271,159812,430420,5.02,7.07,4.25,96,32
CDLSHORTLINE,bullish,,bearish,stock,4,bullish_short_line,1,none,6574,913352,562292,3565694,0.09199999999999997,0.09199999999999997,0.62,0.218,122740,439552,6.34,10.24,5.25,82,34
CDLSHORTLINE,bullish,,bearish,stock,5,bullish_short_line,1,none,6574,872271,536942,4112266,0.08999999999999997,0.08999999999999997,0.62,0.182,97925,439017,7.66,13.91,6.26,75,44
