pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHORTLINE,bullish,,bearish,crypto,1,bullish_short_line,1,none,257,30662,26296,29394,-0.20499999999999996,-0.20499999999999996,0.86,0.395,10389,15907,1.12,1.13,1.11,98,17
CDLSHORTLINE,bullish,,bearish,crypto,2,bullish_short_line,1,none,257,30147,25792,31894,0.08999999999999997,0.08999999999999997,0.86,0.365,9416,16376,1.24,1.3,1.2,84,18
CDLSHORTLINE,bullish,,bearish,crypto,3,bullish_short_line,1,none,257,29641,25299,34996,0.3510000000000001,0.3510000000000001,0.85,0.337,8535,16764,1.38,1.47,1.34,83,30
CDLSHORTLINE,bullish,,bearish,crypto,4,bullish_short_line,1,none,257,29176,24844,38070,0.584,0.584,0.85,0.316,7846,16998,1.53,1.66,1.47,83,43
CDLSHORTLINE,bullish,,bearish,crypto,5,bullish_short_line,1,none,257,28755,24447,40962,0.79,0.79,0.85,0.298,7291,17156,1.68,1.86,1.6,82,43
CDLSHORTLINE,bullish,,bearish,forex,1,bullish_short_line,1,none,1276,627846,565388,598257,-0.319,-0.319,0.9,0.341,192934,372454,1.06,1.09,1.04,500,42
CDLSHORTLINE,bullish,,bearish,forex,2,bullish_short_line,1,none,1276,624899,562530,611839,0.010000000000000009,0.010000000000000009,0.9,0.335,188391,374139,1.09,1.12,1.07,500,42
CDLSHORTLINE,bullish,,bearish,forex,3,bullish_short_line,1,none,1276,622718,560421,623158,0.31999999999999995,0.31999999999999995,0.9,0.33,184675,375746,1.11,1.16,1.09,498,42
CDLSHORTLINE,bullish,,bearish,forex,4,bullish_short_line,1,none,1276,620910,558670,633374,0.62,0.62,0.9,0.325,181518,377152,1.13,1.18,1.11,498,42
CDLSHORTLINE,bullish,,bearish,forex,5,bullish_short_line,1,none,1276,619384,557225,643027,0.9249999999999999,0.9249999999999999,0.9,0.321,178840,378385,1.15,1.21,1.13,498,52
CDLSHORTLINE,bullish,,bearish,stock,1,bullish_short_line,1,none,6574,1313137,1140864,1420318,-0.317,-0.317,0.87,0.343,391027,749837,1.24,1.36,1.18,415,28
CDLSHORTLINE,bullish,,bearish,stock,2,bullish_short_line,1,none,6574,1301268,1129814,1492743,-0.04400000000000004,-0.04400000000000004,0.87,0.318,359756,770058,1.32,1.5,1.24,411,28
CDLSHORTLINE,bullish,,bearish,stock,3,bullish_short_line,1,none,6574,1292141,1121357,1583635,0.18500000000000005,0.18500000000000005,0.87,0.295,331118,790239,1.41,1.68,1.3,406,36
CDLSHORTLINE,bullish,,bearish,stock,4,bullish_short_line,1,none,6574,1283973,1113772,1677065,0.3840000000000001,0.3840000000000001,0.87,0.276,307484,806288,1.51,1.87,1.36,403,45
CDLSHORTLINE,bullish,,bearish,stock,5,bullish_short_line,1,none,6574,1275995,1106449,1771269,0.56,0.56,0.87,0.26,287933,818516,1.6,2.07,1.43,401,70
