pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHORTLINE,bullish,,bearish,crypto,1,bullish_short_line,1,none,257,26087,16666,27758,-0.19499999999999995,-0.19499999999999995,0.64,0.405,6750,9916,1.67,1.75,1.61,74,17
CDLSHORTLINE,bullish,,bearish,crypto,2,bullish_short_line,1,none,257,24998,15951,36571,0.01200000000000001,0.01200000000000001,0.64,0.336,5363,10588,2.29,2.6,2.14,71,29
CDLSHORTLINE,bullish,,bearish,crypto,3,bullish_short_line,1,none,257,23778,15104,45722,0.19999999999999996,0.19999999999999996,0.64,0.3,4525,10579,3.03,3.68,2.75,67,29
CDLSHORTLINE,bullish,,bearish,crypto,4,bullish_short_line,1,none,257,22182,14002,56219,0.3920000000000001,0.3920000000000001,0.63,0.278,3891,10111,4.02,4.73,3.74,66,29
CDLSHORTLINE,bullish,,bearish,crypto,5,bullish_short_line,1,none,257,20444,12930,62192,0.5450000000000002,0.5450000000000002,0.63,0.257,3327,9603,4.81,5.73,4.49,63,40
CDLSHORTLINE,bullish,,bearish,forex,1,bullish_short_line,1,none,1276,593742,490935,545641,-0.34,-0.34,0.83,0.33,162159,328776,1.11,1.16,1.09,453,175
CDLSHORTLINE,bullish,,bearish,forex,2,bullish_short_line,1,none,1276,587378,485915,588142,-0.06399999999999995,-0.06399999999999995,0.83,0.313,152333,333582,1.21,1.3,1.17,450,175
CDLSHORTLINE,bullish,,bearish,forex,3,bullish_short_line,1,none,1276,581152,480840,630880,0.20300000000000007,0.20300000000000007,0.83,0.301,144795,336045,1.31,1.42,1.26,449,175
CDLSHORTLINE,bullish,,bearish,forex,4,bullish_short_line,1,none,1276,574865,475638,673432,0.45799999999999996,0.45799999999999996,0.83,0.292,138838,336800,1.42,1.56,1.36,447,175
CDLSHORTLINE,bullish,,bearish,forex,5,bullish_short_line,1,none,1276,568290,470200,715072,0.7049999999999998,0.7049999999999998,0.83,0.285,133993,336207,1.52,1.7,1.45,440,175
CDLSHORTLINE,bullish,,bearish,stock,1,bullish_short_line,1,none,6574,1180052,791052,1406432,-0.256,-0.256,0.67,0.374,295973,495079,1.78,2.03,1.62,373,23
CDLSHORTLINE,bullish,,bearish,stock,2,bullish_short_line,1,none,6574,1152474,771884,1780796,-0.09599999999999997,-0.09599999999999997,0.67,0.302,233004,538880,2.31,2.98,2.02,366,31
CDLSHORTLINE,bullish,,bearish,stock,3,bullish_short_line,1,none,6574,1127889,754679,2132293,0.03700000000000003,0.03700000000000003,0.67,0.259,195804,558875,2.83,4.0,2.41,365,48
CDLSHORTLINE,bullish,,bearish,stock,4,bullish_short_line,1,none,6574,1104207,738233,2452444,0.15800000000000003,0.15800000000000003,0.67,0.232,171094,567139,3.32,5.02,2.81,359,58
CDLSHORTLINE,bullish,,bearish,stock,5,bullish_short_line,1,none,6574,1081364,722351,2755679,0.27,0.27,0.67,0.212,153469,568882,3.81,6.06,3.21,351,62
