pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHORTLINE,bullish,,bullish,crypto,1,bullish_short_line,1,none,257,29218,23918,33541,-0.08400000000000002,-0.08400000000000002,0.82,0.456,10911,13007,1.4,1.39,1.41,5,13
CDLSHORTLINE,bullish,,bullish,crypto,2,bullish_short_line,1,none,257,27373,22239,40904,0.14200000000000002,0.14200000000000002,0.81,0.381,8465,13774,1.84,1.87,1.82,5,17
CDLSHORTLINE,bullish,,bullish,crypto,3,bullish_short_line,1,none,257,26396,21405,47101,0.3450000000000001,0.3450000000000001,0.81,0.335,7171,14234,2.2,2.33,2.13,4,17
CDLSHORTLINE,bullish,,bullish,crypto,4,bullish_short_line,1,none,257,25708,20812,52585,0.512,0.512,0.81,0.303,6302,14510,2.53,2.83,2.39,4,17
CDLSHORTLINE,bullish,,bullish,crypto,5,bullish_short_line,1,none,257,25111,20279,57670,0.6850000000000003,0.6850000000000003,0.81,0.281,5693,14586,2.84,3.36,2.64,4,17
CDLSHORTLINE,bullish,,bullish,forex,1,bullish_short_line,1,none,1276,643838,565658,660175,-0.40199999999999997,-0.40199999999999997,0.88,0.298,168718,396940,1.17,1.25,1.13,69,66
CDLSHORTLINE,bullish,,bullish,forex,2,bullish_short_line,1,none,1276,627830,552053,721867,-0.18799999999999994,-0.18799999999999994,0.88,0.271,149500,402553,1.31,1.45,1.25,69,66
CDLSHORTLINE,bullish,,bullish,forex,3,bullish_short_line,1,none,1276,616409,542309,779150,0.006000000000000005,0.006000000000000005,0.88,0.252,136502,405807,1.44,1.65,1.36,68,74
CDLSHORTLINE,bullish,,bullish,forex,4,bullish_short_line,1,none,1276,606743,534131,831531,0.19199999999999995,0.19199999999999995,0.88,0.238,127285,406846,1.56,1.83,1.47,68,86
CDLSHORTLINE,bullish,,bullish,forex,5,bullish_short_line,1,none,1276,597531,526286,880927,0.3700000000000001,0.3700000000000001,0.88,0.228,120001,406285,1.67,2.01,1.57,68,86
CDLSHORTLINE,bullish,,bullish,stock,1,bullish_short_line,1,none,6574,1258639,1064548,1728467,-0.12000000000000005,-0.12000000000000005,0.85,0.44,468571,595977,1.62,1.68,1.58,12,24
CDLSHORTLINE,bullish,,bullish,stock,2,bullish_short_line,1,none,6574,1199741,1010945,2152910,0.07199999999999995,0.07199999999999995,0.84,0.356,359452,651493,2.13,2.48,1.94,10,24
CDLSHORTLINE,bullish,,bullish,stock,3,bullish_short_line,1,none,6574,1164139,978802,2566022,0.21199999999999997,0.21199999999999997,0.84,0.304,297222,681580,2.62,3.41,2.28,7,24
CDLSHORTLINE,bullish,,bullish,stock,4,bullish_short_line,1,none,6574,1135030,952716,2953017,0.3460000000000001,0.3460000000000001,0.84,0.269,256237,696479,3.1,4.4,2.62,7,30
CDLSHORTLINE,bullish,,bullish,stock,5,bullish_short_line,1,none,6574,1109890,930278,3310070,0.4650000000000001,0.4650000000000001,0.84,0.245,227561,702717,3.56,5.46,2.94,7,31
