pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSPINNINGTOP,bullish,,bearish,crypto,1,bullish_spinning_top,1,none,253,18700,18271,46440,-0.15699999999999997,-0.15699999999999997,0.98,0.423,7727,10544,2.54,2.44,2.62,121,14
CDLSPINNINGTOP,bullish,,bearish,crypto,2,bullish_spinning_top,1,none,253,15982,15578,66077,-0.030000000000000027,-0.030000000000000027,0.97,0.325,5057,10521,4.24,4.07,4.32,79,23
CDLSPINNINGTOP,bullish,,bearish,crypto,3,bullish_spinning_top,1,none,253,13740,13352,80154,0.009000000000000008,0.009000000000000008,0.97,0.253,3374,9978,6.0,6.12,5.96,56,27
CDLSPINNINGTOP,bullish,,bearish,crypto,4,bullish_spinning_top,1,none,253,12348,11973,85727,0.03399999999999992,0.03399999999999992,0.97,0.206,2466,9507,7.16,8.63,6.78,42,34
CDLSPINNINGTOP,bullish,,bearish,crypto,5,bullish_spinning_top,1,none,253,10992,10626,92751,0.0050000000000001155,0.0050000000000001155,0.97,0.167,1774,8852,8.73,11.45,8.18,33,39
CDLSPINNINGTOP,bullish,,bearish,forex,1,bullish_spinning_top,1,none,1126,311212,304756,527114,-0.20399999999999996,-0.20399999999999996,0.98,0.396,120774,183982,1.73,1.84,1.66,479,21
CDLSPINNINGTOP,bullish,,bearish,forex,2,bullish_spinning_top,1,none,1126,288064,281948,699046,-0.04800000000000004,-0.04800000000000004,0.98,0.316,89003,192945,2.48,2.97,2.25,369,36
CDLSPINNINGTOP,bullish,,bearish,forex,3,bullish_spinning_top,1,none,1126,269039,263195,844060,0.03400000000000003,0.03400000000000003,0.98,0.258,68012,195183,3.21,4.42,2.79,295,64
CDLSPINNINGTOP,bullish,,bearish,forex,4,bullish_spinning_top,1,none,1126,251672,246032,976665,0.08799999999999997,0.08799999999999997,0.98,0.217,53506,192526,3.97,6.26,3.33,257,106
CDLSPINNINGTOP,bullish,,bearish,forex,5,bullish_spinning_top,1,none,1126,236121,230709,1086014,0.1299999999999999,0.1299999999999999,0.98,0.188,43263,187446,4.71,8.39,3.86,247,106
CDLSPINNINGTOP,bullish,,bearish,stock,1,bullish_spinning_top,1,none,6203,1527728,1395362,2179952,-0.16499999999999998,-0.16499999999999998,0.91,0.415,579211,816151,1.56,1.65,1.5,320,20
CDLSPINNINGTOP,bullish,,bearish,stock,2,bullish_spinning_top,1,none,6203,1436221,1310703,2932552,-0.03200000000000003,-0.03200000000000003,0.91,0.324,424370,886333,2.24,2.7,2.01,254,24
CDLSPINNINGTOP,bullish,,bearish,stock,3,bullish_spinning_top,1,none,6203,1358130,1238539,3598198,0.04300000000000004,0.04300000000000004,0.91,0.261,323844,914695,2.91,3.99,2.52,207,29
CDLSPINNINGTOP,bullish,,bearish,stock,4,bullish_spinning_top,1,none,6203,1287438,1173315,4184075,0.09199999999999997,0.09199999999999997,0.91,0.218,255906,917409,3.57,5.52,3.02,175,43
CDLSPINNINGTOP,bullish,,bearish,stock,5,bullish_spinning_top,1,none,6203,1225950,1116666,4668431,0.11999999999999988,0.11999999999999988,0.91,0.186,207933,908733,4.18,7.22,3.48,154,43
