pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSPINNINGTOP,bullish,,bullish,crypto,1,bullish_spinning_top,1,none,253,17132,10914,37114,-0.15899999999999997,-0.15899999999999997,0.64,0.421,4595,6319,3.4,3.5,3.33,5,9
CDLSPINNINGTOP,bullish,,bullish,crypto,2,bullish_spinning_top,1,none,253,15525,9853,52346,-0.09999999999999998,-0.09999999999999998,0.63,0.3,2954,6899,5.31,7.0,4.59,3,12
CDLSPINNINGTOP,bullish,,bullish,crypto,3,bullish_spinning_top,1,none,253,14462,9121,62143,-0.03700000000000003,-0.03700000000000003,0.63,0.241,2194,6927,6.81,10.61,5.61,3,38
CDLSPINNINGTOP,bullish,,bullish,crypto,4,bullish_spinning_top,1,none,253,13563,8546,69586,0.008000000000000007,0.008000000000000007,0.63,0.202,1725,6821,8.14,14.2,6.61,3,37
CDLSPINNINGTOP,bullish,,bullish,crypto,5,bullish_spinning_top,1,none,253,12893,8099,75799,0.05999999999999994,0.05999999999999994,0.63,0.176,1424,6675,9.36,18.35,7.44,2,37
CDLSPINNINGTOP,bullish,,bullish,forex,1,bullish_spinning_top,1,none,1126,247501,165195,664920,-0.323,-0.323,0.67,0.337,55618,109577,4.03,4.79,3.63,6,266
CDLSPINNINGTOP,bullish,,bullish,forex,2,bullish_spinning_top,1,none,1126,216874,144566,946306,-0.336,-0.336,0.67,0.222,32073,112493,6.55,10.5,5.42,6,291
CDLSPINNINGTOP,bullish,,bullish,forex,3,bullish_spinning_top,1,none,1126,194890,129662,1148789,-0.33199999999999996,-0.33199999999999996,0.67,0.166,21538,108124,8.86,18.1,7.02,3,338
CDLSPINNINGTOP,bullish,,bullish,forex,4,bullish_spinning_top,1,none,1126,177477,117719,1306926,-0.34199999999999997,-0.34199999999999997,0.66,0.132,15565,102154,11.1,28.06,8.52,3,338
CDLSPINNINGTOP,bullish,,bullish,forex,5,bullish_spinning_top,1,none,1126,163467,108060,1426206,-0.33999999999999997,-0.33999999999999997,0.66,0.11,11933,96127,13.2,39.6,9.92,3,338
CDLSPINNINGTOP,bullish,,bullish,stock,1,bullish_spinning_top,1,none,6203,1292592,905755,2682962,-0.09700000000000003,-0.09700000000000003,0.7,0.453,410187,495568,2.96,3.16,2.8,10,14
CDLSPINNINGTOP,bullish,,bullish,stock,2,bullish_spinning_top,1,none,6203,1158349,811088,3945754,-0.03200000000000003,-0.03200000000000003,0.7,0.324,262602,548486,4.86,6.51,4.08,8,22
CDLSPINNINGTOP,bullish,,bullish,stock,3,bullish_spinning_top,1,none,6203,1052977,736004,4938798,0.025000000000000022,0.025000000000000022,0.7,0.255,188004,548000,6.71,10.98,5.25,5,25
CDLSPINNINGTOP,bullish,,bullish,stock,4,bullish_spinning_top,1,none,6203,967326,675035,5738231,0.05799999999999994,0.05799999999999994,0.7,0.212,143403,531632,8.5,16.36,6.38,4,31
CDLSPINNINGTOP,bullish,,bullish,stock,5,bullish_spinning_top,1,none,6203,897035,624865,6387462,0.09999999999999998,0.09999999999999998,0.7,0.184,114740,510125,10.22,22.57,7.45,4,41
