pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,1,bullish_three_line_strike,4,uptrend,19,44,44,83,-0.08500000000000002,-0.021250000000000005,1.0,0.455,20,24,1.89,2.6,1.29,2,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,2,bullish_three_line_strike,4,uptrend,19,44,44,178,-0.10999999999999999,-0.027499999999999997,1.0,0.295,13,31,4.05,3.0,4.48,1,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,3,bullish_three_line_strike,4,uptrend,19,44,44,202,0.0,0.0,1.0,0.25,11,33,4.59,2.55,5.27,1,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,4,bullish_three_line_strike,4,uptrend,19,44,44,208,0.25,0.0625,1.0,0.25,11,33,4.73,3.09,5.27,1,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,5,bullish_three_line_strike,4,uptrend,19,44,44,212,0.5,0.125,1.0,0.25,11,33,4.82,3.45,5.27,1,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,1,bullish_three_line_strike,4,uptrend,471,2118,2108,3170,-0.484,-0.121,1.0,0.256,540,1568,1.5,1.69,1.44,4,10
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,2,bullish_three_line_strike,4,uptrend,471,2117,2107,4083,-0.36200000000000004,-0.09050000000000001,1.0,0.214,451,1656,1.94,1.96,1.93,3,10
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,3,bullish_three_line_strike,4,uptrend,471,2116,2106,4757,-0.2739999999999999,-0.06849999999999998,1.0,0.182,383,1723,2.26,2.94,2.11,3,11
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,4,bullish_three_line_strike,4,uptrend,471,2115,2105,5383,-0.21999999999999997,-0.05499999999999999,1.0,0.155,326,1779,2.56,4.04,2.29,3,11
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,5,bullish_three_line_strike,4,uptrend,471,2115,2105,5898,-0.16499999999999992,-0.04124999999999998,1.0,0.139,292,1813,2.8,5.22,2.41,2,11
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,1,bullish_three_line_strike,4,uptrend,1015,2640,2488,2997,-0.40399999999999997,-0.10099999999999999,0.94,0.296,737,1751,1.2,1.36,1.14,4,5
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,2,bullish_three_line_strike,4,uptrend,1015,2640,2488,3830,-0.21399999999999997,-0.05349999999999999,0.94,0.263,655,1833,1.54,2.01,1.37,4,6
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,3,bullish_three_line_strike,4,uptrend,1015,2639,2487,4342,-0.049000000000000044,-0.012250000000000011,0.94,0.237,589,1898,1.75,2.46,1.52,4,6
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,4,bullish_three_line_strike,4,uptrend,1015,2639,2487,5097,0.08399999999999996,0.02099999999999999,0.94,0.216,536,1951,2.05,3.13,1.75,3,6
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,5,bullish_three_line_strike,4,uptrend,1015,2638,2487,5792,0.17500000000000004,0.04375000000000001,0.94,0.195,484,2003,2.33,3.87,1.96,3,7
