pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,1,bullish_three_line_strike,4,uptrend,19,44,15,46,0.46299999999999997,0.11574999999999999,0.34,0.733,11,4,3.07,3.82,1.0,2,1
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,2,bullish_three_line_strike,4,uptrend,19,44,15,193,0.7999999999999999,0.19999999999999998,0.34,0.6,9,6,12.87,10.44,16.5,2,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,3,bullish_three_line_strike,4,uptrend,19,44,15,224,0.6000000000000002,0.15000000000000005,0.34,0.4,6,9,14.93,13.33,16.0,1,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,4,bullish_three_line_strike,4,uptrend,19,44,15,241,1.0,0.25,0.34,0.4,6,9,16.07,16.17,16.0,1,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,crypto,5,bullish_three_line_strike,4,uptrend,19,44,15,248,1.4,0.35,0.34,0.4,6,9,16.53,17.33,16.0,1,2
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,1,bullish_three_line_strike,4,uptrend,471,2117,633,3389,-0.37899999999999995,-0.09474999999999999,0.3,0.311,197,436,5.35,6.1,5.02,3,4
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,2,bullish_three_line_strike,4,uptrend,471,2111,632,5615,-0.404,-0.101,0.3,0.198,125,507,8.88,15.85,7.17,3,5
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,3,bullish_three_line_strike,4,uptrend,471,2104,630,7153,-0.42800000000000005,-0.10700000000000001,0.3,0.144,91,539,11.35,26.07,8.87,2,5
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,4,bullish_three_line_strike,4,uptrend,471,2099,629,8820,-0.48800000000000004,-0.12200000000000001,0.3,0.103,65,564,14.02,43.49,10.63,2,6
CDL3LINESTRIKE,bullish,continuation,bullish continuation,forex,5,bullish_three_line_strike,4,uptrend,471,2094,627,10678,-0.44500000000000006,-0.11125000000000002,0.3,0.093,58,569,17.03,67.98,11.84,2,6
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,1,bullish_three_line_strike,4,uptrend,1015,2639,744,3708,-0.10000000000000003,-0.02500000000000001,0.28,0.45,335,409,4.98,5.3,4.72,3,3
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,2,bullish_three_line_strike,4,uptrend,1015,2635,743,6612,-0.04200000000000004,-0.01050000000000001,0.28,0.319,237,506,8.9,12.03,7.43,3,4
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,3,bullish_three_line_strike,4,uptrend,1015,2633,743,9361,0.0,0.0,0.28,0.25,186,557,12.6,20.53,9.95,2,4
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,4,bullish_three_line_strike,4,uptrend,1015,2631,743,11348,0.008000000000000007,0.0020000000000000018,0.28,0.202,150,593,15.27,30.27,11.48,2,4
CDL3LINESTRIKE,bullish,continuation,bullish continuation,stock,5,bullish_three_line_strike,4,uptrend,1015,2628,742,13384,0.09500000000000008,0.02375000000000002,0.28,0.183,136,606,18.04,41.03,12.88,2,4
