pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,crypto,1,bullish_three_line_strike,4,uptrend,19,44,21,67,0.337,0.08425,0.48,0.667,14,7,3.19,3.14,3.29,2,1
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,crypto,2,bullish_three_line_strike,4,uptrend,19,44,21,165,0.14200000000000002,0.035500000000000004,0.48,0.381,8,13,7.86,5.75,9.15,1,1
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,crypto,3,bullish_three_line_strike,4,uptrend,19,44,21,203,0.32900000000000007,0.08225000000000002,0.48,0.333,7,14,9.67,10.86,9.07,1,2
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,crypto,4,bullish_three_line_strike,4,uptrend,19,44,21,223,0.43399999999999994,0.10849999999999999,0.48,0.286,6,15,10.62,14.17,9.2,1,2
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,crypto,5,bullish_three_line_strike,4,uptrend,19,44,21,243,0.42999999999999994,0.10749999999999998,0.48,0.238,5,16,11.57,14.6,10.62,1,2
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,forex,1,bullish_three_line_strike,4,uptrend,471,2114,1364,5598,0.244,0.061,0.65,0.624,851,513,4.1,3.73,4.73,7,5
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,forex,2,bullish_three_line_strike,4,uptrend,471,2099,1353,11668,0.268,0.067,0.64,0.424,574,779,8.62,9.52,7.96,4,5
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,forex,3,bullish_three_line_strike,4,uptrend,471,2086,1340,17178,0.19999999999999996,0.04999999999999999,0.64,0.3,402,938,12.82,16.42,11.28,3,7
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,forex,4,bullish_three_line_strike,4,uptrend,471,2073,1328,22149,0.19199999999999995,0.04799999999999999,0.64,0.238,316,1012,16.68,24.42,14.26,3,8
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,forex,5,bullish_three_line_strike,4,uptrend,471,2053,1316,26949,0.18999999999999995,0.04749999999999999,0.64,0.198,260,1056,20.48,36.68,16.49,3,8
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,stock,1,bullish_three_line_strike,4,uptrend,1015,2639,1687,6421,0.239,0.05975,0.64,0.619,1044,643,3.81,3.56,4.21,5,4
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,stock,2,bullish_three_line_strike,4,uptrend,1015,2632,1680,12843,0.256,0.064,0.64,0.418,703,977,7.64,8.79,6.82,3,5
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,stock,3,bullish_three_line_strike,4,uptrend,1015,2627,1676,17970,0.31700000000000006,0.07925000000000001,0.64,0.329,552,1124,10.72,14.69,8.77,3,5
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,stock,4,bullish_three_line_strike,4,uptrend,1015,2623,1671,23017,0.3580000000000001,0.08950000000000002,0.64,0.272,454,1217,13.77,20.96,11.09,3,5
CDL3LINESTRIKE,bullish,continuation,bullish mean reversion,stock,5,bullish_three_line_strike,4,uptrend,1015,2617,1669,27837,0.375,0.09375,0.64,0.229,383,1286,16.68,29.76,12.78,3,5
