pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTRISTAR,bullish,reversal,bearish continuation,crypto,1,bullish_tri_star,3,downtrend,10,25,24,79,-0.16299999999999998,-0.054333333333333324,0.96,0.417,10,14,3.29,2.0,4.21,3,3
CDLTRISTAR,bullish,reversal,bearish continuation,crypto,2,bullish_tri_star,3,downtrend,10,25,24,90,0.13,0.043333333333333335,0.96,0.375,9,15,3.75,2.0,4.8,2,3
CDLTRISTAR,bullish,reversal,bearish continuation,crypto,3,bullish_tri_star,3,downtrend,10,25,24,93,0.16599999999999993,0.05533333333333331,0.96,0.292,7,17,3.88,1.86,4.71,2,3
CDLTRISTAR,bullish,reversal,bearish continuation,crypto,4,bullish_tri_star,3,downtrend,10,25,24,95,0.25,0.08333333333333333,0.96,0.25,6,18,3.96,1.67,4.72,2,3
CDLTRISTAR,bullish,reversal,bearish continuation,crypto,5,bullish_tri_star,3,downtrend,10,25,24,103,0.25,0.08333333333333333,0.96,0.208,5,19,4.29,3.2,4.58,2,3
CDLTRISTAR,bullish,reversal,bearish continuation,forex,1,bullish_tri_star,3,downtrend,67,230,221,882,-0.02100000000000002,-0.007000000000000006,0.96,0.489,108,113,3.99,2.79,5.14,18,12
CDLTRISTAR,bullish,reversal,bearish continuation,forex,2,bullish_tri_star,3,downtrend,67,230,221,1018,0.15000000000000002,0.05000000000000001,0.96,0.385,85,136,4.61,3.66,5.2,15,12
CDLTRISTAR,bullish,reversal,bearish continuation,forex,3,bullish_tri_star,3,downtrend,67,230,221,1281,0.20900000000000007,0.0696666666666667,0.96,0.303,67,154,5.8,4.61,6.31,14,16
CDLTRISTAR,bullish,reversal,bearish continuation,forex,4,bullish_tri_star,3,downtrend,67,230,221,1360,0.41999999999999993,0.13999999999999999,0.96,0.285,63,158,6.15,5.33,6.48,14,16
CDLTRISTAR,bullish,reversal,bearish continuation,forex,5,bullish_tri_star,3,downtrend,67,230,221,1531,0.45999999999999996,0.15333333333333332,0.96,0.244,54,167,6.93,7.61,6.71,12,16
CDLTRISTAR,bullish,reversal,bearish continuation,stock,1,bullish_tri_star,3,downtrend,2137,11529,9197,16769,-0.496,-0.16533333333333333,0.8,0.254,2339,6858,1.82,2.45,1.61,29,16
CDLTRISTAR,bullish,reversal,bearish continuation,stock,2,bullish_tri_star,3,downtrend,2137,11400,9086,20909,-0.36400000000000005,-0.12133333333333335,0.8,0.213,1936,7150,2.3,3.33,2.02,20,16
CDLTRISTAR,bullish,reversal,bearish continuation,stock,3,bullish_tri_star,3,downtrend,2137,11286,8986,25862,-0.2739999999999999,-0.09133333333333331,0.8,0.182,1631,7355,2.88,5.08,2.39,18,18
CDLTRISTAR,bullish,reversal,bearish continuation,stock,4,bullish_tri_star,3,downtrend,2137,11219,8932,27001,-0.19199999999999995,-0.06399999999999999,0.8,0.162,1447,7485,3.02,4.95,2.65,18,18
CDLTRISTAR,bullish,reversal,bearish continuation,stock,5,bullish_tri_star,3,downtrend,2137,11168,8889,30054,-0.11499999999999999,-0.03833333333333333,0.8,0.147,1309,7580,3.38,6.02,2.92,16,18
