pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,crypto,1,dark_cloud_cover,2,uptrend,1,2,0,0,,,0.0,,0,0,,,,0,0
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,crypto,2,dark_cloud_cover,2,uptrend,1,2,0,0,,,0.0,,0,0,,,,0,0
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,crypto,3,dark_cloud_cover,2,uptrend,1,2,0,0,,,0.0,,0,0,,,,0,0
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,crypto,4,dark_cloud_cover,2,uptrend,1,2,0,0,,,0.0,,0,0,,,,0,0
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,crypto,5,dark_cloud_cover,2,uptrend,1,2,0,0,,,0.0,,0,0,,,,0,0
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,forex,1,dark_cloud_cover,2,uptrend,32,72,28,101,-0.14099999999999996,-0.07049999999999998,0.39,0.429,12,16,3.61,5.33,2.31,2,2
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,forex,2,dark_cloud_cover,2,uptrend,32,72,28,204,0.28800000000000003,0.14400000000000002,0.39,0.429,12,16,7.29,13.92,2.31,2,2
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,forex,3,dark_cloud_cover,2,uptrend,32,72,28,456,-0.14800000000000002,-0.07400000000000001,0.39,0.214,6,22,16.29,25.67,13.73,1,2
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,forex,4,dark_cloud_cover,2,uptrend,32,72,27,449,-0.446,-0.223,0.38,0.111,3,24,16.63,29.33,15.04,1,2
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,forex,5,dark_cloud_cover,2,uptrend,32,71,27,495,-0.56,-0.28,0.38,0.074,2,25,18.33,39.0,16.68,1,2
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,stock,1,dark_cloud_cover,2,uptrend,3834,32029,12576,48254,-0.13799999999999996,-0.06899999999999998,0.39,0.432,5436,7140,3.84,4.25,3.52,7,8
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,stock,2,dark_cloud_cover,2,uptrend,3834,31880,12513,78041,-0.06599999999999995,-0.032999999999999974,0.39,0.312,3909,8604,6.24,8.87,5.04,6,11
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,stock,3,dark_cloud_cover,2,uptrend,3834,31754,12444,107440,-0.028000000000000025,-0.014000000000000012,0.39,0.244,3036,9408,8.63,15.16,6.53,5,11
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,stock,4,dark_cloud_cover,2,uptrend,3834,31643,12396,137220,0.008000000000000007,0.0040000000000000036,0.39,0.202,2506,9890,11.07,23.14,8.01,4,11
CDLDARKCLOUDCOVER,bearish,reversal,bullish continuation,stock,5,dark_cloud_cover,2,uptrend,3834,31530,12349,164836,0.039999999999999925,0.019999999999999962,0.39,0.174,2154,10195,13.35,32.23,9.36,4,11
